Date,Values,Blockchain
2024-01-19,44759,Aptos
2024-01-19,159914,Arbitrum
2024-01-19,44611,Avalanche
2024-01-19,3006,Axelar
2024-01-19,1240978,BSC
2024-01-19,73098,Base
2024-01-19,381225,Ethereum
2024-01-19,7688,Flow
2024-01-19,10165,Gnosis
2024-01-19,60512,Optimism
2024-01-19,26317,Osmosis
2024-01-19,489039,Polygon
2024-01-19,17986,Sei
2024-01-19,359330,Solana
2024-01-18,64901,Aptos
2024-01-18,148988,Arbitrum
2024-01-18,51895,Avalanche
2024-01-18,3098,Axelar
2024-01-18,1220407,BSC
2024-01-18,60848,Base
2024-01-18,360321,Ethereum
2024-01-18,3998,Flow
2024-01-18,11034,Gnosis
2024-01-18,1325604,NEAR
2024-01-18,60674,Optimism
2024-01-18,27541,Osmosis
2024-01-18,529944,Polygon
2024-01-18,22546,Sei
2024-01-18,387320,Solana
2024-01-17,72351,Aptos
2024-01-17,149500,Arbitrum
2024-01-17,48556,Avalanche
2024-01-17,2704,Axelar
2024-01-17,1175341,BSC
2024-01-17,63773,Base
2024-01-17,331051,Ethereum
2024-01-17,1388,Flow
2024-01-17,12475,Gnosis
2024-01-17,1245941,NEAR
2024-01-17,74860,Optimism
2024-01-17,32247,Osmosis
2024-01-17,515179,Polygon
2024-01-17,28320,Sei
2024-01-17,378525,Solana
2024-01-16,77209,Aptos
2024-01-16,126628,Arbitrum
2024-01-16,48592,Avalanche
2024-01-16,2616,Axelar
2024-01-16,1251109,BSC
2024-01-16,64270,Base
2024-01-16,327536,Ethereum
2024-01-16,972,Flow
2024-01-16,11386,Gnosis
2024-01-16,1193540,NEAR
2024-01-16,72885,Optimism
2024-01-16,34238,Osmosis
2024-01-16,527774,Polygon
2024-01-16,24359,Sei
2024-01-16,428659,Solana
2024-01-15,81789,Aptos
2024-01-15,143778,Arbitrum
2024-01-15,54152,Avalanche
2024-01-15,2802,Axelar
2024-01-15,1255315,BSC
2024-01-15,70867,Base
2024-01-15,343586,Ethereum
2024-01-15,925,Flow
2024-01-15,11679,Gnosis
2024-01-15,1162881,NEAR
2024-01-15,71015,Optimism
2024-01-15,32883,Osmosis
2024-01-15,546153,Polygon
2024-01-15,29748,Sei
2024-01-15,335241,Solana
2024-01-14,78422,Aptos
2024-01-14,122619,Arbitrum
2024-01-14,44407,Avalanche
2024-01-14,2848,Axelar
2024-01-14,1143498,BSC
2024-01-14,54752,Base
2024-01-14,266152,Ethereum
2024-01-14,1080,Flow
2024-01-14,10460,Gnosis
2024-01-14,1184069,NEAR
2024-01-14,56456,Optimism
2024-01-14,33262,Osmosis
2024-01-14,489281,Polygon
2024-01-14,27765,Sei
2024-01-14,315244,Solana
2024-01-13,89634,Aptos
2024-01-13,154883,Arbitrum
2024-01-13,43255,Avalanche
2024-01-13,2603,Axelar
2024-01-13,1202986,BSC
2024-01-13,67101,Base
2024-01-13,344416,Ethereum
2024-01-13,2158,Flow
2024-01-13,10797,Gnosis
2024-01-13,1181787,NEAR
2024-01-13,67635,Optimism
2024-01-13,30051,Osmosis
2024-01-13,538377,Polygon
2024-01-13,30775,Sei
2024-01-13,301525,Solana
2024-01-12,91486,Aptos
2024-01-12,166665,Arbitrum
2024-01-12,54044,Avalanche
2024-01-12,2569,Axelar
2024-01-12,1286041,BSC
2024-01-12,62359,Base
2024-01-12,438035,Ethereum
2024-01-12,5095,Flow
2024-01-12,10084,Gnosis
2024-01-12,1304721,NEAR
2024-01-12,64960,Optimism
2024-01-12,29570,Osmosis
2024-01-12,621832,Polygon
2024-01-12,39403,Sei
2024-01-12,318124,Solana
2024-01-11,104026,Aptos
2024-01-11,194581,Arbitrum
2024-01-11,51267,Avalanche
2024-01-11,2857,Axelar
2024-01-11,1287938,BSC
2024-01-11,61140,Base
2024-01-11,452685,Ethereum
2024-01-11,6882,Flow
2024-01-11,10645,Gnosis
2024-01-11,1059212,NEAR
2024-01-11,69005,Optimism
2024-01-11,38367,Osmosis
2024-01-11,676544,Polygon
2024-01-11,29518,Sei
2024-01-11,336805,Solana
2024-01-10,77623,Aptos
2024-01-10,218809,Arbitrum
2024-01-10,48483,Avalanche
2024-01-10,2795,Axelar
2024-01-10,1295875,BSC
2024-01-10,60926,Base
2024-01-10,501041,Ethereum
2024-01-10,3231,Flow
2024-01-10,13211,Gnosis
2024-01-10,956181,NEAR
2024-01-10,70162,Optimism
2024-01-10,38972,Osmosis
2024-01-10,623893,Polygon
2024-01-10,29255,Sei
2024-01-10,309313,Solana
2024-01-09,67909,Aptos
2024-01-09,295133,Arbitrum
2024-01-09,49950,Avalanche
2024-01-09,2841,Axelar
2024-01-09,1295250,BSC
2024-01-09,70523,Base
2024-01-09,362973,Ethereum
2024-01-09,1108,Flow
2024-01-09,13155,Gnosis
2024-01-09,1039844,NEAR
2024-01-09,65200,Optimism
2024-01-09,41979,Osmosis
2024-01-09,641732,Polygon
2024-01-09,31412,Sei
2024-01-09,361592,Solana
2024-01-08,67039,Aptos
2024-01-08,156320,Arbitrum
2024-01-08,49445,Avalanche
2024-01-08,2903,Axelar
2024-01-08,1354222,BSC
2024-01-08,69015,Base
2024-01-08,360465,Ethereum
2024-01-08,13237,Flow
2024-01-08,11523,Gnosis
2024-01-08,958599,NEAR
2024-01-08,62569,Optimism
2024-01-08,38095,Osmosis
2024-01-08,592398,Polygon
2024-01-08,28202,Sei
2024-01-08,317947,Solana
2024-01-07,63476,Aptos
2024-01-07,141246,Arbitrum
2024-01-07,43726,Avalanche
2024-01-07,2721,Axelar
2024-01-07,1197348,BSC
2024-01-07,54769,Base
2024-01-07,397060,Ethereum
2024-01-07,3199,Flow
2024-01-07,11010,Gnosis
2024-01-07,997954,NEAR
2024-01-07,60618,Optimism
2024-01-07,37794,Osmosis
2024-01-07,569925,Polygon
2024-01-07,18121,Sei
2024-01-07,306303,Solana
2024-01-06,68392,Aptos
2024-01-06,156710,Arbitrum
2024-01-06,46685,Avalanche
2024-01-06,2748,Axelar
2024-01-06,1150797,BSC
2024-01-06,63156,Base
2024-01-06,323397,Ethereum
2024-01-06,2806,Flow
2024-01-06,13727,Gnosis
2024-01-06,1034549,NEAR
2024-01-06,66592,Optimism
2024-01-06,44598,Osmosis
2024-01-06,570684,Polygon
2024-01-06,24706,Sei
2024-01-06,305461,Solana
2024-01-05,87304,Aptos
2024-01-05,161040,Arbitrum
2024-01-05,58740,Avalanche
2024-01-05,2700,Axelar
2024-01-05,1310093,BSC
2024-01-05,61294,Base
2024-01-05,340663,Ethereum
2024-01-05,1258,Flow
2024-01-05,12719,Gnosis
2024-01-05,1027559,NEAR
2024-01-05,66494,Optimism
2024-01-05,41929,Osmosis
2024-01-05,560893,Polygon
2024-01-05,32345,Sei
2024-01-05,330084,Solana
2024-01-04,65842,Aptos
2024-01-04,165435,Arbitrum
2024-01-04,55890,Avalanche
2024-01-04,2724,Axelar
2024-01-04,1986241,BSC
2024-01-04,65962,Base
2024-01-04,346016,Ethereum
2024-01-04,716,Flow
2024-01-04,11466,Gnosis
2024-01-04,1304374,NEAR
2024-01-04,71095,Optimism
2024-01-04,56803,Osmosis
2024-01-04,558613,Polygon
2024-01-04,20449,Sei
2024-01-04,360557,Solana
2024-01-03,66397,Aptos
2024-01-03,163440,Arbitrum
2024-01-03,87273,Avalanche
2024-01-03,2625,Axelar
2024-01-03,1611225,BSC
2024-01-03,61361,Base
2024-01-03,339226,Ethereum
2024-01-03,793,Flow
2024-01-03,11546,Gnosis
2024-01-03,1060944,NEAR
2024-01-03,77165,Optimism
2024-01-03,55429,Osmosis
2024-01-03,518173,Polygon
2024-01-03,19060,Sei
2024-01-03,369429,Solana
2024-01-02,47461,Aptos
2024-01-02,156448,Arbitrum
2024-01-02,66029,Avalanche
2024-01-02,2663,Axelar
2024-01-02,1606853,BSC
2024-01-02,67700,Base
2024-01-02,380255,Ethereum
2024-01-02,515,Flow
2024-01-02,12461,Gnosis
2024-01-02,1057562,NEAR
2024-01-02,78590,Optimism
2024-01-02,35617,Osmosis
2024-01-02,497080,Polygon
2024-01-02,23285,Sei
2024-01-02,382337,Solana
2024-01-01,69975,Aptos
2024-01-01,140302,Arbitrum
2024-01-01,52294,Avalanche
2024-01-01,2249,Axelar
2024-01-01,1530030,BSC
2024-01-01,68144,Base
2024-01-01,412608,Ethereum
2024-01-01,1264,Flow
2024-01-01,10003,Gnosis
2024-01-01,1169510,NEAR
2024-01-01,73686,Optimism
2024-01-01,18151,Osmosis
2024-01-01,479083,Polygon
2024-01-01,19687,Sei
2024-01-01,306744,Solana
2023-12-31,78769,Aptos
2023-12-31,198528,Arbitrum
2023-12-31,55342,Avalanche
2023-12-31,2164,Axelar
2023-12-31,2246638,BSC
2023-12-31,68583,Base
2023-12-31,350981,Ethereum
2023-12-31,14549,Flow
2023-12-31,11612,Gnosis
2023-12-31,1174145,NEAR
2023-12-31,72867,Optimism
2023-12-31,16346,Osmosis
2023-12-31,508073,Polygon
2023-12-31,14431,Sei
2023-12-31,314640,Solana
2023-12-30,77328,Aptos
2023-12-30,181525,Arbitrum
2023-12-30,58344,Avalanche
2023-12-30,2203,Axelar
2023-12-30,3431067,BSC
2023-12-30,69439,Base
2023-12-30,367065,Ethereum
2023-12-30,976,Flow
2023-12-30,12251,Gnosis
2023-12-30,1760704,NEAR
2023-12-30,77373,Optimism
2023-12-30,17489,Osmosis
2023-12-30,497308,Polygon
2023-12-30,15807,Sei
2023-12-30,333540,Solana
2023-12-29,78838,Aptos
2023-12-29,201537,Arbitrum
2023-12-29,59164,Avalanche
2023-12-29,2216,Axelar
2023-12-29,2523125,BSC
2023-12-29,62027,Base
2023-12-29,350234,Ethereum
2023-12-29,1221,Flow
2023-12-29,12097,Gnosis
2023-12-29,576992,NEAR
2023-12-29,71833,Optimism
2023-12-29,17198,Osmosis
2023-12-29,483267,Polygon
2023-12-29,28422,Sei
2023-12-29,363163,Solana
2023-12-28,94649,Aptos
2023-12-28,224442,Arbitrum
2023-12-28,62976,Avalanche
2023-12-28,2257,Axelar
2023-12-28,1704995,BSC
2023-12-28,59907,Base
2023-12-28,408628,Ethereum
2023-12-28,1135,Flow
2023-12-28,12137,Gnosis
2023-12-28,1448409,NEAR
2023-12-28,87988,Optimism
2023-12-28,18758,Osmosis
2023-12-28,461052,Polygon
2023-12-28,7653,Sei
2023-12-28,393624,Solana
2023-12-27,107134,Aptos
2023-12-27,185612,Arbitrum
2023-12-27,62901,Avalanche
2023-12-27,2407,Axelar
2023-12-27,1446394,BSC
2023-12-27,65878,Base
2023-12-27,370265,Ethereum
2023-12-27,2832,Flow
2023-12-27,12545,Gnosis
2023-12-27,1442190,NEAR
2023-12-27,82403,Optimism
2023-12-27,19260,Osmosis
2023-12-27,476314,Polygon
2023-12-27,9561,Sei
2023-12-27,437199,Solana
2023-12-26,112788,Aptos
2023-12-26,177716,Arbitrum
2023-12-26,66142,Avalanche
2023-12-26,2479,Axelar
2023-12-26,1175173,BSC
2023-12-26,70151,Base
2023-12-26,369246,Ethereum
2023-12-26,14842,Flow
2023-12-26,9921,Gnosis
2023-12-26,1327645,NEAR
2023-12-26,81894,Optimism
2023-12-26,21716,Osmosis
2023-12-26,458379,Polygon
2023-12-26,10720,Sei
2023-12-26,455382,Solana
2023-12-25,79800,Aptos
2023-12-25,177248,Arbitrum
2023-12-25,61480,Avalanche
2023-12-25,2206,Axelar
2023-12-25,959417,BSC
2023-12-25,59429,Base
2023-12-25,360523,Ethereum
2023-12-25,7813,Flow
2023-12-25,10047,Gnosis
2023-12-25,613921,NEAR
2023-12-25,76502,Optimism
2023-12-25,17042,Osmosis
2023-12-25,403368,Polygon
2023-12-25,8977,Sei
2023-12-25,441357,Solana
2023-12-24,91907,Aptos
2023-12-24,186143,Arbitrum
2023-12-24,57582,Avalanche
2023-12-24,2313,Axelar
2023-12-24,921012,BSC
2023-12-24,62646,Base
2023-12-24,372329,Ethereum
2023-12-24,15317,Flow
2023-12-24,9325,Gnosis
2023-12-24,1185240,NEAR
2023-12-24,78524,Optimism
2023-12-24,18407,Osmosis
2023-12-24,391215,Polygon
2023-12-24,5120,Sei
2023-12-24,442276,Solana
2023-12-23,72719,Aptos
2023-12-23,211817,Arbitrum
2023-12-23,65743,Avalanche
2023-12-23,2201,Axelar
2023-12-23,918126,BSC
2023-12-23,78893,Base
2023-12-23,364978,Ethereum
2023-12-23,10468,Flow
2023-12-23,10200,Gnosis
2023-12-23,1458572,NEAR
2023-12-23,89995,Optimism
2023-12-23,17357,Osmosis
2023-12-23,426074,Polygon
2023-12-23,5856,Sei
2023-12-23,395184,Solana
2023-12-22,71368,Aptos
2023-12-22,189978,Arbitrum
2023-12-22,83305,Avalanche
2023-12-22,2705,Axelar
2023-12-22,1001757,BSC
2023-12-22,62238,Base
2023-12-22,423826,Ethereum
2023-12-22,19414,Flow
2023-12-22,10456,Gnosis
2023-12-22,1870773,NEAR
2023-12-22,93347,Optimism
2023-12-22,21945,Osmosis
2023-12-22,420905,Polygon
2023-12-22,8433,Sei
2023-12-22,434764,Solana
2023-12-21,35770,Aptos
2023-12-21,129589,Arbitrum
2023-12-21,81760,Avalanche
2023-12-21,2507,Axelar
2023-12-21,1064069,BSC
2023-12-21,57127,Base
2023-12-21,432023,Ethereum
2023-12-21,3572,Flow
2023-12-21,10077,Gnosis
2023-12-21,1622354,NEAR
2023-12-21,67913,Optimism
2023-12-21,22035,Osmosis
2023-12-21,432317,Polygon
2023-12-21,15147,Sei
2023-12-21,431023,Solana
2023-12-20,33908,Aptos
2023-12-20,121668,Arbitrum
2023-12-20,82997,Avalanche
2023-12-20,2499,Axelar
2023-12-20,1025962,BSC
2023-12-20,50087,Base
2023-12-20,419684,Ethereum
2023-12-20,1964,Flow
2023-12-20,9321,Gnosis
2023-12-20,981741,NEAR
2023-12-20,66006,Optimism
2023-12-20,21266,Osmosis
2023-12-20,432438,Polygon
2023-12-20,19042,Sei
2023-12-20,385023,Solana
2023-12-19,32346,Aptos
2023-12-19,137485,Arbitrum
2023-12-19,73972,Avalanche
2023-12-19,2521,Axelar
2023-12-19,1071130,BSC
2023-12-19,44582,Base
2023-12-19,373161,Ethereum
2023-12-19,16870,Flow
2023-12-19,9048,Gnosis
2023-12-19,1531723,NEAR
2023-12-19,77368,Optimism
2023-12-19,22324,Osmosis
2023-12-19,502909,Polygon
2023-12-19,17788,Sei
2023-12-19,357389,Solana
2023-12-18,28693,Aptos
2023-12-18,133224,Arbitrum
2023-12-18,90750,Avalanche
2023-12-18,2531,Axelar
2023-12-18,978928,BSC
2023-12-18,46295,Base
2023-12-18,340570,Ethereum
2023-12-18,1467,Flow
2023-12-18,9334,Gnosis
2023-12-18,1203655,NEAR
2023-12-18,70039,Optimism
2023-12-18,22480,Osmosis
2023-12-18,440255,Polygon
2023-12-18,15014,Sei
2023-12-18,326778,Solana
2023-12-17,39124,Aptos
2023-12-17,137268,Arbitrum
2023-12-17,93456,Avalanche
2023-12-17,2829,Axelar
2023-12-17,934260,BSC
2023-12-17,60395,Base
2023-12-17,329542,Ethereum
2023-12-17,16973,Flow
2023-12-17,6419,Gnosis
2023-12-17,1224465,NEAR
2023-12-17,60236,Optimism
2023-12-17,27009,Osmosis
2023-12-17,409545,Polygon
2023-12-17,14865,Sei
2023-12-17,373823,Solana
2023-12-16,37153,Aptos
2023-12-16,129612,Arbitrum
2023-12-16,76820,Avalanche
2023-12-16,2685,Axelar
2023-12-16,929187,BSC
2023-12-16,45731,Base
2023-12-16,309061,Ethereum
2023-12-16,2033,Flow
2023-12-16,6997,Gnosis
2023-12-16,1224529,NEAR
2023-12-16,56161,Optimism
2023-12-16,24396,Osmosis
2023-12-16,322301,Polygon
2023-12-16,18974,Sei
2023-12-16,458088,Solana
2023-12-15,38710,Aptos
2023-12-15,117205,Arbitrum
2023-12-15,66999,Avalanche
2023-12-15,2344,Axelar
2023-12-15,1160355,BSC
2023-12-15,47112,Base
2023-12-15,338932,Ethereum
2023-12-15,1294,Flow
2023-12-15,7793,Gnosis
2023-12-15,1030080,NEAR
2023-12-15,55379,Optimism
2023-12-15,21824,Osmosis
2023-12-15,405211,Polygon
2023-12-15,3024,Sei
2023-12-15,381037,Solana
2023-12-14,35124,Aptos
2023-12-14,121861,Arbitrum
2023-12-14,66987,Avalanche
2023-12-14,2495,Axelar
2023-12-14,993364,BSC
2023-12-14,45744,Base
2023-12-14,346753,Ethereum
2023-12-14,1269,Flow
2023-12-14,6831,Gnosis
2023-12-14,1248593,NEAR
2023-12-14,53661,Optimism
2023-12-14,22608,Osmosis
2023-12-14,413166,Polygon
2023-12-14,3097,Sei
2023-12-14,291949,Solana
2023-12-13,36599,Aptos
2023-12-13,131290,Arbitrum
2023-12-13,68908,Avalanche
2023-12-13,2483,Axelar
2023-12-13,941837,BSC
2023-12-13,48517,Base
2023-12-13,315739,Ethereum
2023-12-13,1424,Flow
2023-12-13,11359,Gnosis
2023-12-13,968671,NEAR
2023-12-13,64321,Optimism
2023-12-13,21216,Osmosis
2023-12-13,373632,Polygon
2023-12-13,2715,Sei
2023-12-13,257391,Solana
2023-12-12,57467,Aptos
2023-12-12,149405,Arbitrum
2023-12-12,89782,Avalanche
2023-12-12,2742,Axelar
2023-12-12,971680,BSC
2023-12-12,52647,Base
2023-12-12,326660,Ethereum
2023-12-12,15294,Flow
2023-12-12,7580,Gnosis
2023-12-12,955438,NEAR
2023-12-12,60485,Optimism
2023-12-12,26678,Osmosis
2023-12-12,381600,Polygon
2023-12-12,3882,Sei
2023-12-12,248408,Solana
2023-12-11,41398,Aptos
2023-12-11,133027,Arbitrum
2023-12-11,78795,Avalanche
2023-12-11,2195,Axelar
2023-12-11,976478,BSC
2023-12-11,52665,Base
2023-12-11,327614,Ethereum
2023-12-11,110682,Flow
2023-12-11,7695,Gnosis
2023-12-11,960406,NEAR
2023-12-11,68350,Optimism
2023-12-11,18736,Osmosis
2023-12-11,365732,Polygon
2023-12-11,11357,Sei
2023-12-11,255318,Solana
2023-12-10,71227,Aptos
2023-12-10,153948,Arbitrum
2023-12-10,69393,Avalanche
2023-12-10,2298,Axelar
2023-12-10,897229,BSC
2023-12-10,61569,Base
2023-12-10,349815,Ethereum
2023-12-10,118233,Flow
2023-12-10,7585,Gnosis
2023-12-10,986057,NEAR
2023-12-10,70715,Optimism
2023-12-10,17729,Osmosis
2023-12-10,370600,Polygon
2023-12-10,1105,Sei
