Date,Blockchain,Values
2023-05-03,Arbitrum,220206
2023-05-02,Arbitrum,217070
2023-05-03,Avalanche,41585
2023-05-02,Avalanche,40941
2023-05-03,Axelar,1875
2023-05-02,Axelar,1923
2023-05-03,BSC,1226873
2023-05-02,BSC,1234507
2023-05-03,Cosmos,34316
2023-05-02,Cosmos,38212
2023-05-03,Ethereum,331456
2023-05-02,Ethereum,304275
2023-05-03,Gnosis,11513
2023-05-02,Gnosis,11970
2023-05-03,NEAR,55871
2023-05-02,NEAR,54070
2023-05-03,Optimism,83597
2023-05-02,Optimism,36067
2023-05-03,Osmosis,12694
2023-05-02,Osmosis,10862
2023-05-03,Polygon,318585
2023-05-02,Polygon,328742
2023-05-03,Solana,354516
2023-05-02,Solana,178550
2023-05-01,Arbitrum,212563
2023-05-01,Avalanche,44939
2023-05-01,Axelar,1608
2023-05-01,BSC,1247280
2023-05-01,Cosmos,26606
2023-05-01,Ethereum,290728
2023-05-01,Gnosis,16554
2023-05-01,NEAR,35945
2023-05-01,Optimism,36039
2023-05-01,Osmosis,21343
2023-05-01,Polygon,322421
2023-05-01,Solana,134375
2023-04-30,Arbitrum,254084
2023-04-30,Avalanche,46265
2023-04-30,Axelar,1630
2023-04-30,BSC,1211759
2023-04-30,Cosmos,16476
2023-04-30,Ethereum,287875
2023-04-30,Gnosis,19774
2023-04-30,NEAR,33345
2023-04-30,Optimism,54891
2023-04-30,Osmosis,33637
2023-04-30,Polygon,289770
2023-04-30,Solana,141565
2023-04-29,Arbitrum,192058
2023-04-29,Avalanche,43422
2023-04-29,Axelar,1591
2023-04-29,BSC,1230022
2023-04-29,Cosmos,16653
2023-04-29,Ethereum,288651
2023-04-29,Gnosis,6475
2023-04-29,NEAR,31972
2023-04-29,Optimism,55367
2023-04-29,Osmosis,15283
2023-04-29,Polygon,277855
2023-04-29,Solana,119193
2023-04-28,Arbitrum,191854
2023-04-28,Avalanche,45572
2023-04-28,Axelar,1597
2023-04-28,BSC,1312256
2023-04-28,Cosmos,19684
2023-04-28,Ethereum,314746
2023-04-28,Gnosis,30281
2023-04-28,NEAR,34902
2023-04-28,Optimism,54356
2023-04-28,Osmosis,16101
2023-04-28,Polygon,308153
2023-04-28,Solana,126125
2023-04-27,Arbitrum,212125
2023-04-27,Avalanche,44797
2023-04-27,Axelar,1679
2023-04-27,BSC,1361791
2023-04-27,Cosmos,16912
2023-04-27,Ethereum,307533
2023-04-27,Gnosis,9852
2023-04-27,NEAR,40886
2023-04-27,Optimism,52456
2023-04-27,Osmosis,11126
2023-04-27,Polygon,330352
2023-04-27,Solana,148611
2023-04-26,Arbitrum,237075
2023-04-26,Avalanche,44993
2023-04-26,Axelar,1585
2023-04-26,BSC,1145695
2023-04-26,Cosmos,29174
2023-04-26,Ethereum,306876
2023-04-26,Gnosis,9068
2023-04-26,NEAR,42890
2023-04-26,Optimism,52761
2023-04-26,Osmosis,10987
2023-04-26,Polygon,289998
2023-04-26,Solana,142513
2023-04-25,Arbitrum,250078
2023-04-25,Avalanche,52210
2023-04-25,Axelar,1576
2023-04-25,BSC,1268289
2023-04-25,Cosmos,29575
2023-04-25,Ethereum,311735
2023-04-25,Gnosis,5821
2023-04-25,NEAR,63689
2023-04-25,Optimism,53818
2023-04-25,Osmosis,11117
2023-04-25,Polygon,376205
2023-04-25,Solana,124112
2023-04-24,Arbitrum,292516
2023-04-24,Avalanche,42580
2023-04-24,Axelar,1606
2023-04-24,BSC,1178423
2023-04-24,Cosmos,19477
2023-04-24,Ethereum,278737
2023-04-24,Gnosis,11617
2023-04-24,NEAR,53909
2023-04-24,Optimism,46285
2023-04-24,Osmosis,11763
2023-04-24,Polygon,319587
2023-04-24,Solana,150379
2023-04-23,Arbitrum,330492
2023-04-23,Avalanche,39203
2023-04-23,Axelar,1627
2023-04-23,BSC,1097248
2023-04-23,Cosmos,21093
2023-04-23,Ethereum,246277
2023-04-23,Gnosis,13816
2023-04-23,NEAR,51590
2023-04-23,Optimism,48181
2023-04-23,Osmosis,11437
2023-04-23,Polygon,252871
2023-04-23,Solana,147397
2023-04-22,Arbitrum,367680
2023-04-22,Avalanche,35745
2023-04-22,Axelar,1601
2023-04-22,BSC,1094524
2023-04-22,Cosmos,21450
2023-04-22,Ethereum,261859
2023-04-22,Gnosis,35987
2023-04-22,NEAR,60703
2023-04-22,Optimism,45189
2023-04-22,Osmosis,11499
2023-04-22,Polygon,276311
2023-04-22,Solana,161525
2023-04-21,Arbitrum,245892
2023-04-21,Avalanche,36733
2023-04-21,Axelar,1810
2023-04-21,BSC,1113730
2023-04-21,Cosmos,16321
2023-04-21,Ethereum,325145
2023-04-21,Gnosis,12645
2023-04-21,NEAR,96556
2023-04-21,Optimism,43794
2023-04-21,Osmosis,13431
2023-04-21,Polygon,294046
2023-04-21,Solana,157168
2023-04-20,Arbitrum,323125
2023-04-20,Avalanche,37608
2023-04-20,Axelar,1681
2023-04-20,BSC,1093094
2023-04-20,Cosmos,16653
2023-04-20,Ethereum,304266
2023-04-20,Gnosis,5885
2023-04-20,NEAR,41361
2023-04-20,Optimism,41404
2023-04-20,Osmosis,14242
2023-04-20,Polygon,310873
2023-04-20,Solana,132159
2023-04-19,Arbitrum,319773
2023-04-19,Avalanche,43090
2023-04-19,Axelar,1605
2023-04-19,BSC,1179525
2023-04-19,Cosmos,13788
2023-04-19,Ethereum,285565
2023-04-19,Gnosis,4630
2023-04-19,NEAR,54932
2023-04-19,Optimism,42061
2023-04-19,Osmosis,12488
2023-04-19,Polygon,330290
2023-04-19,Solana,155991
2023-04-18,Arbitrum,281997
2023-04-18,Avalanche,45302
2023-04-18,Axelar,1648
2023-04-18,BSC,1183124
2023-04-18,Cosmos,15529
2023-04-18,Ethereum,305843
2023-04-18,Gnosis,4809
2023-04-18,NEAR,127323
2023-04-18,Optimism,53485
2023-04-18,Osmosis,14636
2023-04-18,Polygon,338710
2023-04-18,Solana,128636
2023-04-17,Arbitrum,427179
2023-04-17,Avalanche,44604
2023-04-17,Axelar,1671
2023-04-17,BSC,1155904
2023-04-17,Cosmos,15822
2023-04-17,Ethereum,306009
2023-04-17,Gnosis,6743
2023-04-17,NEAR,41947
2023-04-17,Optimism,52909
2023-04-17,Osmosis,13869
2023-04-17,Polygon,332788
2023-04-17,Solana,124925
2023-04-16,Arbitrum,196332
2023-04-16,Avalanche,41077
2023-04-16,Axelar,1840
2023-04-16,BSC,1078762
2023-04-16,Cosmos,16999
2023-04-16,Ethereum,304876
2023-04-16,Gnosis,4870
2023-04-16,NEAR,47815
2023-04-16,Optimism,57339
2023-04-16,Osmosis,13219
2023-04-16,Polygon,345942
2023-04-16,Solana,110593
2023-04-15,Arbitrum,249407
2023-04-15,Avalanche,41339
2023-04-15,Axelar,1812
2023-04-15,BSC,1115359
2023-04-15,Cosmos,16042
2023-04-15,Ethereum,448021
2023-04-15,Gnosis,5320
2023-04-15,NEAR,39534
2023-04-15,Optimism,69964
2023-04-15,Osmosis,13183
2023-04-15,Polygon,316250
2023-04-15,Solana,92883
2023-04-14,Arbitrum,191800
2023-04-14,Avalanche,47195
2023-04-14,Axelar,1797
2023-04-14,BSC,1192238
2023-04-14,Cosmos,18868
2023-04-14,Ethereum,456897
2023-04-14,Gnosis,4969
2023-04-14,NEAR,48813
2023-04-14,Optimism,72613
2023-04-14,Osmosis,14912
2023-04-14,Polygon,318845
2023-04-14,Solana,123012
2023-04-13,Arbitrum,170400
2023-04-13,Avalanche,46740
2023-04-13,Axelar,1617
2023-04-13,BSC,1174574
2023-04-13,Cosmos,16671
2023-04-13,Ethereum,434869
2023-04-13,Gnosis,5581
2023-04-13,NEAR,51044
2023-04-13,Optimism,68846
2023-04-13,Osmosis,12866
2023-04-13,Polygon,336314
2023-04-13,Solana,126211
2023-04-12,Arbitrum,169616
2023-04-12,Avalanche,48603
2023-04-12,Axelar,1619
2023-04-12,BSC,1158558
2023-04-12,Cosmos,14966
2023-04-12,Ethereum,364959
2023-04-12,Gnosis,8708
2023-04-12,NEAR,77646
2023-04-12,Optimism,80675
2023-04-12,Osmosis,11892
2023-04-12,Polygon,346368
2023-04-12,Solana,109241
2023-04-11,Arbitrum,179499
2023-04-11,Avalanche,45855
2023-04-11,Axelar,1676
2023-04-11,BSC,1279705
2023-04-11,Cosmos,18108
2023-04-11,Ethereum,391124
2023-04-11,Gnosis,5152
2023-04-11,NEAR,56913
2023-04-11,Optimism,77996
2023-04-11,Osmosis,13303
2023-04-11,Polygon,354757
2023-04-11,Solana,125989
2023-04-10,Arbitrum,176239
2023-04-10,Avalanche,43009
2023-04-10,Axelar,1640
2023-04-10,BSC,1191763
2023-04-10,Cosmos,15841
2023-04-10,Ethereum,371191
2023-04-10,Gnosis,8447
2023-04-10,NEAR,51939
2023-04-10,Optimism,80796
2023-04-10,Osmosis,12082
2023-04-10,Polygon,346262
2023-04-10,Solana,104386
2023-04-09,Arbitrum,191635
2023-04-09,Avalanche,40194
2023-04-09,Axelar,1564
2023-04-09,BSC,1104191
2023-04-09,Cosmos,14021
2023-04-09,Ethereum,311306
2023-04-09,Gnosis,13162
2023-04-09,NEAR,45202
2023-04-09,Optimism,77526
2023-04-09,Osmosis,10806
2023-04-09,Polygon,350061
2023-04-09,Solana,103042
2023-04-08,Arbitrum,169178
2023-04-08,Avalanche,33565
2023-04-08,Axelar,1566
2023-04-08,BSC,1085374
2023-04-08,Cosmos,14580
2023-04-08,Ethereum,317415
2023-04-08,Gnosis,5908
2023-04-08,NEAR,39979
2023-04-08,Optimism,74365
2023-04-08,Osmosis,10818
2023-04-08,Polygon,387297
2023-04-08,Solana,104553
2023-04-07,Arbitrum,171884
2023-04-07,Avalanche,34054
2023-04-07,Axelar,1834
2023-04-07,BSC,1205930
2023-04-07,Cosmos,15525
2023-04-07,Ethereum,376349
2023-04-07,Gnosis,16536
2023-04-07,NEAR,52046
2023-04-07,Optimism,70501
2023-04-07,Osmosis,11050
2023-04-07,Polygon,402146
2023-04-07,Solana,108754
2023-04-06,Arbitrum,195274
2023-04-06,Avalanche,34388
2023-04-06,Axelar,1663
2023-04-06,BSC,1216407
2023-04-06,Cosmos,16583
2023-04-06,Ethereum,352522
2023-04-06,Gnosis,8995
2023-04-06,NEAR,106619
2023-04-06,Optimism,81787
2023-04-06,Osmosis,12702
2023-04-06,Polygon,435242
2023-04-06,Solana,113520
2023-04-05,Arbitrum,195632
2023-04-05,Avalanche,30524
2023-04-05,Axelar,1587
2023-04-05,BSC,1205562
2023-04-05,Cosmos,18673
2023-04-05,Ethereum,392243
2023-04-05,Gnosis,8361
2023-04-05,NEAR,83508
2023-04-05,Optimism,71945
2023-04-05,Osmosis,13990
2023-04-05,Polygon,410854
2023-04-05,Solana,110760
2023-04-04,Arbitrum,183596
2023-04-04,Avalanche,25851
2023-04-04,Axelar,1601
2023-04-04,BSC,1226031
2023-04-04,Cosmos,16595
2023-04-04,Ethereum,362970
2023-04-04,Gnosis,6111
2023-04-04,NEAR,179521
2023-04-04,Optimism,62340
2023-04-04,Osmosis,12769
2023-04-04,Polygon,420851
2023-04-04,Solana,107553
2023-04-03,Arbitrum,149434
2023-04-03,Avalanche,24693
2023-04-03,Axelar,1742
2023-04-03,BSC,1249701
2023-04-03,Cosmos,19801
2023-04-03,Ethereum,347657
2023-04-03,Gnosis,5558
2023-04-03,NEAR,58408
2023-04-03,Optimism,49900
2023-04-03,Osmosis,11991
2023-04-03,Polygon,430682
2023-04-03,Solana,118190
2023-04-02,Arbitrum,151536
2023-04-02,Avalanche,22902
2023-04-02,Axelar,1634
2023-04-02,BSC,1125278
2023-04-02,Cosmos,18408
2023-04-02,Ethereum,332740
2023-04-02,Gnosis,4871
2023-04-02,NEAR,45232
2023-04-02,Optimism,43614
2023-04-02,Osmosis,11538
2023-04-02,Polygon,370928
2023-04-02,Solana,106521
2023-04-01,Arbitrum,133860
2023-04-01,Avalanche,27092
2023-04-01,Axelar,1591
2023-04-01,BSC,1208968
2023-04-01,Cosmos,19316
2023-04-01,Ethereum,357749
2023-04-01,Gnosis,4729
2023-04-01,NEAR,36252
2023-04-01,Optimism,43847
2023-04-01,Osmosis,12010
2023-04-01,Polygon,410021
2023-04-01,Solana,104548
2023-03-31,Arbitrum,167697
2023-03-31,Avalanche,31870
2023-03-31,Axelar,1681
2023-03-31,BSC,1292218
2023-03-31,Cosmos,19863
2023-03-31,Ethereum,408906
2023-03-31,Gnosis,5028
2023-03-31,NEAR,38495
2023-03-31,Optimism,60037
2023-03-31,Osmosis,14059
2023-03-31,Polygon,482059
2023-03-31,Solana,110378
2023-03-30,Arbitrum,207121
2023-03-30,Avalanche,25380
2023-03-30,Axelar,1597
2023-03-30,BSC,1301446
2023-03-30,Cosmos,15823
2023-03-30,Ethereum,434080
2023-03-30,Gnosis,4559
2023-03-30,NEAR,43219
2023-03-30,Optimism,59264
2023-03-30,Osmosis,12333
2023-03-30,Polygon,391100
2023-03-30,Solana,111557
2023-03-29,Arbitrum,174876
2023-03-29,Avalanche,29765
2023-03-29,Axelar,1644
2023-03-29,BSC,1526877
2023-03-29,Cosmos,18660
2023-03-29,Ethereum,428914
2023-03-29,Gnosis,6239
2023-03-29,NEAR,46895
2023-03-29,Optimism,52718
2023-03-29,Osmosis,12727
