Date,Values,Blockchain
2024-01-19,370275,Aptos
2024-01-19,335553,Arbitrum
2024-01-19,42443,Avalanche
2024-01-19,14333,Axelar
2024-01-19,28731,BSC
2024-01-19,43200,Base
2024-01-19,132,Bitcoin
2024-01-19,7163,Ethereum
2024-01-19,68988,Flow
2024-01-19,16487,Gnosis
2024-01-19,43200,Optimism
2024-01-19,17136,Osmosis
2024-01-19,38016,Polygon
2024-01-19,199301,Sei
2024-01-19,200034,Solana
2024-01-18,357968,Aptos
2024-01-18,328272,Arbitrum
2024-01-18,42216,Avalanche
2024-01-18,14330,Axelar
2024-01-18,28719,BSC
2024-01-18,43200,Base
2024-01-18,142,Bitcoin
2024-01-18,7153,Ethereum
2024-01-18,68984,Flow
2024-01-18,16552,Gnosis
2024-01-18,80715,NEAR
2024-01-18,43200,Optimism
2024-01-18,16269,Osmosis
2024-01-18,38042,Polygon
2024-01-18,199129,Sei
2024-01-18,199003,Solana
2024-01-17,351437,Aptos
2024-01-17,327261,Arbitrum
2024-01-17,42319,Avalanche
2024-01-17,14264,Axelar
2024-01-17,28724,BSC
2024-01-17,43200,Base
2024-01-17,121,Bitcoin
2024-01-17,7143,Ethereum
2024-01-17,68997,Flow
2024-01-17,16315,Gnosis
2024-01-17,83497,NEAR
2024-01-17,43200,Optimism
2024-01-17,16526,Osmosis
2024-01-17,37027,Polygon
2024-01-17,199552,Sei
2024-01-17,191855,Solana
2024-01-16,338641,Aptos
2024-01-16,324237,Arbitrum
2024-01-16,42283,Avalanche
2024-01-16,14106,Axelar
2024-01-16,28742,BSC
2024-01-16,43200,Base
2024-01-16,125,Bitcoin
2024-01-16,7166,Ethereum
2024-01-16,68987,Flow
2024-01-16,16064,Gnosis
2024-01-16,80251,NEAR
2024-01-16,43200,Optimism
2024-01-16,16435,Osmosis
2024-01-16,40064,Polygon
2024-01-16,199705,Sei
2024-01-16,184626,Solana
2024-01-15,316943,Aptos
2024-01-15,331166,Arbitrum
2024-01-15,42740,Avalanche
2024-01-15,14432,Axelar
2024-01-15,28752,BSC
2024-01-15,43200,Base
2024-01-15,114,Bitcoin
2024-01-15,7159,Ethereum
2024-01-15,68986,Flow
2024-01-15,16075,Gnosis
2024-01-15,80996,NEAR
2024-01-15,43200,Optimism
2024-01-15,16652,Osmosis
2024-01-15,39844,Polygon
2024-01-15,201909,Sei
2024-01-15,185257,Solana
2024-01-14,335413,Aptos
2024-01-14,320919,Arbitrum
2024-01-14,42916,Avalanche
2024-01-14,14434,Axelar
2024-01-14,28734,BSC
2024-01-14,43200,Base
2024-01-14,128,Bitcoin
2024-01-14,7158,Ethereum
2024-01-14,68976,Flow
2024-01-14,16015,Gnosis
2024-01-14,81730,NEAR
2024-01-14,43200,Optimism
2024-01-14,16643,Osmosis
2024-01-14,39335,Polygon
2024-01-14,201357,Sei
2024-01-14,184040,Solana
2024-01-13,329320,Aptos
2024-01-13,332551,Arbitrum
2024-01-13,42889,Avalanche
2024-01-13,14408,Axelar
2024-01-13,28752,BSC
2024-01-13,43200,Base
2024-01-13,159,Bitcoin
2024-01-13,7153,Ethereum
2024-01-13,68980,Flow
2024-01-13,16027,Gnosis
2024-01-13,80282,NEAR
2024-01-13,43200,Optimism
2024-01-13,16603,Osmosis
2024-01-13,37870,Polygon
2024-01-13,202149,Sei
2024-01-13,182296,Solana
2024-01-12,328505,Aptos
2024-01-12,340599,Arbitrum
2024-01-12,42806,Avalanche
2024-01-12,14404,Axelar
2024-01-12,28768,BSC
2024-01-12,43200,Base
2024-01-12,168,Bitcoin
2024-01-12,7150,Ethereum
2024-01-12,68984,Flow
2024-01-12,15990,Gnosis
2024-01-12,79917,NEAR
2024-01-12,43200,Optimism
2024-01-12,16499,Osmosis
2024-01-12,37698,Polygon
2024-01-12,202717,Sei
2024-01-12,187787,Solana
2024-01-11,325667,Aptos
2024-01-11,341573,Arbitrum
2024-01-11,42993,Avalanche
2024-01-11,14397,Axelar
2024-01-11,28747,BSC
2024-01-11,43200,Base
2024-01-11,173,Bitcoin
2024-01-11,7126,Ethereum
2024-01-11,68984,Flow
2024-01-11,15974,Gnosis
2024-01-11,80351,NEAR
2024-01-11,43200,Optimism
2024-01-11,16481,Osmosis
2024-01-11,38043,Polygon
2024-01-11,203129,Sei
2024-01-11,184235,Solana
2024-01-10,322430,Aptos
2024-01-10,342908,Arbitrum
2024-01-10,42932,Avalanche
2024-01-10,14388,Axelar
2024-01-10,28747,BSC
2024-01-10,43200,Base
2024-01-10,133,Bitcoin
2024-01-10,7140,Ethereum
2024-01-10,68845,Flow
2024-01-10,16056,Gnosis
2024-01-10,81598,NEAR
2024-01-10,43200,Optimism
2024-01-10,16449,Osmosis
2024-01-10,38082,Polygon
2024-01-10,201742,Sei
2024-01-10,180792,Solana
