Date,Exchange,Values,Blockchain
2023-09-19,Binance,32514464.7645344,Arbitrum
2023-09-19,Bitfinex,13274.775178355,Arbitrum
2023-09-19,Bybit,5127734.64229298,Arbitrum
2023-09-19,Gate.io,4663779.03949704,Arbitrum
2023-09-19,KuCoin,185640.120975482,Arbitrum
2023-09-19,Binance,10894732.2750254,Avalanche
2023-09-19,Bitfinex,9095137.981907,Avalanche
2023-09-19,Bybit,669489.829629687,Avalanche
2023-09-19,Coinbase,25400.64,Avalanche
2023-09-19,Gate.io,4185882.00818509,Avalanche
2023-09-19,Huobi,2337461.84767448,Avalanche
2023-09-19,Binance,929670239.874404,Ethereum
2023-09-19,Bitfinex,17516542.6922446,Ethereum
2023-09-19,Bitstamp,67414747.7128861,Ethereum
2023-09-19,Bybit,71162534.4517929,Ethereum
2023-09-19,Coinbase,551704228.383609,Ethereum
2023-09-19,Gate.io,50828981.4865523,Ethereum
2023-09-19,Gemini,8314113.19115775,Ethereum
2023-09-19,Huobi,21813462.9208682,Ethereum
2023-09-19,Kraken,232017676.537703,Ethereum
2023-09-19,KuCoin,25849615.8807923,Ethereum
2023-09-19,MEXC,22577804.9482856,Ethereum
2023-09-19,OKX,63180746.4729785,Ethereum
2023-09-19,Binance,3910286.91644005,Optimism
2023-09-19,Bybit,285570.419969675,Optimism
2023-09-19,Coinbase,1155369.57950125,Optimism
2023-09-19,Gate.io,325059.585859069,Optimism
2023-09-19,KuCoin,138833.187907821,Optimism
2023-09-19,Binance,10452086.8402005,Polygon
2023-09-19,Bitfinex,498251.534410571,Polygon
2023-09-19,Bybit,918832.42330851,Polygon
2023-09-19,Coinbase,7088.099619,Polygon
2023-09-19,Gate.io,473350.724575283,Polygon
2023-09-19,Huobi,53829.897767613,Polygon
2023-09-19,MEXC,1453385.28786185,Polygon
2023-09-18,Binance,26246567.3275543,Arbitrum
2023-09-18,Bitfinex,1243.953713462,Arbitrum
2023-09-18,Bybit,4543353.0024412,Arbitrum
2023-09-18,Gate.io,2814588.01731668,Arbitrum
2023-09-18,KuCoin,177135.271152406,Arbitrum
2023-09-18,Binance,13261250.1876815,Avalanche
2023-09-18,Bitfinex,1797.8172012,Avalanche
2023-09-18,Bybit,2111751.9776781,Avalanche
2023-09-18,Coinbase,43765.21,Avalanche
2023-09-18,Gate.io,3108015.37231919,Avalanche
2023-09-18,Huobi,3158058.32651291,Avalanche
2023-09-18,Binance,1105953955.18713,Ethereum
2023-09-18,Bitfinex,98079789.4981015,Ethereum
2023-09-18,Bitstamp,30108811.6383082,Ethereum
2023-09-18,Bybit,54855102.7695888,Ethereum
2023-09-18,Coinbase,408337053.696912,Ethereum
