Date,Exchange,Values,Blockchain
2023-06-10,KuCoin,72894.66906,Arbitrum
2023-06-10,Binance,5184119.179,Arbitrum
2023-06-10,Bybit,6807644.457,Arbitrum
2023-06-10,Gate.io,1023585.565,Arbitrum
2023-06-10,Binance,17098431.8375535,Avalanche
2023-06-10,Coinbase,6494.5,Avalanche
2023-06-10,Bitfinex,5235026.272235,Avalanche
2023-06-10,KuCoin,245927.163010949,BSC
2023-06-10,Binance,64194047.7912651,BSC
2023-06-10,Gate.io,1845019.20742938,BSC
2023-06-10,Bitfinex,-3824173.035,Ethereum
2023-06-10,Kraken,-5494611.112,Ethereum
2023-06-10,Coinbase,104602084.6,Ethereum
2023-06-10,KuCoin,12504774.97,Ethereum
2023-06-10,Bitstamp,-141172.8118,Ethereum
2023-06-10,Bybit,5621223.112,Ethereum
2023-06-10,Gemini,1099923.167,Ethereum
2023-06-10,Binance,-300041932.5,Ethereum
2023-06-10,OKX,13697564.16,Ethereum
2023-06-10,Gate.io,2612577.493,Ethereum
2023-06-10,Binance,-10826819.95,Polygon
2023-06-10,Bitfinex,314590.1245,Polygon
2023-06-09,Gate.io,66017.65532,Arbitrum
2023-06-09,Binance,-9980103.75,Arbitrum
2023-06-09,Bybit,2566131.325,Arbitrum
2023-06-09,KuCoin,-541755.7225,Arbitrum
2023-06-09,Coinbase,86216.58,Avalanche
2023-06-09,Bitfinex,-8408482.293,Avalanche
2023-06-09,Binance,7219624.184,Avalanche
2023-06-09,Gate.io,-2598581.81647963,BSC
2023-06-09,Binance,546981.198185742,BSC
2023-06-09,KuCoin,-237240.653923691,BSC
2023-06-09,Coinbase,-100963015.1,Ethereum
2023-06-09,Kraken,16052855.67,Ethereum
2023-06-09,Bitstamp,-110263.2626,Ethereum
2023-06-09,Gemini,1547080.434,Ethereum
2023-06-09,KuCoin,3983197.941,Ethereum
2023-06-09,Bybit,-10276219.2,Ethereum
2023-06-09,OKX,-4282230.6,Ethereum
2023-06-09,Gate.io,-2409159.873,Ethereum
2023-06-09,Bitfinex,-72666270.37,Ethereum
2023-06-09,Binance,-273838121.3,Ethereum
2023-06-09,Binance,15864326.37,Polygon
2023-06-09,Bitfinex,241949.3103,Polygon
2023-06-08,KuCoin,30737.55422,Arbitrum
2023-06-08,Binance,-6423126.03,Arbitrum
2023-06-08,Bybit,4554726.011,Arbitrum
