Date,Values,Blockchain
2023-06-05,206048,Ethereum
2023-06-05,59995,Optimism
2023-06-05,135285,Polygon
2023-06-05,142450,Solana
2023-06-04,55594,Avalanche
2023-06-04,181781,Ethereum
2023-06-04,45087,Optimism
2023-06-04,106735,Polygon
2023-06-04,97673,Solana
2023-06-03,51611,Avalanche
2023-06-03,183464,Ethereum
2023-06-03,43703,Optimism
2023-06-03,103132,Polygon
2023-06-03,92888,Solana
2023-06-02,51639,Avalanche
2023-06-02,204969,Ethereum
2023-06-02,44521,Optimism
2023-06-02,128853,Polygon
2023-06-02,83201,Solana
2023-06-01,58935,Avalanche
2023-06-01,225610,Ethereum
2023-06-01,42869,Optimism
2023-06-01,120756,Polygon
2023-06-01,213093,Solana
2023-05-31,78331,Avalanche
2023-05-29,65967,Avalanche
2023-05-29,269029,Ethereum
2023-05-29,43090,Optimism
2023-05-29,121199,Polygon
2023-05-29,277373,Solana
2023-05-28,58493,Avalanche
2023-05-28,243989,Ethereum
2023-05-28,41498,Optimism
2023-05-28,115176,Polygon
2023-05-28,428682,Solana
2023-05-27,57158,Avalanche
2023-05-27,208626,Ethereum
2023-05-27,31715,Optimism
2023-05-27,102764,Polygon
2023-05-27,384775,Solana
2023-05-26,61420,Avalanche
2023-05-26,236823,Ethereum
2023-05-26,39062,Optimism
2023-05-26,135144,Polygon
2023-05-26,232726,Solana
2023-05-25,69156,Avalanche
2023-05-25,232188,Ethereum
2023-05-25,40793,Optimism
2023-05-25,125791,Polygon
2023-05-25,194437,Solana
2023-05-24,68333,Avalanche
2023-05-24,237364,Ethereum
2023-05-24,42820,Optimism
2023-05-24,125025,Polygon
2023-05-24,220431,Solana
2023-05-23,61308,Avalanche
2023-05-23,273445,Ethereum
2023-05-23,34117,Optimism
2023-05-23,117383,Polygon
2023-05-23,178732,Solana
2023-05-22,53903,Avalanche
2023-05-22,260144,Ethereum
2023-05-22,34972,Optimism
2023-05-22,105025,Polygon
2023-05-22,277060,Solana
2023-05-21,45893,Avalanche
2023-05-21,218143,Ethereum
2023-05-21,32563,Optimism
2023-05-21,94039,Polygon
2023-05-21,169421,Solana
2023-05-20,53441,Avalanche
2023-05-20,196699,Ethereum
2023-05-20,28131,Optimism
2023-05-20,92744,Polygon
2023-05-20,186811,Solana
2023-05-19,49896,Avalanche
2023-05-19,235330,Ethereum
2023-05-19,35737,Optimism
2023-05-19,100683,Polygon
2023-05-19,151174,Solana
2023-05-18,49969,Avalanche
2023-05-18,235350,Ethereum
2023-05-18,47831,Optimism
2023-05-18,126437,Polygon
2023-05-18,211645,Solana
2023-05-17,50282,Avalanche
2023-05-17,224937,Ethereum
2023-05-17,51002,Optimism
2023-05-17,123750,Polygon
2023-05-17,181579,Solana
2023-05-16,45264,Avalanche
2023-05-16,242588,Ethereum
2023-05-16,40698,Optimism
2023-05-16,109841,Polygon
2023-05-16,175428,Solana
2023-05-15,44149,Avalanche
2023-05-15,252012,Ethereum
2023-05-15,35906,Optimism
2023-05-15,104350,Polygon
2023-05-15,246616,Solana
2023-05-14,44647,Avalanche
2023-05-14,219982,Ethereum
2023-05-14,29832,Optimism
2023-05-14,89762,Polygon
2023-05-14,489320,Solana
2023-05-13,41885,Avalanche
2023-05-13,213592,Ethereum
2023-05-13,32756,Optimism
2023-05-13,92636,Polygon
2023-05-13,426503,Solana
2023-05-12,46058,Avalanche
2023-05-12,256289,Ethereum
