Date,Exchange,Values,Blockchain
2023-07-24,Balancer,2498,Arbitrum
2023-07-24,Camelot,5613,Arbitrum
2023-07-24,Curve,79,Arbitrum
2023-07-24,DODO,1232,Arbitrum
2023-07-24,Fraxswap,58,Arbitrum
2023-07-24,GMX,411,Arbitrum
2023-07-24,KyberSwap,3316,Arbitrum
2023-07-24,Sushiswap,8227,Arbitrum
2023-07-24,Trader Joe,5632,Arbitrum
2023-07-24,Uniswap,58806,Arbitrum
2023-07-24,WOOFi,9840,Arbitrum
2023-07-24,Zyberswap,1595,Arbitrum
2023-07-24,Curve,595,Avalanche
2023-07-24,Fraxswap,73,Avalanche
2023-07-24,GMX,623,Avalanche
2023-07-24,Hashflow,110,Avalanche
2023-07-24,KyberSwap,465,Avalanche
2023-07-24,Pangolin,4508,Avalanche
2023-07-24,Platypus,1197,Avalanche
2023-07-24,Sushiswap,2606,Avalanche
2023-07-24,Trader Joe,37878,Avalanche
2023-07-24,WOOFi,8425,Avalanche
2023-07-24,uniswap-v3,4876,Avalanche
2023-07-24,Balancer,600,Ethereum
2023-07-24,Curve,847,Ethereum
2023-07-24,DODO,104,Ethereum
2023-07-24,Fraxswap,71,Ethereum
2023-07-24,Hashflow,310,Ethereum
2023-07-24,KyberSwap,30,Ethereum
2023-07-24,PancakeSwap,625,Ethereum
2023-07-24,ShibaSwap,510,Ethereum
2023-07-24,Sushiswap,4204,Ethereum
2023-07-24,Synthetix,3,Ethereum
2023-07-24,Uniswap,246228,Ethereum
2023-07-24,Beethoven X,2408,Optimism
2023-07-24,Curve,1462,Optimism
2023-07-24,Fraxswap,47,Optimism
2023-07-24,KyberSwap,75,Optimism
2023-07-24,Sushiswap,2172,Optimism
2023-07-24,Synthetix,10,Optimism
2023-07-24,Uniswap,49874,Optimism
2023-07-24,Velodrome,8622,Optimism
2023-07-24,WOOFi,4318,Optimism
2023-07-24,Balancer,4308,Polygon
2023-07-24,Curve,723,Polygon
2023-07-24,DODO,2747,Polygon
2023-07-24,Fraxswap,186,Polygon
2023-07-24,KyberSwap,806,Polygon
2023-07-24,QuickSwap,47038,Polygon
2023-07-24,Sushiswap,21532,Polygon
2023-07-24,Uniswap,61140,Polygon
2023-07-24,WOOFi,5961,Polygon
2023-07-23,Balancer,2461,Arbitrum
2023-07-23,Camelot,3888,Arbitrum
2023-07-23,Curve,91,Arbitrum
2023-07-23,DODO,1044,Arbitrum
2023-07-23,Fraxswap,57,Arbitrum
2023-07-23,GMX,176,Arbitrum
2023-07-23,KyberSwap,2157,Arbitrum
2023-07-23,Sushiswap,7563,Arbitrum
2023-07-23,Trader Joe,4597,Arbitrum
2023-07-23,Uniswap,51198,Arbitrum
2023-07-23,WOOFi,9212,Arbitrum
2023-07-23,Zyberswap,1123,Arbitrum
2023-07-23,Curve,561,Avalanche
2023-07-23,Fraxswap,44,Avalanche
2023-07-23,GMX,225,Avalanche
2023-07-23,Hashflow,92,Avalanche
2023-07-23,KyberSwap,623,Avalanche
2023-07-23,Pangolin,3993,Avalanche
2023-07-23,Platypus,829,Avalanche
2023-07-23,Sushiswap,2395,Avalanche
2023-07-23,Trader Joe,33913,Avalanche
2023-07-23,WOOFi,8237,Avalanche
2023-07-23,uniswap-v3,4006,Avalanche
2023-07-23,Balancer,415,Ethereum
2023-07-23,Curve,751,Ethereum
2023-07-23,DODO,54,Ethereum
2023-07-23,Fraxswap,66,Ethereum
2023-07-23,Hashflow,223,Ethereum
2023-07-23,KyberSwap,112,Ethereum
2023-07-23,PancakeSwap,581,Ethereum
2023-07-23,ShibaSwap,460,Ethereum
2023-07-23,Sushiswap,2888,Ethereum
2023-07-23,Synthetix,1,Ethereum
2023-07-23,Uniswap,236929,Ethereum
2023-07-23,Beethoven X,2746,Optimism
2023-07-23,Curve,1361,Optimism
2023-07-23,Fraxswap,47,Optimism
2023-07-23,KyberSwap,87,Optimism
2023-07-23,Sushiswap,2690,Optimism
2023-07-23,Synthetix,8,Optimism
2023-07-23,Uniswap,39544,Optimism
2023-07-23,Velodrome,9038,Optimism
2023-07-23,WOOFi,4089,Optimism
2023-07-23,Balancer,2542,Polygon
2023-07-23,Curve,745,Polygon
2023-07-23,DODO,2917,Polygon
2023-07-23,Fraxswap,210,Polygon
2023-07-23,KyberSwap,561,Polygon
2023-07-23,QuickSwap,40144,Polygon
2023-07-23,Sushiswap,20267,Polygon
2023-07-23,Uniswap,51725,Polygon
2023-07-23,WOOFi,5875,Polygon
2023-07-22,Balancer,2088,Arbitrum
2023-07-22,Camelot,4318,Arbitrum
2023-07-22,Curve,122,Arbitrum
2023-07-22,DODO,1593,Arbitrum
2023-07-22,Fraxswap,46,Arbitrum
2023-07-22,GMX,399,Arbitrum
2023-07-22,KyberSwap,1872,Arbitrum
2023-07-22,Sushiswap,7009,Arbitrum
2023-07-22,Trader Joe,4286,Arbitrum
2023-07-22,Uniswap,42349,Arbitrum
2023-07-22,WOOFi,9132,Arbitrum
2023-07-22,Zyberswap,814,Arbitrum
2023-07-22,Curve,550,Avalanche
2023-07-22,Fraxswap,56,Avalanche
2023-07-22,GMX,513,Avalanche
2023-07-22,Hashflow,71,Avalanche
2023-07-22,KyberSwap,357,Avalanche
2023-07-22,Pangolin,4864,Avalanche
2023-07-22,Platypus,949,Avalanche
2023-07-22,Sushiswap,2542,Avalanche
2023-07-22,Trader Joe,36386,Avalanche
2023-07-22,WOOFi,7027,Avalanche
2023-07-22,uniswap-v3,4706,Avalanche
2023-07-22,Balancer,586,Ethereum
2023-07-22,Curve,1051,Ethereum
2023-07-22,DODO,84,Ethereum
2023-07-22,Fraxswap,46,Ethereum
2023-07-22,Hashflow,196,Ethereum
2023-07-22,KyberSwap,45,Ethereum
2023-07-22,PancakeSwap,537,Ethereum
2023-07-22,ShibaSwap,487,Ethereum
2023-07-22,Sushiswap,2677,Ethereum
2023-07-22,Synthetix,1,Ethereum
2023-07-22,Uniswap,227540,Ethereum
2023-07-22,Beethoven X,2609,Optimism
2023-07-22,Curve,1355,Optimism
2023-07-22,Fraxswap,20,Optimism
2023-07-22,KyberSwap,86,Optimism
2023-07-22,Sushiswap,2022,Optimism
2023-07-22,Synthetix,8,Optimism
2023-07-22,Uniswap,36299,Optimism
2023-07-22,Velodrome,7886,Optimism
2023-07-22,WOOFi,3662,Optimism
2023-07-22,Balancer,2515,Polygon
2023-07-22,Curve,602,Polygon
2023-07-22,DODO,2508,Polygon
2023-07-22,Fraxswap,156,Polygon
2023-07-22,KyberSwap,506,Polygon
2023-07-22,QuickSwap,38196,Polygon
2023-07-22,Sushiswap,19684,Polygon
2023-07-22,Uniswap,55915,Polygon
2023-07-22,WOOFi,5599,Polygon
2023-07-21,Balancer,2091,Arbitrum
2023-07-21,Camelot,5296,Arbitrum
2023-07-21,Curve,88,Arbitrum
2023-07-21,DODO,1667,Arbitrum
2023-07-21,Fraxswap,62,Arbitrum
2023-07-21,GMX,321,Arbitrum
2023-07-21,KyberSwap,2679,Arbitrum
2023-07-21,Sushiswap,7619,Arbitrum
2023-07-21,Trader Joe,6935,Arbitrum
2023-07-21,Uniswap,54583,Arbitrum
2023-07-21,WOOFi,8584,Arbitrum
2023-07-21,Zyberswap,1220,Arbitrum
2023-07-21,Curve,429,Avalanche
2023-07-21,Fraxswap,78,Avalanche
2023-07-21,GMX,224,Avalanche
2023-07-21,Hashflow,96,Avalanche
2023-07-21,KyberSwap,370,Avalanche
2023-07-21,Pangolin,4962,Avalanche
2023-07-21,Platypus,901,Avalanche
2023-07-21,Sushiswap,2086,Avalanche
2023-07-21,Trader Joe,32267,Avalanche
2023-07-21,WOOFi,8152,Avalanche
2023-07-21,uniswap-v3,3981,Avalanche
2023-07-21,Balancer,454,Ethereum
2023-07-21,Curve,1562,Ethereum
2023-07-21,DODO,83,Ethereum
2023-07-21,Fraxswap,59,Ethereum
2023-07-21,Hashflow,230,Ethereum
2023-07-21,KyberSwap,21,Ethereum
2023-07-21,PancakeSwap,505,Ethereum
2023-07-21,ShibaSwap,662,Ethereum
2023-07-21,Sushiswap,3071,Ethereum
2023-07-21,Synthetix,2,Ethereum
2023-07-21,Uniswap,230540,Ethereum
2023-07-21,Beethoven X,2842,Optimism
2023-07-21,Curve,1056,Optimism
2023-07-21,Fraxswap,27,Optimism
2023-07-21,KyberSwap,47,Optimism
2023-07-21,Sushiswap,2090,Optimism
2023-07-21,Synthetix,15,Optimism
2023-07-21,Uniswap,37084,Optimism
2023-07-21,Velodrome,8235,Optimism
2023-07-21,WOOFi,4067,Optimism
2023-07-21,Balancer,3599,Polygon
2023-07-21,Curve,860,Polygon
2023-07-21,DODO,2172,Polygon
2023-07-21,Fraxswap,164,Polygon
2023-07-21,KyberSwap,578,Polygon
2023-07-21,QuickSwap,44574,Polygon
2023-07-21,Sushiswap,17409,Polygon
2023-07-21,Uniswap,67171,Polygon
2023-07-21,WOOFi,5934,Polygon
2023-07-20,Balancer,3006,Arbitrum
2023-07-20,Camelot,5644,Arbitrum
2023-07-20,Curve,68,Arbitrum
2023-07-20,DODO,1568,Arbitrum
2023-07-20,Fraxswap,72,Arbitrum
2023-07-20,GMX,530,Arbitrum
2023-07-20,KyberSwap,4213,Arbitrum
2023-07-20,Sushiswap,7895,Arbitrum
2023-07-20,Trader Joe,6751,Arbitrum
2023-07-20,Uniswap,69132,Arbitrum
2023-07-20,WOOFi,9228,Arbitrum
2023-07-20,Zyberswap,2009,Arbitrum
2023-07-20,Curve,456,Avalanche
2023-07-20,Fraxswap,78,Avalanche
2023-07-20,GMX,469,Avalanche
2023-07-20,Hashflow,107,Avalanche
2023-07-20,KyberSwap,543,Avalanche
2023-07-20,Pangolin,5467,Avalanche
2023-07-20,Platypus,911,Avalanche
2023-07-20,Sushiswap,1684,Avalanche
2023-07-20,Trader Joe,30850,Avalanche
2023-07-20,WOOFi,9123,Avalanche
2023-07-20,uniswap-v3,3664,Avalanche
2023-07-20,Balancer,689,Ethereum
2023-07-20,Curve,947,Ethereum
2023-07-20,DODO,72,Ethereum
2023-07-20,Fraxswap,85,Ethereum
2023-07-20,Hashflow,378,Ethereum
2023-07-20,KyberSwap,31,Ethereum
2023-07-20,PancakeSwap,654,Ethereum
2023-07-20,ShibaSwap,666,Ethereum
2023-07-20,Sushiswap,3981,Ethereum
2023-07-20,Uniswap,233938,Ethereum
2023-07-20,Beethoven X,2344,Optimism
2023-07-20,Curve,1291,Optimism
2023-07-20,Fraxswap,50,Optimism
2023-07-20,KyberSwap,78,Optimism
2023-07-20,Sushiswap,2078,Optimism
2023-07-20,Synthetix,14,Optimism
2023-07-20,Uniswap,44642,Optimism
2023-07-20,Velodrome,9562,Optimism
2023-07-20,WOOFi,5009,Optimism
2023-07-20,Balancer,4869,Polygon
2023-07-20,Curve,707,Polygon
2023-07-20,DODO,2120,Polygon
2023-07-20,Fraxswap,224,Polygon
2023-07-20,KyberSwap,916,Polygon
2023-07-20,QuickSwap,52142,Polygon
2023-07-20,Sushiswap,17366,Polygon
2023-07-20,Uniswap,82684,Polygon
2023-07-20,WOOFi,6933,Polygon
2023-07-19,Balancer,1728,Arbitrum
2023-07-19,Camelot,5600,Arbitrum
2023-07-19,Curve,201,Arbitrum
2023-07-19,DODO,1679,Arbitrum
2023-07-19,Fraxswap,107,Arbitrum
2023-07-19,GMX,297,Arbitrum
2023-07-19,KyberSwap,4383,Arbitrum
2023-07-19,Sushiswap,7600,Arbitrum
2023-07-19,Trader Joe,6076,Arbitrum
2023-07-19,Uniswap,70490,Arbitrum
2023-07-19,WOOFi,11331,Arbitrum
2023-07-19,Zyberswap,2025,Arbitrum
2023-07-19,Curve,723,Avalanche
2023-07-19,Fraxswap,125,Avalanche
2023-07-19,GMX,345,Avalanche
2023-07-19,Hashflow,127,Avalanche
2023-07-19,KyberSwap,697,Avalanche
2023-07-19,Pangolin,5533,Avalanche
2023-07-19,Platypus,1246,Avalanche
2023-07-19,Sushiswap,2073,Avalanche
2023-07-19,Trader Joe,32913,Avalanche
2023-07-19,WOOFi,10782,Avalanche
2023-07-19,uniswap-v3,2805,Avalanche
2023-07-19,Balancer,573,Ethereum
2023-07-19,Curve,1011,Ethereum
2023-07-19,DODO,69,Ethereum
2023-07-19,Fraxswap,76,Ethereum
2023-07-19,Hashflow,294,Ethereum
2023-07-19,KyberSwap,26,Ethereum
2023-07-19,PancakeSwap,558,Ethereum
2023-07-19,ShibaSwap,602,Ethereum
2023-07-19,Sushiswap,4060,Ethereum
2023-07-19,Synthetix,3,Ethereum
2023-07-19,Uniswap,224054,Ethereum
2023-07-19,Beethoven X,3676,Optimism
2023-07-19,Curve,1313,Optimism
2023-07-19,Fraxswap,45,Optimism
2023-07-19,KyberSwap,95,Optimism
2023-07-19,Sushiswap,2508,Optimism
2023-07-19,Synthetix,18,Optimism
2023-07-19,Uniswap,47664,Optimism
2023-07-19,Velodrome,12400,Optimism
2023-07-19,WOOFi,5352,Optimism
2023-07-19,Balancer,3299,Polygon
2023-07-19,Curve,763,Polygon
2023-07-19,DODO,2729,Polygon
2023-07-19,Fraxswap,192,Polygon
2023-07-19,KyberSwap,637,Polygon
2023-07-19,QuickSwap,46086,Polygon
2023-07-19,Sushiswap,15985,Polygon
2023-07-19,Uniswap,71277,Polygon
2023-07-19,WOOFi,7622,Polygon
2023-07-18,Balancer,2284,Arbitrum
2023-07-18,Camelot,5678,Arbitrum
2023-07-18,Curve,3625,Arbitrum
2023-07-18,DODO,1437,Arbitrum
2023-07-18,Fraxswap,90,Arbitrum
2023-07-18,GMX,367,Arbitrum
2023-07-18,KyberSwap,4000,Arbitrum
2023-07-18,Sushiswap,7631,Arbitrum
2023-07-18,Trader Joe,5757,Arbitrum
2023-07-18,Uniswap,80446,Arbitrum
2023-07-18,WOOFi,8709,Arbitrum
2023-07-18,Zyberswap,2453,Arbitrum
2023-07-18,Curve,470,Avalanche
2023-07-18,Fraxswap,112,Avalanche
2023-07-18,GMX,402,Avalanche
2023-07-18,Hashflow,107,Avalanche
2023-07-18,KyberSwap,616,Avalanche
2023-07-18,Pangolin,5355,Avalanche
2023-07-18,Platypus,990,Avalanche
2023-07-18,Sushiswap,1845,Avalanche
2023-07-18,Trader Joe,29644,Avalanche
2023-07-18,WOOFi,7364,Avalanche
2023-07-18,uniswap-v3,2617,Avalanche
2023-07-18,Balancer,584,Ethereum
2023-07-18,Curve,926,Ethereum
2023-07-18,DODO,81,Ethereum
2023-07-18,Fraxswap,47,Ethereum
2023-07-18,Hashflow,274,Ethereum
2023-07-18,KyberSwap,32,Ethereum
2023-07-18,PancakeSwap,505,Ethereum
2023-07-18,ShibaSwap,534,Ethereum
2023-07-18,Sushiswap,4562,Ethereum
2023-07-18,Synthetix,1,Ethereum
2023-07-18,Uniswap,197696,Ethereum
2023-07-18,Beethoven X,3093,Optimism
2023-07-18,Curve,1273,Optimism
2023-07-18,Fraxswap,34,Optimism
2023-07-18,KyberSwap,79,Optimism
2023-07-18,Sushiswap,2149,Optimism
2023-07-18,Synthetix,7,Optimism
2023-07-18,Uniswap,47611,Optimism
2023-07-18,Velodrome,13699,Optimism
2023-07-18,WOOFi,4394,Optimism
2023-07-18,Balancer,3489,Polygon
2023-07-18,Curve,794,Polygon
2023-07-18,DODO,2629,Polygon
2023-07-18,Fraxswap,228,Polygon
2023-07-18,KyberSwap,727,Polygon
2023-07-18,QuickSwap,44854,Polygon
2023-07-18,Sushiswap,21010,Polygon
2023-07-18,Uniswap,80850,Polygon
2023-07-18,WOOFi,5992,Polygon
2023-07-17,Balancer,2301,Arbitrum
2023-07-17,Camelot,6868,Arbitrum
2023-07-17,Curve,2563,Arbitrum
2023-07-17,DODO,1558,Arbitrum
2023-07-17,Fraxswap,98,Arbitrum
2023-07-17,GMX,331,Arbitrum
2023-07-17,KyberSwap,4686,Arbitrum
2023-07-17,Sushiswap,8297,Arbitrum
2023-07-17,Trader Joe,7751,Arbitrum
2023-07-17,Uniswap,98314,Arbitrum
2023-07-17,WOOFi,8286,Arbitrum
2023-07-17,Zyberswap,3051,Arbitrum
2023-07-17,Curve,638,Avalanche
2023-07-17,Fraxswap,153,Avalanche
2023-07-17,GMX,668,Avalanche
2023-07-17,Hashflow,180,Avalanche
2023-07-17,KyberSwap,684,Avalanche
2023-07-17,Pangolin,6003,Avalanche
2023-07-17,Platypus,1075,Avalanche
2023-07-17,Sushiswap,2198,Avalanche
2023-07-17,Trader Joe,31931,Avalanche
2023-07-17,WOOFi,8366,Avalanche
2023-07-17,uniswap-v3,2887,Avalanche
2023-07-17,Balancer,804,Ethereum
2023-07-17,Curve,1372,Ethereum
2023-07-17,DODO,102,Ethereum
2023-07-17,Fraxswap,92,Ethereum
2023-07-17,Hashflow,304,Ethereum
2023-07-17,KyberSwap,33,Ethereum
2023-07-17,PancakeSwap,749,Ethereum
2023-07-17,ShibaSwap,667,Ethereum
2023-07-17,Sushiswap,4206,Ethereum
2023-07-17,Synthetix,6,Ethereum
2023-07-17,Uniswap,228534,Ethereum
2023-07-17,Beethoven X,2673,Optimism
2023-07-17,Curve,1486,Optimism
2023-07-17,Fraxswap,60,Optimism
2023-07-17,KyberSwap,76,Optimism
2023-07-17,Sushiswap,2049,Optimism
2023-07-17,Synthetix,16,Optimism
2023-07-17,Uniswap,49489,Optimism
2023-07-17,Velodrome,15341,Optimism
2023-07-17,WOOFi,3917,Optimism
2023-07-17,Balancer,5216,Polygon
2023-07-17,Curve,762,Polygon
2023-07-17,DODO,2935,Polygon
2023-07-17,Fraxswap,339,Polygon
2023-07-17,KyberSwap,901,Polygon
2023-07-17,QuickSwap,52863,Polygon
2023-07-17,Sushiswap,22141,Polygon
2023-07-17,Uniswap,90350,Polygon
2023-07-17,WOOFi,6418,Polygon
2023-07-16,Balancer,2200,Arbitrum
2023-07-16,Camelot,5731,Arbitrum
2023-07-16,Curve,1316,Arbitrum
2023-07-16,DODO,1460,Arbitrum
2023-07-16,Fraxswap,40,Arbitrum
2023-07-16,GMX,234,Arbitrum
2023-07-16,KyberSwap,3316,Arbitrum
2023-07-16,Sushiswap,7244,Arbitrum
2023-07-16,Trader Joe,5648,Arbitrum
2023-07-16,Uniswap,71913,Arbitrum
2023-07-16,WOOFi,10965,Arbitrum
2023-07-16,Zyberswap,2026,Arbitrum
2023-07-16,Curve,781,Avalanche
2023-07-16,Fraxswap,73,Avalanche
2023-07-16,GMX,387,Avalanche
2023-07-16,Hashflow,140,Avalanche
2023-07-16,KyberSwap,680,Avalanche
2023-07-16,Pangolin,4542,Avalanche
2023-07-16,Platypus,1018,Avalanche
2023-07-16,Sushiswap,1822,Avalanche
2023-07-16,Trader Joe,27057,Avalanche
2023-07-16,WOOFi,11699,Avalanche
2023-07-16,uniswap-v3,2062,Avalanche
2023-07-16,Balancer,805,Ethereum
2023-07-16,Curve,1035,Ethereum
2023-07-16,DODO,54,Ethereum
2023-07-16,Fraxswap,61,Ethereum
2023-07-16,Hashflow,216,Ethereum
2023-07-16,KyberSwap,35,Ethereum
2023-07-16,PancakeSwap,527,Ethereum
2023-07-16,ShibaSwap,581,Ethereum
2023-07-16,Sushiswap,3953,Ethereum
2023-07-16,Synthetix,3,Ethereum
2023-07-16,Uniswap,211363,Ethereum
2023-07-16,Beethoven X,3468,Optimism
2023-07-16,Curve,1360,Optimism
2023-07-16,Fraxswap,26,Optimism
2023-07-16,KyberSwap,82,Optimism
2023-07-16,Sushiswap,2279,Optimism
2023-07-16,Synthetix,27,Optimism
2023-07-16,Uniswap,50111,Optimism
2023-07-16,Velodrome,13326,Optimism
2023-07-16,WOOFi,4782,Optimism
2023-07-16,Balancer,4330,Polygon
2023-07-16,Curve,525,Polygon
2023-07-16,DODO,2995,Polygon
2023-07-16,Fraxswap,241,Polygon
2023-07-16,KyberSwap,574,Polygon
2023-07-16,QuickSwap,45613,Polygon
2023-07-16,Sushiswap,16448,Polygon
2023-07-16,Uniswap,66991,Polygon
2023-07-16,WOOFi,5576,Polygon
2023-07-15,Balancer,2678,Arbitrum
2023-07-15,Camelot,5451,Arbitrum
2023-07-15,Curve,976,Arbitrum
2023-07-15,DODO,1607,Arbitrum
2023-07-15,Fraxswap,59,Arbitrum
2023-07-15,GMX,197,Arbitrum
2023-07-15,KyberSwap,3323,Arbitrum
2023-07-15,Sushiswap,7578,Arbitrum
2023-07-15,Trader Joe,7143,Arbitrum
2023-07-15,Uniswap,79979,Arbitrum
2023-07-15,WOOFi,9978,Arbitrum
2023-07-15,Zyberswap,2225,Arbitrum
2023-07-15,Curve,530,Avalanche
2023-07-15,Fraxswap,121,Avalanche
2023-07-15,GMX,605,Avalanche
2023-07-15,Hashflow,198,Avalanche
2023-07-15,KyberSwap,643,Avalanche
2023-07-15,Pangolin,5227,Avalanche
2023-07-15,Platypus,933,Avalanche
2023-07-15,Sushiswap,1755,Avalanche
2023-07-15,Trader Joe,30770,Avalanche
2023-07-15,WOOFi,8932,Avalanche
2023-07-15,Balancer,1048,Ethereum
2023-07-15,Curve,1211,Ethereum
2023-07-15,DODO,76,Ethereum
2023-07-15,Fraxswap,137,Ethereum
2023-07-15,Hashflow,219,Ethereum
2023-07-15,KyberSwap,36,Ethereum
2023-07-15,PancakeSwap,532,Ethereum
2023-07-15,ShibaSwap,778,Ethereum
2023-07-15,Sushiswap,4506,Ethereum
2023-07-15,Synthetix,1,Ethereum
2023-07-15,Uniswap,178126,Ethereum
2023-07-15,Beethoven X,3772,Optimism
2023-07-15,Curve,1619,Optimism
2023-07-15,Fraxswap,41,Optimism
2023-07-15,KyberSwap,148,Optimism
2023-07-15,Sushiswap,2540,Optimism
2023-07-15,Synthetix,13,Optimism
2023-07-15,Uniswap,58857,Optimism
2023-07-15,Velodrome,15420,Optimism
2023-07-15,WOOFi,4649,Optimism
2023-07-15,Balancer,3865,Polygon
2023-07-15,Curve,424,Polygon
2023-07-15,DODO,2633,Polygon
2023-07-15,Fraxswap,248,Polygon
2023-07-15,KyberSwap,787,Polygon
2023-07-15,QuickSwap,42361,Polygon
2023-07-15,Sushiswap,18833,Polygon
2023-07-15,Uniswap,68096,Polygon
2023-07-15,WOOFi,6193,Polygon
2023-07-14,Balancer,3297,Arbitrum
2023-07-14,Camelot,9298,Arbitrum
2023-07-14,Curve,171,Arbitrum
2023-07-14,DODO,2495,Arbitrum
2023-07-14,Fraxswap,195,Arbitrum
2023-07-14,GMX,542,Arbitrum
2023-07-14,KyberSwap,6976,Arbitrum
2023-07-14,Sushiswap,10964,Arbitrum
2023-07-14,Trader Joe,10533,Arbitrum
2023-07-14,Uniswap,127285,Arbitrum
2023-07-14,WOOFi,10290,Arbitrum
2023-07-14,Zyberswap,4724,Arbitrum
2023-07-14,Curve,1023,Avalanche
2023-07-14,Fraxswap,430,Avalanche
2023-07-14,GMX,2126,Avalanche
2023-07-14,Hashflow,266,Avalanche
2023-07-14,KyberSwap,893,Avalanche
2023-07-14,Pangolin,12109,Avalanche
2023-07-14,Platypus,2034,Avalanche
2023-07-14,Sushiswap,2577,Avalanche
2023-07-14,Trader Joe,49588,Avalanche
2023-07-14,WOOFi,10639,Avalanche
2023-07-14,Balancer,1478,Ethereum
2023-07-14,Curve,1744,Ethereum
2023-07-14,DODO,124,Ethereum
2023-07-14,Fraxswap,187,Ethereum
2023-07-14,Hashflow,450,Ethereum
2023-07-14,KyberSwap,40,Ethereum
2023-07-14,PancakeSwap,1043,Ethereum
2023-07-14,ShibaSwap,849,Ethereum
2023-07-14,Sushiswap,5825,Ethereum
2023-07-14,Synthetix,20,Ethereum
2023-07-14,Uniswap,189770,Ethereum
2023-07-14,Beethoven X,2521,Optimism
2023-07-14,Curve,1923,Optimism
2023-07-14,Fraxswap,112,Optimism
2023-07-14,KyberSwap,97,Optimism
2023-07-14,Sushiswap,2169,Optimism
2023-07-14,Synthetix,37,Optimism
2023-07-14,Uniswap,67330,Optimism
2023-07-14,Velodrome,17416,Optimism
2023-07-14,WOOFi,3755,Optimism
2023-07-14,Balancer,7139,Polygon
2023-07-14,Curve,857,Polygon
2023-07-14,DODO,3671,Polygon
2023-07-14,Fraxswap,374,Polygon
2023-07-14,KyberSwap,2105,Polygon
2023-07-14,QuickSwap,62516,Polygon
2023-07-14,Sushiswap,24322,Polygon
2023-07-14,Uniswap,113678,Polygon
2023-07-14,WOOFi,7288,Polygon
2023-07-13,Balancer,2656,Arbitrum
2023-07-13,Camelot,7939,Arbitrum
2023-07-13,Curve,87,Arbitrum
2023-07-13,DODO,2020,Arbitrum
2023-07-13,Fraxswap,150,Arbitrum
2023-07-13,GMX,862,Arbitrum
2023-07-13,KyberSwap,5201,Arbitrum
2023-07-13,Sushiswap,8588,Arbitrum
2023-07-13,Trader Joe,8182,Arbitrum
2023-07-13,Uniswap,90542,Arbitrum
2023-07-13,WOOFi,11775,Arbitrum
2023-07-13,Zyberswap,3998,Arbitrum
2023-07-13,Curve,661,Avalanche
2023-07-13,Fraxswap,165,Avalanche
2023-07-13,GMX,921,Avalanche
2023-07-13,Hashflow,174,Avalanche
2023-07-13,KyberSwap,677,Avalanche
2023-07-13,Pangolin,5997,Avalanche
2023-07-13,Platypus,1151,Avalanche
2023-07-13,Sushiswap,1928,Avalanche
2023-07-13,Trader Joe,36104,Avalanche
2023-07-13,WOOFi,10495,Avalanche
2023-07-13,Beethoven X,2669,Optimism
2023-07-13,Curve,1611,Optimism
2023-07-13,Fraxswap,86,Optimism
2023-07-13,KyberSwap,94,Optimism
2023-07-13,Sushiswap,2675,Optimism
2023-07-13,Synthetix,87,Optimism
2023-07-13,Uniswap,46485,Optimism
2023-07-13,Velodrome,12555,Optimism
2023-07-13,WOOFi,4789,Optimism
2023-07-13,Balancer,5911,Polygon
2023-07-13,Curve,1035,Polygon
2023-07-13,DODO,3208,Polygon
2023-07-13,Fraxswap,366,Polygon
2023-07-13,KyberSwap,1539,Polygon
2023-07-13,QuickSwap,62048,Polygon
2023-07-13,Sushiswap,21438,Polygon
2023-07-13,Uniswap,110572,Polygon
2023-07-13,WOOFi,8281,Polygon
2023-07-12,Balancer,2339,Arbitrum
2023-07-12,Camelot,6188,Arbitrum
2023-07-12,Curve,2403,Arbitrum
2023-07-12,DODO,2049,Arbitrum
2023-07-12,Fraxswap,69,Arbitrum
2023-07-12,GMX,291,Arbitrum
2023-07-12,KyberSwap,2724,Arbitrum
2023-07-12,Sushiswap,6170,Arbitrum
2023-07-12,Trader Joe,6460,Arbitrum
2023-07-12,Uniswap,60813,Arbitrum
2023-07-12,WOOFi,13000,Arbitrum
2023-07-12,Zyberswap,2089,Arbitrum
2023-07-12,Curve,520,Avalanche
2023-07-12,Fraxswap,68,Avalanche
2023-07-12,GMX,395,Avalanche
2023-07-12,Hashflow,165,Avalanche
2023-07-12,KyberSwap,799,Avalanche
2023-07-12,Pangolin,4768,Avalanche
2023-07-12,Platypus,307,Avalanche
2023-07-12,Sushiswap,2207,Avalanche
2023-07-12,Trader Joe,32751,Avalanche
2023-07-12,WOOFi,10983,Avalanche
2023-07-12,Balancer,1663,Ethereum
2023-07-12,Curve,1401,Ethereum
2023-07-12,DODO,57,Ethereum
2023-07-12,Fraxswap,67,Ethereum
