Date,Values,Blockchain
2023-10-06,18058,Arbitrum
2023-10-06,6528,Avalanche
2023-10-06,109943,BSC
2023-10-06,10301,Base
2023-10-06,48934,Ethereum
2023-10-06,457,Gnosis
2023-10-06,207,NEAR
2023-10-06,9133,Optimism
2023-10-06,141,Osmosis
2023-10-06,22442,Polygon
2023-10-06,6484,Solana
2023-10-05,17325,Arbitrum
2023-10-05,6072,Avalanche
2023-10-05,109498,BSC
2023-10-05,10726,Base
2023-10-05,47488,Ethereum
2023-10-05,448,Gnosis
2023-10-05,201,NEAR
2023-10-05,9826,Optimism
2023-10-05,169,Osmosis
2023-10-05,23448,Polygon
2023-10-05,7153,Solana
2023-10-04,17509,Arbitrum
2023-10-04,6538,Avalanche
2023-10-04,113324,BSC
2023-10-04,9295,Base
2023-10-04,50293,Ethereum
2023-10-04,406,Gnosis
2023-10-04,268,NEAR
2023-10-04,9038,Optimism
2023-10-04,157,Osmosis
2023-10-04,20641,Polygon
2023-10-04,6746,Solana
2023-10-03,18890,Arbitrum
2023-10-03,6139,Avalanche
2023-10-03,109669,BSC
2023-10-03,12158,Base
2023-10-03,52810,Ethereum
2023-10-03,397,Gnosis
2023-10-03,228,NEAR
2023-10-03,18199,Optimism
2023-10-03,158,Osmosis
2023-10-03,20431,Polygon
2023-10-03,7953,Solana
2023-10-02,17181,Arbitrum
2023-10-02,6596,Avalanche
2023-10-02,114622,BSC
2023-10-02,10983,Base
2023-10-02,54213,Ethereum
2023-10-02,511,Gnosis
2023-10-02,238,NEAR
2023-10-02,10119,Optimism
2023-10-02,169,Osmosis
2023-10-02,22356,Polygon
2023-10-02,8040,Solana
2023-10-01,18476,Arbitrum
2023-10-01,6324,Avalanche
2023-10-01,102413,BSC
2023-10-01,10060,Base
2023-10-01,47826,Ethereum
2023-10-01,368,Gnosis
2023-10-01,283,NEAR
2023-10-01,9744,Optimism
2023-10-01,159,Osmosis
2023-10-01,21322,Polygon
2023-10-01,8052,Solana
2023-09-30,19180,Arbitrum
2023-09-30,6552,Avalanche
2023-09-30,104949,BSC
2023-09-30,11334,Base
2023-09-30,46316,Ethereum
2023-09-30,422,Gnosis
2023-09-30,211,NEAR
2023-09-30,38543,Optimism
2023-09-30,151,Osmosis
2023-09-30,22453,Polygon
2023-09-30,6948,Solana
2023-09-29,18334,Arbitrum
2023-09-29,6516,Avalanche
2023-09-29,104436,BSC
2023-09-29,13296,Base
2023-09-29,50346,Ethereum
2023-09-29,469,Gnosis
2023-09-29,223,NEAR
2023-09-29,10508,Optimism
2023-09-29,160,Osmosis
2023-09-29,27324,Polygon
2023-09-29,8031,Solana
2023-09-28,19130,Arbitrum
2023-09-28,6244,Avalanche
2023-09-28,109773,BSC
2023-09-28,10553,Base
2023-09-28,49419,Ethereum
2023-09-28,491,Gnosis
2023-09-28,221,NEAR
2023-09-28,20443,Optimism
2023-09-28,158,Osmosis
2023-09-28,25516,Polygon
2023-09-28,7060,Solana
2023-09-27,17297,Arbitrum
2023-09-27,6762,Avalanche
2023-09-27,111591,BSC
2023-09-27,9629,Base
