Date,Exchange,Values,Blockchain
2023-09-23,Balancer,83,Avalanche
2023-09-23,Curve,139,Avalanche
2023-09-23,Fraxswap,12,Avalanche
2023-09-23,GMX,79,Avalanche
2023-09-23,Hashflow,46,Avalanche
2023-09-23,KyberSwap,198,Avalanche
2023-09-23,Pangolin,1150,Avalanche
2023-09-23,Platypus,254,Avalanche
2023-09-23,Sushiswap,445,Avalanche
2023-09-23,Trader Joe,4262,Avalanche
2023-09-23,Uniswap,828,Avalanche
2023-09-23,WOOFi,779,Avalanche
2023-09-23,Balancer,201,Ethereum
2023-09-23,Curve,470,Ethereum
2023-09-23,DODO,186,Ethereum
2023-09-23,Fraxswap,37,Ethereum
2023-09-23,Hashflow,219,Ethereum
2023-09-23,KyberSwap,31,Ethereum
2023-09-23,PancakeSwap,396,Ethereum
2023-09-23,ShibaSwap,472,Ethereum
2023-09-23,Sushiswap,1647,Ethereum
2023-09-23,Synthetix,1,Ethereum
2023-09-23,Trader Joe,2,Ethereum
2023-09-23,Uniswap,40874,Ethereum
2023-09-23,Beethoven X,277,Optimism
2023-09-23,Curve,271,Optimism
2023-09-23,Fraxswap,5,Optimism
2023-09-23,KyberSwap,20,Optimism
2023-09-23,Sushiswap,23,Optimism
2023-09-23,Synthetix,1,Optimism
2023-09-23,Uniswap,10915,Optimism
2023-09-23,Velodrome,3596,Optimism
2023-09-23,WOOFi,547,Optimism
2023-09-23,Balancer,951,Polygon
2023-09-23,Curve,259,Polygon
2023-09-23,DODO,778,Polygon
2023-09-23,Fraxswap,44,Polygon
2023-09-23,KyberSwap,390,Polygon
2023-09-23,QuickSwap,9103,Polygon
2023-09-23,Sushiswap,3707,Polygon
2023-09-23,Uniswap,11478,Polygon
2023-09-23,WOOFi,933,Polygon
2023-09-22,Balancer,65,Avalanche
2023-09-22,Curve,145,Avalanche
2023-09-22,Fraxswap,12,Avalanche
2023-09-22,GMX,110,Avalanche
2023-09-22,Hashflow,69,Avalanche
2023-09-22,KyberSwap,201,Avalanche
2023-09-22,Pangolin,1138,Avalanche
2023-09-22,Platypus,253,Avalanche
2023-09-22,Sushiswap,524,Avalanche
2023-09-22,Trader Joe,4867,Avalanche
2023-09-22,Uniswap,905,Avalanche
2023-09-22,WOOFi,1028,Avalanche
2023-09-22,Balancer,300,Ethereum
2023-09-22,Curve,596,Ethereum
2023-09-22,DODO,218,Ethereum
2023-09-22,Fraxswap,48,Ethereum
2023-09-22,Hashflow,290,Ethereum
2023-09-22,KyberSwap,21,Ethereum
2023-09-22,PancakeSwap,473,Ethereum
