Date,Values,Blockchain
2023-09-26,92706296.8299999,Arbitrum
2023-09-26,9687626.69000002,Avalanche
2023-09-26,104087217.31,BSC
2023-09-26,3352552.45,Base
2023-09-26,482603658.7,Ethereum
2023-09-26,865782.01,Gnosis
2023-09-26,290542.338612356,NEAR
2023-09-26,6758003.56000004,Optimism
2023-09-26,582075.73767723,Osmosis
2023-09-26,40380272.42,Polygon
2023-09-25,107653342.4,Arbitrum
2023-09-25,11842240.77,Avalanche
2023-09-25,109602683.6,BSC
2023-09-25,3504545.95,Base
2023-09-25,680834440.0,Ethereum
2023-09-25,267939.64,Gnosis
2023-09-25,86683.25307,NEAR
2023-09-25,15598098.14,Optimism
2023-09-25,844018.574,Osmosis
2023-09-25,45222789.69,Polygon
2023-09-24,74372542.19,Arbitrum
2023-09-24,10774086.53,Avalanche
2023-09-24,71658305.62,BSC
2023-09-24,2619115.53,Base
2023-09-24,339523589.1,Ethereum
2023-09-24,96536.14,Gnosis
2023-09-24,67704.3277,NEAR
2023-09-24,10482966.63,Optimism
2023-09-24,445627.7236,Osmosis
2023-09-24,30386638.48,Polygon
2023-09-23,54084989.74,Arbitrum
2023-09-23,7328680.58,Avalanche
2023-09-23,49205557.58,BSC
2023-09-23,3419259.47,Base
2023-09-23,429206022.8,Ethereum
2023-09-23,111996.69,Gnosis
2023-09-23,62028.8033,NEAR
2023-09-23,10824688.18,Optimism
2023-09-23,400258.9243,Osmosis
2023-09-23,18684137.86,Polygon
2023-09-22,75134401.14,Arbitrum
2023-09-22,8824899.78,Avalanche
2023-09-22,91933188.44,BSC
2023-09-22,3515399.05,Base
2023-09-22,506185790.7,Ethereum
2023-09-22,146352.54,Gnosis
2023-09-22,170397.3915,NEAR
2023-09-22,12956645.15,Optimism
2023-09-22,345356.5834,Osmosis
2023-09-22,31333100.88,Polygon
2023-09-21,122958891.7,Arbitrum
2023-09-21,12089928.83,Avalanche
2023-09-21,129409765.5,BSC
2023-09-21,3745660.59,Base
2023-09-21,669300470.2,Ethereum
2023-09-21,163598.94,Gnosis
2023-09-21,272187.3412,NEAR
2023-09-21,8350177.78,Optimism
2023-09-21,902348.3403,Osmosis
2023-09-21,46219431.81,Polygon
2023-09-20,143699984.1,Arbitrum
2023-09-20,15603702.54,Avalanche
2023-09-20,126679087.9,BSC
2023-09-20,3934681.6,Base
2023-09-20,603882875.2,Ethereum
2023-09-20,187749.78,Gnosis
2023-09-20,542076.939,NEAR
2023-09-20,19862721.59,Optimism
2023-09-20,660303.7309,Osmosis
2023-09-20,53030071.17,Polygon
2023-09-19,138579762.8,Arbitrum
2023-09-19,13336455.08,Avalanche
2023-09-19,126581607.8,BSC
2023-09-19,1128412.39,Base
2023-09-19,668185111.5,Ethereum
2023-09-19,213277.23,Gnosis
2023-09-19,288115.6365,NEAR
2023-09-19,19104286.72,Optimism
2023-09-19,782801.9653,Osmosis
2023-09-19,54478039.16,Polygon
2023-09-18,169179381.0,Arbitrum
2023-09-18,19135831.96,Avalanche
2023-09-18,154845434.0,BSC
2023-09-18,3039305.91,Base
2023-09-18,764015271.0,Ethereum
2023-09-18,452520.06,Gnosis
2023-09-18,305019.3718,NEAR
2023-09-18,24058842.18,Optimism
2023-09-18,753579.263,Osmosis
2023-09-18,66118105.02,Polygon
2023-09-17,73280945.22,Arbitrum
2023-09-17,9698893.57,Avalanche
2023-09-17,87733762.41,BSC
2023-09-17,3381864.05,Base
2023-09-17,265061711.4,Ethereum
2023-09-17,107737.85,Gnosis
2023-09-17,338380.2655,NEAR
2023-09-17,13206720.25,Optimism
2023-09-17,690003.7119,Osmosis
2023-09-17,29795987.99,Polygon
2023-09-16,68549214.02,Arbitrum
2023-09-16,10330275.76,Avalanche
2023-09-16,86491606.51,BSC
2023-09-16,2347509.72,Base
2023-09-16,313311972.2,Ethereum
2023-09-16,143009.88,Gnosis
2023-09-16,88571.16484,NEAR
2023-09-16,5880689.06,Optimism
2023-09-16,569570.7156,Osmosis
2023-09-16,31742595.2,Polygon
2023-09-15,123024301.1,Arbitrum
2023-09-15,14958030.07,Avalanche
2023-09-15,134287763.9,BSC
2023-09-15,11473118.72,Base
2023-09-15,609556346.6,Ethereum
2023-09-15,198334.81,Gnosis
2023-09-15,169254.8691,NEAR
2023-09-15,21261304.55,Optimism
2023-09-15,701974.356,Osmosis
2023-09-15,45525508.74,Polygon
2023-09-14,180716352.5,Arbitrum
2023-09-14,19219433.92,Avalanche
2023-09-14,146138142.2,BSC
2023-09-14,12003296.39,Base
2023-09-14,613185483.0,Ethereum
2023-09-14,538090.25,Gnosis
2023-09-14,321414.8433,NEAR
2023-09-14,22087358.67,Optimism
2023-09-14,1256022.158,Osmosis
2023-09-14,59696938.19,Polygon
2023-09-13,151839522.0,Arbitrum
2023-09-13,16544515.55,Avalanche
2023-09-13,142427056.8,BSC
2023-09-13,1438031.67,Base
2023-09-13,690978705.1,Ethereum
2023-09-13,190723.4,Gnosis
2023-09-13,206265.2482,NEAR
2023-09-13,25398884.56,Optimism
2023-09-13,711453.279,Osmosis
2023-09-13,70126373.23,Polygon
2023-09-12,190634147.3,Arbitrum
2023-09-12,24567802.02,Avalanche
2023-09-12,229967654.2,BSC
2023-09-12,3026717.65,Base
2023-09-12,991498562.9,Ethereum
2023-09-12,263806.51,Gnosis
2023-09-12,326449.953,NEAR
2023-09-12,28782672.3,Optimism
2023-09-12,888745.9926,Osmosis
2023-09-12,81414054.26,Polygon
2023-09-11,221677321.2,Arbitrum
2023-09-11,28063266.86,Avalanche
2023-09-11,178710164.7,BSC
2023-09-11,2991830.15,Base
2023-09-11,1089402398.0,Ethereum
2023-09-11,364526.83,Gnosis
2023-09-11,417635.3105,NEAR
2023-09-11,30312334.44,Optimism
2023-09-11,1141803.156,Osmosis
2023-09-11,80801428.08,Polygon
2023-09-10,106008740.1,Arbitrum
2023-09-10,23387689.42,Avalanche
2023-09-10,115721224.2,BSC
2023-09-10,2050076.45,Base
2023-09-10,554416108.3,Ethereum
2023-09-10,105722.78,Gnosis
