Date,Exchange,Values,Blockchain
2023-06-05,Curve,840416.07,Avalanche
2023-06-05,Fraxswap,44451.49,Avalanche
2023-06-05,GMX,9051883.16,Avalanche
2023-06-05,Hashflow,311083.17,Avalanche
2023-06-05,KyberSwap,57416.28,Avalanche
2023-06-05,Pangolin,1499581.73,Avalanche
2023-06-05,Platypus,4831357.89,Avalanche
2023-06-05,Sushiswap,15707.07,Avalanche
2023-06-05,Trader Joe,44290020.4,Avalanche
2023-06-05,WOOFi,6458385.04,Avalanche
2023-06-05,Balancer,13280468.34,Ethereum
2023-06-05,Curve,118871089.87,Ethereum
2023-06-05,DODO,125250402.8,Ethereum
2023-06-05,Fraxswap,2776072.7,Ethereum
2023-06-05,Hashflow,12507480.47,Ethereum
2023-06-05,KyberSwap,21313.59,Ethereum
2023-06-05,Maverick,5680.82,Ethereum
2023-06-05,PancakeSwap,7380825.35,Ethereum
2023-06-05,ShibaSwap,1880119.53,Ethereum
2023-06-05,Sushiswap,10366785.6,Ethereum
2023-06-05,Uniswap,955737339.77,Ethereum
2023-06-05,Beethoven X,751076.75,Optimism
2023-06-05,Curve,15677.97,Optimism
2023-06-05,Fraxswap,13435.91,Optimism
2023-06-05,KyberSwap,1418.23,Optimism
2023-06-05,Sushiswap,201606.24,Optimism
2023-06-05,Synthetix,76191.08,Optimism
2023-06-05,Uniswap,33070598.96,Optimism
2023-06-05,Velodrome,13133486.98,Optimism
2023-06-05,WOOFi,1134611.63,Optimism
2023-06-05,Balancer,3743657.47,Polygon
2023-06-05,Curve,116027.49,Polygon
2023-06-05,DODO,2742145.62,Polygon
2023-06-05,Fraxswap,53144.74,Polygon
2023-06-05,KyberSwap,181180.04,Polygon
2023-06-05,QuickSwap,27662121.74,Polygon
2023-06-05,Sushiswap,711411.08,Polygon
2023-06-05,Uniswap,59164712.91,Polygon
2023-06-05,WOOFi,2482640.18,Polygon
2023-06-04,Curve,658176.12,Avalanche
2023-06-04,Fraxswap,7511.5,Avalanche
2023-06-04,GMX,1575517.07,Avalanche
2023-06-04,Hashflow,275224.71,Avalanche
2023-06-04,KyberSwap,57134.37,Avalanche
2023-06-04,Pangolin,390998.19,Avalanche
2023-06-04,Platypus,4763019.85,Avalanche
2023-06-04,Sushiswap,41713.05,Avalanche
2023-06-04,Trader Joe,21198959.42,Avalanche
2023-06-04,WOOFi,3199674.39,Avalanche
2023-06-04,Balancer,7161968.99,Ethereum
2023-06-04,Curve,38739979.9,Ethereum
2023-06-04,DODO,21081191.35,Ethereum
2023-06-04,Fraxswap,602288.87,Ethereum
2023-06-04,Hashflow,3426160.52,Ethereum
2023-06-04,KyberSwap,16977.97,Ethereum
2023-06-04,PancakeSwap,2469014.27,Ethereum
2023-06-04,ShibaSwap,635425.72,Ethereum
2023-06-04,Sushiswap,2976807.43,Ethereum
2023-06-04,Uniswap,297340873.07,Ethereum
2023-06-04,Beethoven X,465387.76,Optimism
2023-06-04,Curve,56544.43,Optimism
2023-06-04,Fraxswap,2298.7,Optimism
2023-06-04,KyberSwap,21140.96,Optimism
2023-06-04,Sushiswap,201052.86,Optimism
2023-06-04,Synthetix,5322.73,Optimism
2023-06-04,Uniswap,10345374.15,Optimism
2023-06-04,Velodrome,5763198.57,Optimism
2023-06-04,WOOFi,767963.88,Optimism
2023-06-04,Balancer,634869.39,Polygon
2023-06-04,Curve,93763.35,Polygon
2023-06-04,DODO,1647322.89,Polygon
2023-06-04,Fraxswap,9063.89,Polygon
2023-06-04,KyberSwap,92563.24,Polygon
2023-06-04,QuickSwap,10741539.62,Polygon
2023-06-04,Sushiswap,352086.61,Polygon
2023-06-04,Uniswap,22748301.54,Polygon
2023-06-04,WOOFi,1243111.11,Polygon
2023-06-03,Curve,409155.33,Avalanche
2023-06-03,Fraxswap,5836.29,Avalanche
2023-06-03,GMX,1279217.17,Avalanche
2023-06-03,Hashflow,107208.48,Avalanche
2023-06-03,KyberSwap,48147.65,Avalanche
2023-06-03,Pangolin,565075.31,Avalanche
2023-06-03,Platypus,2194087.27,Avalanche
2023-06-03,Sushiswap,27330.84,Avalanche
2023-06-03,Trader Joe,12567370.68,Avalanche
2023-06-03,WOOFi,2831003.76,Avalanche
2023-06-03,Balancer,7351765.71,Ethereum
2023-06-03,Curve,55999675.39,Ethereum
2023-06-03,DODO,36042071.99,Ethereum
2023-06-03,Fraxswap,736898.06,Ethereum
2023-06-03,Hashflow,2791532.59,Ethereum
2023-06-03,KyberSwap,20250.0,Ethereum
2023-06-03,PancakeSwap,5614187.4,Ethereum
2023-06-03,ShibaSwap,633038.95,Ethereum
2023-06-03,Sushiswap,4085544.92,Ethereum
2023-06-03,Synthetix,131874.55,Ethereum
2023-06-03,Uniswap,333963519.95,Ethereum
2023-06-03,Beethoven X,2254926.3,Optimism
2023-06-03,Curve,64899.24,Optimism
2023-06-03,Fraxswap,1307.6,Optimism
2023-06-03,KyberSwap,23874.06,Optimism
2023-06-03,Sushiswap,185711.39,Optimism
2023-06-03,Synthetix,1172.97,Optimism
2023-06-03,Uniswap,9700840.43,Optimism
2023-06-03,Velodrome,5673240.89,Optimism
2023-06-03,WOOFi,595075.84,Optimism
2023-06-03,Balancer,807815.11,Polygon
2023-06-03,Curve,348874.75,Polygon
2023-06-03,DODO,1280770.29,Polygon
2023-06-03,Fraxswap,8947.9,Polygon
2023-06-03,KyberSwap,105323.35,Polygon
2023-06-03,QuickSwap,9632669.94,Polygon
2023-06-03,Sushiswap,491750.81,Polygon
2023-06-03,Uniswap,18604493.49,Polygon
2023-06-03,WOOFi,1199232.39,Polygon
2023-06-02,Curve,361663.07,Avalanche
2023-06-02,Fraxswap,12430.84,Avalanche
2023-06-02,GMX,1039538.13,Avalanche
2023-06-02,Hashflow,61418.76,Avalanche
2023-06-02,KyberSwap,52540.22,Avalanche
2023-06-02,Pangolin,505384.36,Avalanche
2023-06-02,Platypus,1832588.75,Avalanche
2023-06-02,Sushiswap,25895.38,Avalanche
2023-06-02,Trader Joe,19665003.41,Avalanche
2023-06-02,WOOFi,3229711.98,Avalanche
2023-06-02,Balancer,12329109.08,Ethereum
2023-06-02,Curve,96689593.41,Ethereum
2023-06-02,DODO,61599469.57,Ethereum
2023-06-02,Fraxswap,1289400.41,Ethereum
2023-06-02,Hashflow,7024267.18,Ethereum
2023-06-02,KyberSwap,23179.4,Ethereum
2023-06-02,PancakeSwap,4060113.21,Ethereum
2023-06-02,ShibaSwap,979488.76,Ethereum
2023-06-02,Sushiswap,8573741.85,Ethereum
2023-06-02,Synthetix,1141.42,Ethereum
2023-06-02,Uniswap,511213922.09,Ethereum
2023-06-02,Beethoven X,1919461.35,Optimism
2023-06-02,Curve,1065835.75,Optimism
2023-06-02,Fraxswap,6543.88,Optimism
2023-06-02,KyberSwap,922.78,Optimism
2023-06-02,Sushiswap,204439.87,Optimism
2023-06-02,Synthetix,187783.2,Optimism
2023-06-02,Uniswap,16953362.42,Optimism
2023-06-02,Velodrome,6116944.05,Optimism
2023-06-02,WOOFi,1224668.82,Optimism
2023-06-02,Balancer,1683784.52,Polygon
2023-06-02,Curve,248219.23,Polygon
2023-06-02,DODO,2156713.52,Polygon
2023-06-02,Fraxswap,18295.07,Polygon
2023-06-02,KyberSwap,138122.66,Polygon
2023-06-02,QuickSwap,18273794.14,Polygon
2023-06-02,Sushiswap,269368.57,Polygon
2023-06-02,Uniswap,40006672.2,Polygon
2023-06-02,WOOFi,1717536.19,Polygon
2023-06-01,Curve,724304.98,Avalanche
2023-06-01,Fraxswap,12473.51,Avalanche
2023-06-01,GMX,3955771.91,Avalanche
2023-06-01,Hashflow,105208.98,Avalanche
2023-06-01,KyberSwap,47173.55,Avalanche
2023-06-01,Pangolin,368729.61,Avalanche
2023-06-01,Platypus,4965591.82,Avalanche
2023-06-01,Sushiswap,43694.06,Avalanche
2023-06-01,Trader Joe,17884951.92,Avalanche
2023-06-01,WOOFi,5204801.39,Avalanche
2023-06-01,Balancer,9213381.71,Ethereum
2023-06-01,Curve,109646823.19,Ethereum
2023-06-01,DODO,98455665.94,Ethereum
2023-06-01,Fraxswap,848356.0,Ethereum
2023-06-01,Hashflow,6628309.5,Ethereum
2023-06-01,KyberSwap,18089.27,Ethereum
2023-06-01,PancakeSwap,5418159.93,Ethereum
2023-06-01,ShibaSwap,1222434.84,Ethereum
2023-06-01,Sushiswap,7626779.16,Ethereum
2023-06-01,Synthetix,57398.37,Ethereum
2023-06-01,Uniswap,569195164.75,Ethereum
2023-06-01,Beethoven X,1452056.94,Optimism
2023-06-01,Curve,1574205.54,Optimism
2023-06-01,Fraxswap,7534.95,Optimism
2023-06-01,KyberSwap,5224.13,Optimism
2023-06-01,Sushiswap,213696.3,Optimism
2023-06-01,Synthetix,1923.3,Optimism
2023-06-01,Uniswap,19861890.15,Optimism
2023-06-01,Velodrome,9444099.21,Optimism
2023-06-01,WOOFi,938443.51,Optimism
2023-06-01,Balancer,1912619.32,Polygon
2023-06-01,Curve,550226.76,Polygon
2023-06-01,DODO,2528715.44,Polygon
2023-06-01,Fraxswap,21520.99,Polygon
2023-06-01,KyberSwap,144623.13,Polygon
2023-06-01,QuickSwap,19659019.28,Polygon
2023-06-01,Sushiswap,629894.06,Polygon
2023-06-01,Uniswap,41612081.58,Polygon
2023-06-01,WOOFi,1325233.43,Polygon
2023-05-31,Curve,455685.94,Avalanche
2023-05-31,Fraxswap,11456.84,Avalanche
2023-05-31,GMX,4208781.58,Avalanche
2023-05-31,Hashflow,73977.54,Avalanche
2023-05-31,KyberSwap,44574.85,Avalanche
2023-05-31,Pangolin,573552.28,Avalanche
2023-05-31,Platypus,6794263.52,Avalanche
2023-05-31,Sushiswap,44322.25,Avalanche
2023-05-31,Trader Joe,23328199.3,Avalanche
2023-05-31,WOOFi,7497931.04,Avalanche
2023-05-31,Balancer,53727058.04,Ethereum
2023-05-31,Curve,80689206.08,Ethereum
2023-05-31,DODO,67281369.26,Ethereum
2023-05-31,Fraxswap,1138672.26,Ethereum
2023-05-31,Hashflow,7386054.39,Ethereum
2023-05-31,KyberSwap,35767.33,Ethereum
2023-05-31,PancakeSwap,11843693.32,Ethereum
2023-05-31,ShibaSwap,891557.33,Ethereum
2023-05-31,Sushiswap,11289731.29,Ethereum
2023-05-31,Uniswap,613055575.16,Ethereum
2023-05-31,Beethoven X,2379215.76,Optimism
2023-05-31,Curve,1689621.67,Optimism
2023-05-31,Fraxswap,6165.25,Optimism
2023-05-31,KyberSwap,1971.8,Optimism
2023-05-31,Sushiswap,248323.23,Optimism
2023-05-31,Synthetix,18173.95,Optimism
2023-05-31,Uniswap,25934913.46,Optimism
2023-05-31,Velodrome,12206764.15,Optimism
2023-05-31,WOOFi,1450983.58,Optimism
2023-05-31,Balancer,1335420.08,Polygon
2023-05-31,Curve,400689.2,Polygon
2023-05-31,DODO,2084383.8,Polygon
2023-05-31,Fraxswap,16624.25,Polygon
2023-05-31,KyberSwap,232040.81,Polygon
2023-05-31,QuickSwap,19423764.43,Polygon
2023-05-31,Sushiswap,641748.85,Polygon
2023-05-31,Uniswap,40055300.97,Polygon
2023-05-31,WOOFi,2318190.21,Polygon
2023-05-30,Curve,1026090.68,Avalanche
2023-05-30,Fraxswap,19108.14,Avalanche
2023-05-30,GMX,1858196.82,Avalanche
2023-05-30,Hashflow,108988.61,Avalanche
2023-05-30,KyberSwap,41256.66,Avalanche
2023-05-30,Pangolin,412674.9,Avalanche
2023-05-30,Platypus,6500135.89,Avalanche
2023-05-30,Sushiswap,18187.74,Avalanche
2023-05-30,Trader Joe,24624699.38,Avalanche
2023-05-30,WOOFi,6010478.01,Avalanche
2023-05-30,Balancer,8865513.23,Ethereum
2023-05-30,Curve,92575043.33,Ethereum
2023-05-30,DODO,123170800.55,Ethereum
2023-05-30,Fraxswap,1397776.8,Ethereum
2023-05-30,Hashflow,8850344.5,Ethereum
2023-05-30,KyberSwap,45010.53,Ethereum
2023-05-30,PancakeSwap,6927202.68,Ethereum
2023-05-30,ShibaSwap,1490417.65,Ethereum
2023-05-30,Sushiswap,5526233.54,Ethereum
2023-05-30,Synthetix,213.51,Ethereum
2023-05-30,Uniswap,709667847.42,Ethereum
2023-05-30,Beethoven X,1712063.56,Optimism
2023-05-30,Curve,7129.59,Optimism
2023-05-30,Fraxswap,3620.56,Optimism
2023-05-30,KyberSwap,1707.82,Optimism
2023-05-30,Sushiswap,192049.14,Optimism
2023-05-30,Synthetix,2537.84,Optimism
2023-05-30,Uniswap,19028864.1,Optimism
2023-05-30,Velodrome,7906003.27,Optimism
2023-05-30,WOOFi,1205210.81,Optimism
2023-05-30,Balancer,927712.18,Polygon
2023-05-30,Curve,413127.6,Polygon
2023-05-30,DODO,1877241.53,Polygon
2023-05-30,Fraxswap,32881.29,Polygon
2023-05-30,KyberSwap,208773.83,Polygon
