Date,Values,Blockchain
2023-10-02,606856.984395,Arbitrum
2023-10-02,157869.793226,Avalanche
2023-10-02,774102.11005,Axelar
2023-10-02,113764.011985,BSC
2023-10-02,148082.479553,Base
2023-10-02,106461.707579,Ethereum
2023-10-02,13.503652141,NEAR
2023-10-02,774199.509046,Optimism
2023-10-02,561169.752936,Osmosis
2023-10-02,246731.890788,Polygon
2023-10-01,547662.992294,Arbitrum
2023-10-01,197261.862987,Avalanche
2023-10-01,767178.011105,Axelar
2023-10-01,112760.990657,BSC
2023-10-01,191330.215275,Base
2023-10-01,117516.357688,Ethereum
2023-10-01,13.014823564,NEAR
2023-10-01,759711.832975,Optimism
2023-10-01,530359.451459,Osmosis
2023-10-01,281278.578378,Polygon
2023-09-30,548407.477366,Arbitrum
2023-09-30,178808.770332,Avalanche
2023-09-30,758885.041674,Axelar
2023-09-30,109084.322918,BSC
2023-09-30,239848.609446,Base
2023-09-30,110690.249384,Ethereum
2023-09-30,13.990978623,NEAR
2023-09-30,519663.476065,Optimism
2023-09-30,560769.445215,Osmosis
2023-09-30,266974.209131,Polygon
2023-09-29,536812.763918,Arbitrum
2023-09-29,168660.620431,Avalanche
2023-09-29,744704.40494,Axelar
2023-09-29,110383.577331,BSC
2023-09-29,282769.015082,Base
2023-09-29,105301.15836,Ethereum
2023-09-29,14.578865517,NEAR
2023-09-29,673866.045939,Optimism
2023-09-29,566807.008912,Osmosis
2023-09-29,267575.292639,Polygon
2023-09-28,580348.258705,Arbitrum
2023-09-28,184308.75396,Avalanche
2023-09-28,753468.800813,Axelar
2023-09-28,108750.338687,BSC
2023-09-28,212164.068278,Base
2023-09-28,104552.048144,Ethereum
2023-09-28,13.353071943,NEAR
2023-09-28,570113.71155,Optimism
2023-09-28,577251.645995,Osmosis
2023-09-28,252557.692052,Polygon
2023-09-27,586174.789598,Arbitrum
2023-09-27,185111.162311,Avalanche
2023-09-27,762867.938805,Axelar
2023-09-27,112750.90554,BSC
2023-09-27,179340.083992,Base
2023-09-27,102115.568298,Ethereum
2023-09-27,13.881121277,NEAR
2023-09-27,606566.016333,Optimism
2023-09-27,579209.642785,Osmosis
2023-09-27,267777.015357,Polygon
2023-09-26,498094.437105,Arbitrum
2023-09-26,172668.590561,Avalanche
2023-09-26,774200.496396,Axelar
2023-09-26,116185.68037,BSC
2023-09-26,179348.174847,Base
2023-09-26,103657.570196,Ethereum
2023-09-26,13.660537892,NEAR
2023-09-26,612621.868132,Optimism
2023-09-26,622258.55408,Osmosis
2023-09-26,244884.581619,Polygon
2023-09-25,448895.436507,Arbitrum
2023-09-25,164576.711455,Avalanche
2023-09-25,742520.342651,Axelar
2023-09-25,116846.207649,BSC
2023-09-25,285735.691171,Base
2023-09-25,109064.422463,Ethereum
2023-09-25,13.318675876,NEAR
2023-09-25,682456.284939,Optimism
2023-09-25,608406.663237,Osmosis
2023-09-25,242551.808832,Polygon
2023-09-24,338336.138356,Arbitrum
2023-09-24,200216.621451,Avalanche
2023-09-24,799414.884303,Axelar
2023-09-24,109689.162039,BSC
2023-09-24,315467.557419,Base
2023-09-24,122557.556087,Ethereum
2023-09-24,13.889874475,NEAR
2023-09-24,748046.987136,Optimism
2023-09-24,615009.396804,Osmosis
2023-09-24,277306.818408,Polygon
2023-09-23,337894.0727,Arbitrum
2023-09-23,196092.8882,Avalanche
2023-09-23,803436.9438,Axelar
2023-09-23,115468.1056,BSC
2023-09-23,324784.308772,Base
2023-09-23,125726.3575,Ethereum
2023-09-23,13.8271857,NEAR
2023-09-23,692509.0545,Optimism
2023-09-23,577162.9559,Osmosis
2023-09-23,276998.3076,Polygon
2023-09-22,365103.7377,Arbitrum
2023-09-22,209839.8965,Avalanche
2023-09-22,778332.9739,Axelar
2023-09-22,118868.4114,BSC
2023-09-22,243443.964539,Base
2023-09-22,110592.4917,Ethereum
2023-09-22,12.89229567,NEAR
2023-09-22,641320.2287,Optimism
2023-09-22,609504.9257,Osmosis
2023-09-22,269518.758,Polygon
2023-09-21,514470.0559,Arbitrum
2023-09-21,214194.8458,Avalanche
2023-09-21,745982.2408,Axelar
2023-09-21,122722.4173,BSC
2023-09-21,327179.743852,Base
2023-09-21,95377.96309,Ethereum
2023-09-21,14.43656722,NEAR
2023-09-21,610682.4786,Optimism
2023-09-21,608057.1451,Osmosis
2023-09-21,257765.7922,Polygon
2023-09-20,311865.0887,Arbitrum
2023-09-20,197900.7525,Avalanche
2023-09-20,774818.066,Axelar
2023-09-20,116704.4766,BSC
2023-09-20,229711.162989,Base
2023-09-20,106630.6695,Ethereum
2023-09-20,13.90065119,NEAR
2023-09-20,641953.6234,Optimism
2023-09-20,627820.6631,Osmosis
2023-09-20,263550.2702,Polygon
2023-09-19,296732.3728,Arbitrum
2023-09-19,206997.1811,Avalanche
