Date,Values,Blockchain
2023-08-10,391482.0,Arbitrum
2023-08-10,122340.0,Avalanche
2023-08-10,543775.0,Axelar
2023-08-10,46088.0,BSC
2023-08-10,48090.0,Ethereum
2023-08-10,148596.0,Gnosis
2023-08-10,9.927433034,NEAR
2023-08-10,138230.0,Optimism
2023-08-10,308519.0,Osmosis
2023-08-10,135182.5,Polygon
2023-08-09,396036.0,Arbitrum
2023-08-09,110162.0,Avalanche
2023-08-09,540724.0,Axelar
2023-08-09,46648.0,BSC
2023-08-09,46600.0,Ethereum
2023-08-09,152059.0,Gnosis
2023-08-09,9.927433034,NEAR
2023-08-09,135644.0,Optimism
2023-08-09,256693.0,Osmosis
2023-08-09,130752.0,Polygon
2023-08-08,430391.0,Arbitrum
2023-08-08,113494.0,Avalanche
2023-08-08,544445.0,Axelar
2023-08-08,46913.0,BSC
2023-08-08,46577.0,Ethereum
2023-08-08,145167.0,Gnosis
2023-08-08,9.927433034,NEAR
2023-08-08,142712.0,Optimism
2023-08-08,254827.0,Osmosis
2023-08-08,125423.5,Polygon
2023-08-07,420456.0,Arbitrum
2023-08-07,116160.0,Avalanche
2023-08-07,548614.0,Axelar
2023-08-07,46660.0,BSC
2023-08-07,46626.0,Ethereum
2023-08-07,121479.0,Gnosis
2023-08-07,9.943147379,NEAR
2023-08-07,142764.0,Optimism
2023-08-07,253966.0,Osmosis
2023-08-07,131475.0,Polygon
2023-08-06,300829.0,Arbitrum
2023-08-06,128612.0,Avalanche
2023-08-06,549082.0,Axelar
2023-08-06,45396.0,BSC
2023-08-06,46685.0,Ethereum
2023-08-06,108922.0,Gnosis
2023-08-06,9.927433034,NEAR
2023-08-06,143922.0,Optimism
2023-08-06,250387.0,Osmosis
2023-08-06,151411.0,Polygon
2023-08-05,323137.0,Arbitrum
2023-08-05,139965.0,Avalanche
2023-08-05,548890.0,Axelar
2023-08-05,45506.0,BSC
2023-08-05,46289.0,Ethereum
2023-08-05,120143.0,Gnosis
2023-08-05,9.929378079,NEAR
2023-08-05,145521.0,Optimism
2023-08-05,250993.0,Osmosis
2023-08-05,139535.0,Polygon
2023-08-04,357368.0,Arbitrum
2023-08-04,157082.0,Avalanche
2023-08-04,549044.0,Axelar
2023-08-04,46660.0,BSC
2023-08-04,46626.0,Ethereum
2023-08-04,120155.0,Gnosis
2023-08-04,9.945480035,NEAR
2023-08-04,146277.0,Optimism
2023-08-04,252053.0,Osmosis
2023-08-04,139200.0,Polygon
2023-08-03,372528.0,Arbitrum
2023-08-03,153968.0,Avalanche
2023-08-03,541250.0,Axelar
2023-08-03,45123.0,BSC
2023-08-03,47188.0,Ethereum
2023-08-03,128804.0,Gnosis
2023-08-03,9.959282245,NEAR
