Date,Values,Blockchain
2023-05-17,215836.892258754,Arbitrum
2023-05-17,59462.746618285,Avalanche
2023-05-17,665300.283694092,BSC
2023-05-17,11715562.4935324,Ethereum
2023-05-17,137.315017243,Gnosis
2023-05-17,205251.898655025,Optimism
2023-05-17,91837.664514852,Polygon
2023-05-16,232482.476353094,Arbitrum
2023-05-16,46981.748644178,Avalanche
2023-05-16,624577.311932149,BSC
2023-05-16,12634255.798581,Ethereum
2023-05-16,74.595061709,Gnosis
2023-05-16,201864.924818777,Optimism
2023-05-16,94370.650866357,Polygon
2023-05-15,340837.969875186,Arbitrum
2023-05-15,38346.320144908,Avalanche
2023-05-15,690897.794808607,BSC
2023-05-15,13451405.7535291,Ethereum
2023-05-15,46.366151262,Gnosis
2023-05-15,164555.970473869,Optimism
2023-05-15,101333.138093398,Polygon
2023-05-14,182516.319282418,Arbitrum
2023-05-14,38968.322732782,Avalanche
2023-05-14,556201.541460143,BSC
2023-05-14,9211453.47935115,Ethereum
2023-05-14,61.487984725,Gnosis
2023-05-14,124693.767331305,Optimism
2023-05-14,87055.353752913,Polygon
2023-05-13,180729.280458688,Arbitrum
2023-05-13,34528.666905125,Avalanche
2023-05-13,538709.465638818,BSC
2023-05-13,9150874.76543373,Ethereum
2023-05-13,68.2150517,Gnosis
2023-05-13,122951.527709172,Optimism
2023-05-13,90593.049795109,Polygon
2023-05-12,292448.149380639,Arbitrum
2023-05-12,41077.53394564,Avalanche
2023-05-12,696340.617156786,BSC
2023-05-12,14644977.240347,Ethereum
2023-05-12,87.468622333,Gnosis
2023-05-12,208973.150668573,Optimism
2023-05-12,112125.597742755,Polygon
2023-05-11,709049.492492273,Arbitrum
2023-05-11,37165.187002029,Avalanche
2023-05-11,664545.909527529,BSC
2023-05-11,22133036.5002248,Ethereum
2023-05-11,51.025292627,Gnosis
2023-05-11,240606.020700018,Optimism
2023-05-11,114101.911469213,Polygon
2023-05-10,480960.108865672,Arbitrum
2023-05-10,48406.550511273,Avalanche
2023-05-10,718083.124301568,BSC
2023-05-10,21405154.5417682,Ethereum
2023-05-10,68.828823485,Gnosis
2023-05-10,226562.215259695,Optimism
2023-05-10,140795.069122539,Polygon
2023-05-09,497863.522953798,Arbitrum
2023-05-09,33209.002154584,Avalanche
2023-05-09,750201.509623299,BSC
2023-05-09,20589224.9072712,Ethereum
2023-05-09,95.810374525,Gnosis
2023-05-09,172076.190366753,Optimism
2023-05-09,105703.869666495,Polygon
2023-05-08,497981.653520467,Arbitrum
2023-05-08,40990.838393265,Avalanche
2023-05-08,761272.726340105,BSC
2023-05-08,24525378.4438917,Ethereum
2023-05-08,68.476628352,Gnosis
2023-05-08,215101.81167278,Optimism
2023-05-08,137055.452482093,Polygon
2023-05-07,442719.1945,Arbitrum
2023-05-07,38044.16853,Avalanche
2023-05-07,669749.8206,BSC
2023-05-07,25704537.97,Ethereum
2023-05-07,33.62679922,Gnosis
2023-05-07,177162.7883,Optimism
2023-05-07,117562.4796,Polygon
2023-05-06,721499.4109,Arbitrum
2023-05-06,43756.33926,Avalanche
2023-05-06,603687.7209,BSC
2023-05-06,31729052.01,Ethereum
2023-05-06,39.66497127,Gnosis
2023-05-06,230402.0797,Optimism
2023-05-06,142220.7969,Polygon
2023-05-05,678465.5356,Arbitrum
2023-05-05,49636.4417,Avalanche
2023-05-05,659442.6407,BSC
2023-05-05,32265088.99,Ethereum
2023-05-05,49.94491511,Gnosis
2023-05-05,268947.4953,Optimism
2023-05-05,167277.8984,Polygon
2023-05-04,356571.8189,Arbitrum
2023-05-04,46329.77519,Avalanche
2023-05-04,580389.6394,BSC
2023-05-04,17679513.42,Ethereum
2023-05-04,36.15014282,Gnosis
2023-05-04,205131.2727,Optimism
2023-05-04,159022.5518,Polygon
2023-05-03,393638.4416,Arbitrum
2023-05-03,50355.0159,Avalanche
2023-05-03,615082.4706,BSC
2023-05-03,16863856.14,Ethereum
2023-05-03,41.6848944,Gnosis
2023-05-03,311177.7587,Optimism
2023-05-03,167106.6755,Polygon
2023-05-02,456126.0834,Arbitrum
2023-05-02,48387.59632,Avalanche
2023-05-02,592373.427,BSC
2023-05-02,18963758.21,Ethereum
2023-05-02,71.20769823,Gnosis
2023-05-02,172682.7089,Optimism
2023-05-02,154662.9459,Polygon
2023-05-01,356694.3752,Arbitrum
