Date,Values,Blockchain
2024-01-19,1086424403383.0,Arbitrum
2024-01-19,36708509681.0,Avalanche
2024-01-19,456766407520.0,Axelar
2024-01-19,420276555816.0,BSC
2024-01-19,71623306129.0,Base
2024-01-19,108078043228.0,Ethereum
2024-01-19,116704964128.0,Gnosis
2024-01-19,217005429290.0,Optimism
2024-01-19,575818573994.0,Polygon
2024-01-18,1122480117140.0,Arbitrum
2024-01-18,41916646103.0,Avalanche
2024-01-18,478531421844.0,Axelar
2024-01-18,417839964791.0,BSC
2024-01-18,60741987821.0,Base
2024-01-18,107969323481.0,Ethereum
2024-01-18,107423653124.0,Gnosis
2024-01-18,29055014.7600756,NEAR
2024-01-18,216607957624.0,Optimism
2024-01-18,564597293104.0,Polygon
2024-01-17,1038554158945.0,Arbitrum
2024-01-17,40272786293.0,Avalanche
2024-01-17,494232573222.0,Axelar
2024-01-17,400592959841.0,BSC
2024-01-17,68923726877.0,Base
2024-01-17,107968963473.0,Ethereum
2024-01-17,108879336097.0,Gnosis
2024-01-17,29939526.6485503,NEAR
2024-01-17,212942790141.0,Optimism
2024-01-17,557377510478.0,Polygon
2024-01-16,984904257566.0,Arbitrum
2024-01-16,43894183942.0,Avalanche
2024-01-16,274435827451.0,Axelar
2024-01-16,423302988511.0,BSC
2024-01-16,67254043197.0,Base
2024-01-16,108180953706.0,Ethereum
2024-01-16,117933625523.0,Gnosis
2024-01-16,31464635.8252462,NEAR
2024-01-16,216991967557.0,Optimism
2024-01-16,581156154053.0,Polygon
2024-01-15,760050589120.0,Arbitrum
2024-01-15,43931620268.0,Avalanche
2024-01-15,279455896121.0,Axelar
2024-01-15,427907274124.0,BSC
2024-01-15,67341326446.0,Base
2024-01-15,108163633646.0,Ethereum
2024-01-15,139522313350.0,Gnosis
2024-01-15,29930592.7346586,NEAR
2024-01-15,221071105113.0,Optimism
2024-01-15,563783259227.0,Polygon
2024-01-14,849720016013.0,Arbitrum
2024-01-14,35174486428.0,Avalanche
2024-01-14,279715486726.0,Axelar
2024-01-14,386656388942.0,BSC
2024-01-14,73131431085.0,Base
2024-01-14,108134241314.0,Ethereum
2024-01-14,131264290547.0,Gnosis
2024-01-14,31986686.2485172,NEAR
2024-01-14,217328268118.0,Optimism
2024-01-14,534740142978.0,Polygon
2024-01-13,655786418511.0,Arbitrum
2024-01-13,40606935014.0,Avalanche
2024-01-13,294379779612.0,Axelar
2024-01-13,381218288219.0,BSC
2024-01-13,84198251902.0,Base
2024-01-13,108005730581.0,Ethereum
2024-01-13,125660879992.0,Gnosis
2024-01-13,45381340.9089962,NEAR
2024-01-13,217076125280.0,Optimism
2024-01-13,529903265978.0,Polygon
2024-01-12,1221840486866.0,Arbitrum
2024-01-12,52184253994.0,Avalanche
2024-01-12,296825558539.0,Axelar
2024-01-12,448683818579.0,BSC
2024-01-12,99522199256.0,Base
2024-01-12,108005495587.0,Ethereum
2024-01-12,131802722156.0,Gnosis
2024-01-12,42844417.8870481,NEAR
2024-01-12,217057672758.0,Optimism
2024-01-12,566454953330.0,Polygon
2024-01-11,1488777868243.0,Arbitrum
2024-01-11,51681050382.0,Avalanche
2024-01-11,335504600130.0,Axelar
2024-01-11,478180987368.0,BSC
2024-01-11,79146986105.0,Base
2024-01-11,107494111854.0,Ethereum
2024-01-11,134210457336.0,Gnosis
2024-01-11,32859920.1691651,NEAR
2024-01-11,218866194553.0,Optimism
2024-01-11,569761625197.0,Polygon
2024-01-10,1727862082797.0,Arbitrum
2024-01-10,48434536087.0,Avalanche
2024-01-10,318788642977.0,Axelar
2024-01-10,446579684644.0,BSC
2024-01-10,93961180588.0,Base
2024-01-10,108039914246.0,Ethereum
2024-01-10,140145888681.0,Gnosis
2024-01-10,25721517.8206864,NEAR
2024-01-10,219850518274.0,Optimism
2024-01-10,575415546790.0,Polygon
2024-01-09,1071481772265.0,Arbitrum
2024-01-09,44430887279.0,Avalanche
2024-01-09,311227559888.0,Axelar
2024-01-09,430998617998.0,BSC
2024-01-09,98658819936.0,Base
2024-01-09,107735811426.0,Ethereum
2024-01-09,140685753659.0,Gnosis
2024-01-09,32243180.712596,NEAR
2024-01-09,220756561736.0,Optimism
2024-01-09,576664377318.0,Polygon
2024-01-08,1070114234343.0,Arbitrum
2024-01-08,49073282021.0,Avalanche
2024-01-08,327527985127.0,Axelar
2024-01-08,428293307629.0,BSC
