Date,Values,Blockchain
2023-09-20,6190,Ethereum
2023-09-20,1589,Flow
2023-09-20,221,Optimism
2023-09-20,2670,Polygon
2023-09-20,3213,Solana
2023-09-19,5518,Ethereum
2023-09-19,1427,Flow
2023-09-19,199,Optimism
2023-09-19,2652,Polygon
2023-09-19,3859,Solana
2023-09-18,5011,Ethereum
2023-09-18,1097,Flow
2023-09-18,271,Optimism
2023-09-18,2697,Polygon
2023-09-18,3248,Solana
2023-09-17,5602,Ethereum
2023-09-17,1124,Flow
2023-09-17,186,Optimism
2023-09-17,2414,Polygon
2023-09-17,2926,Solana
2023-09-16,5932,Ethereum
2023-09-16,1102,Flow
2023-09-16,177,Optimism
2023-09-16,2470,Polygon
2023-09-16,2877,Solana
2023-09-15,5583,Ethereum
2023-09-15,1555,Flow
2023-09-15,162,Optimism
2023-09-15,3008,Polygon
2023-09-15,2686,Solana
2023-09-14,5886,Ethereum
2023-09-14,1711,Flow
2023-09-14,214,Optimism
2023-09-14,2798,Polygon
2023-09-14,2644,Solana
2023-09-13,6057,Ethereum
2023-09-13,1517,Flow
2023-09-13,159,Optimism
2023-09-13,2663,Polygon
2023-09-13,2713,Solana
2023-09-12,5299,Ethereum
2023-09-12,1627,Flow
2023-09-12,268,Optimism
2023-09-12,2612,Polygon
2023-09-12,2674,Solana
2023-09-11,4936,Ethereum
2023-09-11,1290,Flow
2023-09-11,212,Optimism
2023-09-11,2752,Polygon
2023-09-11,2642,Solana
2023-09-10,5712,Ethereum
2023-09-10,1366,Flow
2023-09-10,183,Optimism
2023-09-10,2563,Polygon
2023-09-10,2865,Solana
2023-09-09,5829,Ethereum
2023-09-09,1255,Flow
2023-09-09,177,Optimism
2023-09-09,2745,Polygon
2023-09-09,2895,Solana
2023-09-08,5856,Ethereum
2023-09-08,1602,Flow
2023-09-08,263,Optimism
2023-09-08,3157,Polygon
2023-09-08,3469,Solana
2023-09-07,5407,Ethereum
2023-09-07,1789,Flow
2023-09-07,238,Optimism
2023-09-07,2585,Polygon
2023-09-07,3209,Solana
2023-09-06,5536,Ethereum
2023-09-06,1487,Flow
2023-09-06,200,Optimism
2023-09-06,2708,Polygon
2023-09-06,2660,Solana
2023-09-05,5470,Ethereum
2023-09-05,1438,Flow
2023-09-05,489,Optimism
2023-09-05,2575,Polygon
2023-09-05,2733,Solana
2023-09-04,5622,Ethereum
2023-09-04,1255,Flow
2023-09-04,291,Optimism
2023-09-04,2938,Polygon
2023-09-04,2672,Solana
2023-09-03,5696,Ethereum
2023-09-03,1237,Flow
2023-09-03,364,Optimism
2023-09-03,2724,Polygon
2023-09-03,2445,Solana
2023-09-02,5953,Ethereum
2023-09-02,1436,Flow
2023-09-02,242,Optimism
2023-09-02,2568,Polygon
2023-09-02,2448,Solana
2023-09-01,6551,Ethereum
2023-09-01,1990,Flow
2023-09-01,722,Optimism
2023-09-01,3014,Polygon
2023-09-01,3195,Solana
2023-08-31,6041,Ethereum
2023-08-31,3620,Flow
2023-08-31,426,Optimism
2023-08-31,2718,Polygon
2023-08-31,2815,Solana
2023-08-30,6093,Ethereum
2023-08-30,1635,Flow
2023-08-30,539,Optimism
2023-08-30,3114,Polygon
2023-08-30,2804,Solana
2023-08-29,5262,Ethereum
2023-08-29,1756,Flow
2023-08-29,341,Optimism
2023-08-29,2784,Polygon
2023-08-29,2729,Solana
2023-08-28,4599,Ethereum
2023-08-28,1552,Flow
2023-08-28,157,Optimism
2023-08-28,3147,Polygon
2023-08-28,2693,Solana
2023-08-27,5493,Ethereum
2023-08-27,1315,Flow
2023-08-27,197,Optimism
2023-08-27,2693,Polygon
2023-08-27,2645,Solana
2023-08-26,6135,Ethereum
2023-08-26,1359,Flow
2023-08-26,370,Optimism
2023-08-26,2857,Polygon
2023-08-26,2562,Solana
2023-08-25,5925,Ethereum
2023-08-25,1310,Flow
2023-08-25,285,Optimism
2023-08-25,3273,Polygon
2023-08-25,3104,Solana
2023-08-24,6461,Ethereum
2023-08-24,1551,Flow
2023-08-24,251,Optimism
2023-08-24,2924,Polygon
2023-08-24,3643,Solana
2023-08-23,7149,Ethereum
2023-08-23,1565,Flow
2023-08-23,245,Optimism
2023-08-23,2949,Polygon
2023-08-23,2853,Solana
2023-08-22,5950,Ethereum
2023-08-22,1491,Flow
2023-08-22,216,Optimism
2023-08-22,2958,Polygon
2023-08-22,2843,Solana
2023-08-21,5806,Ethereum
2023-08-21,1576,Flow
2023-08-21,279,Optimism
2023-08-21,3068,Polygon
2023-08-21,2805,Solana
2023-08-20,5971,Ethereum
2023-08-20,1235,Flow
2023-08-20,394,Optimism
2023-08-20,2984,Polygon
2023-08-20,2677,Solana
2023-08-19,6395,Ethereum
2023-08-19,1187,Flow
2023-08-19,361,Optimism
2023-08-19,3151,Polygon
2023-08-19,2576,Solana
2023-08-18,6559,Ethereum
2023-08-18,1586,Flow
2023-08-18,358,Optimism
2023-08-18,3200,Polygon
2023-08-18,2978,Solana
2023-08-17,5782,Ethereum
2023-08-17,1841,Flow
2023-08-17,251,Optimism
2023-08-17,3794,Polygon
2023-08-17,3323,Solana
2023-08-16,5723,Ethereum
2023-08-16,1915,Flow
2023-08-16,288,Optimism
2023-08-16,4491,Polygon
2023-08-16,3365,Solana
2023-08-15,6538,Ethereum
2023-08-15,1974,Flow
2023-08-15,287,Optimism
2023-08-15,4024,Polygon
2023-08-15,2912,Solana
2023-08-14,5771,Ethereum
2023-08-14,1804,Flow
2023-08-14,332,Optimism
2023-08-14,4171,Polygon
2023-08-14,3338,Solana
2023-08-13,5489,Ethereum
2023-08-13,1202,Flow
2023-08-13,301,Optimism
2023-08-13,4317,Polygon
2023-08-13,2318,Solana
2023-08-12,5992,Ethereum
2023-08-12,1345,Flow
2023-08-12,309,Optimism
2023-08-12,4761,Polygon
2023-08-12,2212,Solana
2023-08-11,6512,Ethereum
2023-08-11,1564,Flow
2023-08-11,387,Optimism
2023-08-11,4429,Polygon
2023-08-11,2392,Solana
2023-08-10,5955,Ethereum
2023-08-10,1753,Flow
2023-08-10,440,Optimism
2023-08-10,4226,Polygon
2023-08-10,2478,Solana
2023-08-09,6363,Ethereum
2023-08-09,2318,Flow
2023-08-09,480,Optimism
2023-08-09,4766,Polygon
2023-08-09,2449,Solana
2023-08-08,5921,Ethereum
2023-08-08,2700,Flow
2023-08-08,586,Optimism
2023-08-08,4847,Polygon
2023-08-08,2461,Solana
2023-08-07,6031,Ethereum
2023-08-07,1976,Flow
2023-08-07,520,Optimism
2023-08-07,4760,Polygon
2023-08-07,2331,Solana
2023-08-06,6794,Ethereum
2023-08-06,1507,Flow
2023-08-06,704,Optimism
2023-08-06,4628,Polygon
2023-08-06,2199,Solana
2023-08-05,6575,Ethereum
2023-08-05,1706,Flow
2023-08-05,1055,Optimism
2023-08-05,5600,Polygon
2023-08-05,2394,Solana
2023-08-04,6369,Ethereum
2023-08-04,1863,Flow
2023-08-04,917,Optimism
2023-08-04,6306,Polygon
2023-08-04,2735,Solana
2023-08-03,5961,Ethereum
2023-08-03,2030,Flow
2023-08-03,1901,Optimism
2023-08-03,8928,Polygon
2023-08-03,2712,Solana
2023-08-02,5682,Ethereum
2023-08-02,1913,Flow
2023-08-02,990,Optimism
2023-08-02,3236,Polygon
2023-08-02,2845,Solana
2023-08-01,5910,Ethereum
2023-08-01,2025,Flow
2023-08-01,949,Optimism
2023-08-01,3816,Polygon
2023-08-01,2943,Solana
2023-07-31,5711,Ethereum
2023-07-31,1605,Flow
2023-07-31,625,Optimism
2023-07-31,3952,Polygon
2023-07-31,2782,Solana
2023-07-30,5640,Ethereum
2023-07-30,1411,Flow
2023-07-30,682,Optimism
2023-07-30,3309,Polygon
2023-07-30,2655,Solana
2023-07-29,5660,Ethereum
2023-07-29,1415,Flow
2023-07-29,741,Optimism
2023-07-29,3231,Polygon
2023-07-29,2575,Solana
2023-07-28,5298,Ethereum
2023-07-28,1869,Flow
2023-07-28,630,Optimism
2023-07-28,3563,Polygon
2023-07-28,3168,Solana
2023-07-27,5254,Ethereum
2023-07-27,2485,Flow
2023-07-27,578,Optimism
2023-07-27,4138,Polygon
2023-07-27,3061,Solana
2023-07-26,5581,Ethereum
2023-07-26,2688,Flow
2023-07-26,949,Optimism
2023-07-26,4213,Polygon
2023-07-26,3295,Solana
2023-07-25,5107,Ethereum
2023-07-25,2234,Flow
2023-07-25,1483,Optimism
2023-07-25,4088,Polygon
2023-07-25,2854,Solana
2023-07-24,5195,Ethereum
2023-07-24,1829,Flow
2023-07-24,1128,Optimism
2023-07-24,9344,Polygon
2023-07-24,2500,Solana
2023-07-23,5498,Ethereum
2023-07-23,1506,Flow
2023-07-23,786,Optimism
2023-07-23,20951,Polygon
2023-07-23,2390,Solana
2023-07-22,6085,Ethereum
2023-07-22,1684,Flow
2023-07-22,546,Optimism
2023-07-22,14083,Polygon
2023-07-22,2414,Solana
2023-07-21,6332,Ethereum
2023-07-21,3586,Flow
2023-07-21,956,Optimism
2023-07-21,15772,Polygon
2023-07-21,2773,Solana
2023-07-20,5917,Ethereum
2023-07-20,1846,Flow
2023-07-20,1303,Optimism
2023-07-20,6778,Polygon
2023-07-20,2820,Solana
2023-07-19,7009,Ethereum
2023-07-19,1655,Flow
2023-07-19,1661,Optimism
2023-07-19,5858,Polygon
2023-07-19,2780,Solana
2023-07-18,7220,Ethereum
2023-07-18,1800,Flow
2023-07-18,1452,Optimism
2023-07-18,9908,Polygon
2023-07-18,2967,Solana
2023-07-17,6742,Ethereum
2023-07-17,1587,Flow
2023-07-17,1017,Optimism
2023-07-17,8799,Polygon
2023-07-17,2889,Solana
2023-07-16,5870,Ethereum
2023-07-16,1439,Flow
2023-07-16,739,Optimism
2023-07-16,8043,Polygon
2023-07-16,2633,Solana
2023-07-15,6904,Ethereum
2023-07-15,1440,Flow
2023-07-15,1342,Optimism
2023-07-15,6781,Polygon
2023-07-15,2906,Solana
2023-07-14,7275,Ethereum
2023-07-14,1591,Flow
2023-07-14,1675,Optimism
2023-07-14,9709,Polygon
2023-07-14,3787,Solana
2023-07-13,7063,Ethereum
2023-07-13,1750,Flow
2023-07-13,2316,Optimism
2023-07-13,9518,Polygon
2023-07-13,3764,Solana
2023-07-12,7758,Ethereum
2023-07-12,1400,Flow
2023-07-12,1279,Optimism
2023-07-12,8470,Polygon
2023-07-12,3766,Solana
2023-07-11,6743,Ethereum
2023-07-11,1663,Flow
2023-07-11,759,Optimism
2023-07-11,3371,Polygon
2023-07-11,4673,Solana
2023-07-10,6881,Ethereum
2023-07-10,1716,Flow
2023-07-10,286,Optimism
2023-07-10,4697,Polygon
2023-07-10,4924,Solana
2023-07-09,7421,Ethereum
2023-07-09,1300,Flow
2023-07-09,285,Optimism
2023-07-09,3338,Polygon
2023-07-09,3134,Solana
2023-07-08,6644,Ethereum
2023-07-08,1153,Flow
2023-07-08,361,Optimism
2023-07-08,4588,Polygon
2023-07-08,3751,Solana
2023-07-07,5838,Ethereum
2023-07-07,1449,Flow
2023-07-07,495,Optimism
2023-07-07,3481,Polygon
2023-07-07,4725,Solana
2023-07-06,5529,Ethereum
2023-07-06,1537,Flow
2023-07-06,404,Optimism
2023-07-06,3653,Polygon
2023-07-06,4809,Solana
2023-07-05,4233,Ethereum
2023-07-05,1403,Flow
2023-07-05,156,Optimism
2023-07-05,4065,Polygon
2023-07-05,3430,Solana
2023-07-04,7662,Ethereum
2023-07-04,1296,Flow
2023-07-04,296,Optimism
2023-07-04,3860,Polygon
2023-07-04,3982,Solana
2023-07-03,8560,Ethereum
2023-07-03,1367,Flow
2023-07-03,371,Optimism
2023-07-03,5402,Polygon
2023-07-03,4170,Solana
2023-07-02,8872,Ethereum
2023-07-02,1159,Flow
2023-07-02,350,Optimism
2023-07-02,4534,Polygon
2023-07-02,4100,Solana
2023-07-01,9126,Ethereum
2023-07-01,1429,Flow
2023-07-01,437,Optimism
2023-07-01,3583,Polygon
2023-07-01,5381,Solana
2023-06-30,9447,Ethereum
2023-06-30,1610,Flow
2023-06-30,387,Optimism
2023-06-30,4137,Polygon
2023-06-30,3913,Solana
2023-06-29,9090,Ethereum
2023-06-29,1772,Flow
2023-06-29,401,Optimism
2023-06-29,3303,Polygon
2023-06-29,4468,Solana
2023-06-28,9982,Ethereum
2023-06-28,1645,Flow
2023-06-28,376,Optimism
2023-06-28,3309,Polygon
2023-06-28,5424,Solana
2023-06-27,10521,Ethereum
2023-06-27,1665,Flow
2023-06-27,525,Optimism
2023-06-27,3411,Polygon
2023-06-27,6163,Solana
2023-06-26,8811,Ethereum
2023-06-26,2106,Flow
2023-06-26,899,Optimism
2023-06-26,2817,Polygon
2023-06-26,6462,Solana
2023-06-25,8264,Ethereum
2023-06-25,1248,Flow
2023-06-25,371,Optimism
2023-06-25,2876,Polygon
2023-06-25,6586,Solana
2023-06-24,8568,Ethereum
2023-06-24,1288,Flow
2023-06-24,272,Optimism
2023-06-24,2667,Polygon
2023-06-24,5491,Solana
2023-06-23,8672,Ethereum
2023-06-23,1804,Flow
2023-06-23,315,Optimism
2023-06-23,2981,Polygon
2023-06-23,5050,Solana
2023-06-22,9916,Ethereum
2023-06-22,1855,Flow
2023-06-22,454,Optimism
2023-06-22,3250,Polygon
2023-06-22,4012,Solana
2023-06-21,8575,Ethereum
2023-06-21,1501,Flow
2023-06-21,347,Optimism
2023-06-21,3411,Polygon
2023-06-21,4250,Solana
2023-06-20,9561,Ethereum
2023-06-20,1810,Flow
2023-06-20,318,Optimism
2023-06-20,3409,Polygon
2023-06-20,4989,Solana
2023-06-19,8903,Ethereum
2023-06-19,1516,Flow
2023-06-19,342,Optimism
2023-06-19,2947,Polygon
2023-06-19,3987,Solana
2023-06-18,9258,Ethereum
2023-06-18,1458,Flow
2023-06-18,241,Optimism
2023-06-18,4316,Polygon
2023-06-18,4278,Solana
2023-06-17,9449,Ethereum
2023-06-17,2199,Flow
2023-06-17,301,Optimism
2023-06-17,5223,Polygon
2023-06-17,4970,Solana
2023-06-16,8921,Ethereum
2023-06-16,1849,Flow
2023-06-16,466,Optimism
2023-06-16,6095,Polygon
2023-06-16,4723,Solana
2023-06-15,10613,Ethereum
2023-06-15,1462,Flow
2023-06-15,737,Optimism
2023-06-15,3825,Polygon
