Date,Values,Blockchain
2023-08-04,10028,Ethereum
2023-08-04,14323,Flow
2023-08-04,1199,Optimism
2023-08-04,10372,Polygon
2023-08-04,12374,Solana
2023-08-03,9459,Ethereum
2023-08-03,12234,Flow
2023-08-03,2290,Optimism
2023-08-03,13016,Polygon
2023-08-03,13519,Solana
2023-08-02,9077,Ethereum
2023-08-02,11251,Flow
2023-08-02,1224,Optimism
2023-08-02,6917,Polygon
2023-08-02,11840,Solana
2023-08-01,9264,Ethereum
2023-08-01,11717,Flow
2023-08-01,1178,Optimism
2023-08-01,7879,Polygon
2023-08-01,12338,Solana
2023-07-31,8886,Ethereum
2023-07-31,10642,Flow
2023-07-31,742,Optimism
2023-07-31,9015,Polygon
2023-07-31,11393,Solana
2023-07-30,8851,Ethereum
2023-07-30,10059,Flow
2023-07-30,786,Optimism
2023-07-30,8295,Polygon
2023-07-30,11409,Solana
2023-07-29,8671,Ethereum
2023-07-29,9729,Flow
2023-07-29,832,Optimism
2023-07-29,7837,Polygon
2023-07-29,10131,Solana
2023-07-28,8116,Ethereum
2023-07-28,13462,Flow
2023-07-28,758,Optimism
2023-07-28,7738,Polygon
2023-07-28,12600,Solana
2023-07-27,7727,Ethereum
2023-07-27,17532,Flow
2023-07-27,817,Optimism
2023-07-27,9066,Polygon
2023-07-27,12807,Solana
2023-07-26,8575,Ethereum
2023-07-26,17421,Flow
2023-07-26,1134,Optimism
2023-07-26,8649,Polygon
2023-07-26,16964,Solana
2023-07-25,8015,Ethereum
2023-07-25,15566,Flow
2023-07-25,1691,Optimism
2023-07-25,8179,Polygon
2023-07-25,13861,Solana
2023-07-24,8130,Ethereum
2023-07-24,12159,Flow
2023-07-24,1345,Optimism
2023-07-24,13722,Polygon
2023-07-24,11778,Solana
2023-07-23,8740,Ethereum
2023-07-23,10591,Flow
2023-07-23,935,Optimism
2023-07-23,26162,Polygon
2023-07-23,9486,Solana
2023-07-22,9695,Ethereum
2023-07-22,11044,Flow
2023-07-22,727,Optimism
2023-07-22,18970,Polygon
2023-07-22,9659,Solana
2023-07-21,10215,Ethereum
2023-07-21,18222,Flow
2023-07-21,1214,Optimism
2023-07-21,20360,Polygon
2023-07-21,11900,Solana
2023-07-20,9376,Ethereum
2023-07-20,12817,Flow
2023-07-20,1630,Optimism
2023-07-20,10976,Polygon
2023-07-20,10257,Solana
2023-07-19,11205,Ethereum
2023-07-19,11471,Flow
2023-07-19,2126,Optimism
2023-07-19,9788,Polygon
2023-07-19,10072,Solana
2023-07-18,12510,Ethereum
2023-07-18,11493,Flow
2023-07-18,1679,Optimism
2023-07-18,13622,Polygon
2023-07-18,11569,Solana
2023-07-17,11525,Ethereum
2023-07-17,10442,Flow
2023-07-17,1228,Optimism
2023-07-17,13436,Polygon
2023-07-17,11253,Solana
2023-07-16,9641,Ethereum
2023-07-16,9634,Flow
2023-07-16,974,Optimism
2023-07-16,13495,Polygon
2023-07-16,10421,Solana
2023-07-15,11641,Ethereum
2023-07-15,10264,Flow
2023-07-15,1592,Optimism
2023-07-15,10397,Polygon
2023-07-15,11976,Solana
2023-07-14,12427,Ethereum
2023-07-14,10414,Flow
2023-07-14,1899,Optimism
2023-07-14,14433,Polygon
2023-07-14,18009,Solana
2023-07-13,11792,Ethereum
2023-07-13,9672,Flow
2023-07-13,2488,Optimism
2023-07-13,13597,Polygon
2023-07-13,15701,Solana
2023-07-12,13730,Ethereum
2023-07-12,7087,Flow
2023-07-12,1456,Optimism
2023-07-12,13347,Polygon
2023-07-12,14978,Solana
2023-07-11,10895,Ethereum
2023-07-11,9596,Flow
2023-07-11,973,Optimism
2023-07-11,6692,Polygon
2023-07-11,16570,Solana
2023-07-10,11810,Ethereum
2023-07-10,9895,Flow
2023-07-10,365,Optimism
2023-07-10,8767,Polygon
2023-07-10,21428,Solana
2023-07-09,13505,Ethereum
2023-07-09,7157,Flow
2023-07-09,351,Optimism
2023-07-09,6953,Polygon
2023-07-09,13375,Solana
2023-07-08,11147,Ethereum
2023-07-08,6685,Flow
2023-07-08,452,Optimism
2023-07-08,9028,Polygon
2023-07-08,14272,Solana
2023-07-07,9560,Ethereum
2023-07-07,8549,Flow
2023-07-07,643,Optimism
2023-07-07,7116,Polygon
2023-07-07,20173,Solana
2023-07-06,8657,Ethereum
2023-07-06,8772,Flow
2023-07-06,499,Optimism
2023-07-06,8084,Polygon
2023-07-06,25249,Solana
2023-07-05,6251,Ethereum
2023-07-05,7826,Flow
2023-07-05,228,Optimism
2023-07-05,8657,Polygon
2023-07-05,13941,Solana
2023-07-04,12409,Ethereum
2023-07-04,7671,Flow
2023-07-04,393,Optimism
2023-07-04,7758,Polygon
2023-07-04,17972,Solana
2023-07-03,13469,Ethereum
2023-07-03,8028,Flow
2023-07-03,418,Optimism
2023-07-03,8883,Polygon
2023-07-03,18070,Solana
2023-07-02,15111,Ethereum
2023-07-02,7431,Flow
2023-07-02,399,Optimism
2023-07-02,8000,Polygon
2023-07-02,18770,Solana
2023-07-01,16340,Ethereum
2023-07-01,8253,Flow
2023-07-01,481,Optimism
2023-07-01,7715,Polygon
2023-07-01,22761,Solana
2023-06-30,16544,Ethereum
2023-06-30,8663,Flow
2023-06-30,462,Optimism
2023-06-30,7949,Polygon
2023-06-30,17212,Solana
2023-06-29,14624,Ethereum
2023-06-29,8556,Flow
2023-06-29,618,Optimism
2023-06-29,6111,Polygon
2023-06-29,20836,Solana
2023-06-28,17373,Ethereum
2023-06-28,9074,Flow
2023-06-28,473,Optimism
2023-06-28,6421,Polygon
2023-06-28,25955,Solana
2023-06-27,20072,Ethereum
2023-06-27,9798,Flow
2023-06-27,616,Optimism
2023-06-27,6693,Polygon
2023-06-27,31825,Solana
2023-06-26,15339,Ethereum
2023-06-26,10102,Flow
2023-06-26,1103,Optimism
2023-06-26,5903,Polygon
2023-06-26,49956,Solana
2023-06-25,14283,Ethereum
2023-06-25,7120,Flow
2023-06-25,436,Optimism
2023-06-25,6616,Polygon
2023-06-25,59552,Solana
2023-06-24,15516,Ethereum
2023-06-24,7055,Flow
2023-06-24,343,Optimism
2023-06-24,6065,Polygon
2023-06-24,33471,Solana
2023-06-23,15439,Ethereum
2023-06-23,9776,Flow
2023-06-23,405,Optimism
2023-06-23,6951,Polygon
2023-06-23,22678,Solana
2023-06-22,19349,Ethereum
2023-06-22,10160,Flow
2023-06-22,608,Optimism
2023-06-22,7475,Polygon
2023-06-22,16081,Solana
2023-06-21,14803,Ethereum
2023-06-21,7383,Flow
2023-06-21,531,Optimism
2023-06-21,6901,Polygon
2023-06-21,17036,Solana
2023-06-20,17614,Ethereum
2023-06-20,9563,Flow
2023-06-20,408,Optimism
2023-06-20,6981,Polygon
2023-06-20,24141,Solana
2023-06-19,17028,Ethereum
2023-06-19,7796,Flow
2023-06-19,452,Optimism
2023-06-19,6409,Polygon
2023-06-19,16904,Solana
2023-06-18,17080,Ethereum
2023-06-18,7704,Flow
2023-06-18,317,Optimism
2023-06-18,7676,Polygon
2023-06-18,19723,Solana
2023-06-17,17628,Ethereum
2023-06-17,14512,Flow
2023-06-17,358,Optimism
2023-06-17,8704,Polygon
2023-06-17,29092,Solana
2023-06-16,15162,Ethereum
2023-06-16,11282,Flow
2023-06-16,545,Optimism
2023-06-16,9680,Polygon
2023-06-16,24743,Solana
2023-06-15,20831,Ethereum
2023-06-15,7395,Flow
2023-06-15,842,Optimism
2023-06-15,7494,Polygon
2023-06-15,14417,Solana
2023-06-14,28530,Ethereum
2023-06-14,5744,Flow
2023-06-14,1242,Optimism
2023-06-14,7922,Polygon
2023-06-14,15677,Solana
2023-06-13,14831,Ethereum
2023-06-13,6920,Flow
2023-06-13,421,Optimism
2023-06-13,7378,Polygon
2023-06-13,11456,Solana
2023-06-12,14771,Ethereum
2023-06-12,5333,Flow
2023-06-12,211,Optimism
2023-06-12,8846,Polygon
2023-06-12,12520,Solana
2023-06-11,13133,Ethereum
2023-06-11,4476,Flow
2023-06-11,302,Optimism
2023-06-11,9605,Polygon
2023-06-11,11284,Solana
2023-06-10,14478,Ethereum
2023-06-10,6204,Flow
2023-06-10,409,Optimism
2023-06-10,9376,Polygon
2023-06-10,16709,Solana
2023-06-09,20479,Ethereum
2023-06-09,8772,Flow
2023-06-09,419,Optimism
2023-06-09,8900,Polygon
2023-06-09,13073,Solana
2023-06-08,15484,Ethereum
2023-06-08,7662,Flow
2023-06-08,523,Optimism
2023-06-08,8756,Polygon
2023-06-08,14903,Solana
2023-06-07,14795,Ethereum
2023-06-07,7788,Flow
2023-06-07,851,Optimism
2023-06-07,7845,Polygon
2023-06-07,14747,Solana
2023-06-06,14897,Ethereum
2023-06-06,8560,Flow
2023-06-06,592,Optimism
2023-06-06,8815,Polygon
2023-06-06,13212,Solana
2023-06-05,13368,Ethereum
2023-06-05,8848,Flow
2023-06-05,447,Optimism
2023-06-05,7917,Polygon
2023-06-05,14925,Solana
2023-06-04,19940,Ethereum
2023-06-04,7533,Flow
2023-06-04,615,Optimism
2023-06-04,8583,Polygon
2023-06-04,11686,Solana
2023-06-03,22746,Ethereum
2023-06-03,6993,Flow
2023-06-03,848,Optimism
2023-06-03,7279,Polygon
2023-06-03,11370,Solana
2023-06-02,17800,Ethereum
2023-06-02,10283,Flow
2023-06-02,1054,Optimism
2023-06-02,8121,Polygon
2023-06-02,13641,Solana
2023-06-01,16699,Ethereum
2023-06-01,9470,Flow
2023-06-01,379,Optimism
2023-06-01,10124,Polygon
2023-06-01,13925,Solana
2023-05-31,13395,Ethereum
2023-05-31,9528,Flow
2023-05-31,671,Optimism
2023-05-31,10141,Polygon
2023-05-31,12429,Solana
2023-05-30,10190,Ethereum
2023-05-30,9802,Flow
2023-05-30,1353,Optimism
2023-05-30,10686,Polygon
2023-05-30,12991,Solana
2023-05-29,10814,Ethereum
2023-05-29,7196,Flow
2023-05-29,338,Optimism
2023-05-29,10666,Polygon
2023-05-29,15428,Solana
2023-05-28,9454,Ethereum
2023-05-28,6910,Flow
2023-05-28,332,Optimism
2023-05-28,9888,Polygon
2023-05-28,14850,Solana
2023-05-27,11633,Ethereum
2023-05-27,8290,Flow
2023-05-27,405,Optimism
2023-05-27,10352,Polygon
2023-05-27,17386,Solana
2023-05-26,11172,Ethereum
2023-05-26,8164,Flow
2023-05-26,388,Optimism
2023-05-26,11074,Polygon
2023-05-26,16197,Solana
2023-05-25,11670,Ethereum
2023-05-25,8881,Flow
2023-05-25,648,Optimism
2023-05-25,10489,Polygon
2023-05-25,14708,Solana
2023-05-24,12777,Ethereum
2023-05-24,4299,Flow
2023-05-24,1263,Optimism
2023-05-24,14226,Polygon
2023-05-24,15127,Solana
2023-05-23,10805,Ethereum
2023-05-23,7896,Flow
2023-05-23,259,Optimism
2023-05-23,13690,Polygon
2023-05-23,17092,Solana
2023-05-22,11817,Ethereum
2023-05-22,9206,Flow
2023-05-22,262,Optimism
2023-05-22,15192,Polygon
2023-05-22,12358,Solana
2023-05-21,12464,Ethereum
2023-05-21,4930,Flow
2023-05-21,252,Optimism
2023-05-21,12710,Polygon
2023-05-21,10883,Solana
2023-05-20,13048,Ethereum
2023-05-20,5504,Flow
2023-05-20,311,Optimism
2023-05-20,12137,Polygon
2023-05-20,11309,Solana
2023-05-19,12435,Ethereum
2023-05-19,6144,Flow
2023-05-19,292,Optimism
2023-05-19,10762,Polygon
2023-05-19,12874,Solana
2023-05-18,13343,Ethereum
2023-05-18,6168,Flow
2023-05-18,364,Optimism
2023-05-18,8650,Polygon
2023-05-18,15438,Solana
2023-05-17,11881,Ethereum
2023-05-17,8735,Flow
2023-05-17,388,Optimism
2023-05-17,7972,Polygon
2023-05-17,15645,Solana
2023-05-16,10169,Ethereum
2023-05-16,8472,Flow
2023-05-16,447,Optimism
2023-05-16,7595,Polygon
2023-05-16,17279,Solana
2023-05-15,10009,Ethereum
2023-05-15,8679,Flow
2023-05-15,216,Optimism
2023-05-15,7237,Polygon
2023-05-15,18337,Solana
2023-05-14,9270,Ethereum
2023-05-14,9220,Flow
2023-05-14,305,Optimism
2023-05-14,6735,Polygon
2023-05-14,14640,Solana
2023-05-13,10121,Ethereum
2023-05-13,9736,Flow
2023-05-13,260,Optimism
2023-05-13,1227,Polygon
2023-05-13,13204,Solana
2023-05-12,10110,Ethereum
2023-05-12,7601,Flow
2023-05-12,271,Optimism
2023-05-12,1056,Polygon
2023-05-12,16388,Solana
2023-05-11,6563,Ethereum
2023-05-11,7184,Flow
2023-05-11,244,Optimism
2023-05-11,1522,Polygon
2023-05-11,17433,Solana
2023-05-10,9699,Ethereum
2023-05-10,9190,Flow
2023-05-10,210,Optimism
2023-05-10,1810,Polygon
2023-05-10,14277,Solana
2023-05-09,7264,Ethereum
2023-05-09,9452,Flow
2023-05-09,339,Optimism
2023-05-09,1784,Polygon
2023-05-09,15981,Solana
2023-05-08,7101,Ethereum
2023-05-08,11484,Flow
2023-05-08,110,Optimism
2023-05-08,1668,Polygon
2023-05-08,17142,Solana
2023-05-07,7850,Ethereum
2023-05-07,9463,Flow
2023-05-07,163,Optimism
2023-05-07,1788,Polygon
2023-05-07,14508,Solana
2023-05-06,5606,Ethereum
2023-05-06,10130,Flow
2023-05-06,105,Optimism
2023-05-06,2114,Polygon
2023-05-06,15601,Solana
2023-05-05,5897,Ethereum
2023-05-05,11358,Flow
2023-05-05,206,Optimism
2023-05-05,2035,Polygon
2023-05-05,15850,Solana
2023-05-04,7720,Ethereum
2023-05-04,13350,Flow
2023-05-04,385,Optimism
2023-05-04,2513,Polygon
2023-05-04,19060,Solana
2023-05-03,9462,Ethereum
2023-05-03,13406,Flow
2023-05-03,290,Optimism
2023-05-03,11068,Polygon
2023-05-03,17407,Solana
2023-05-02,7841,Ethereum
2023-05-02,13134,Flow
2023-05-02,540,Optimism
2023-05-02,35091,Polygon
2023-05-02,20616,Solana
2023-05-01,9769,Ethereum
2023-05-01,13454,Flow
2023-05-01,358,Optimism
2023-05-01,21226,Polygon
2023-05-01,20582,Solana
2023-04-30,12043,Ethereum
2023-04-30,13558,Flow
2023-04-30,446,Optimism
2023-04-30,25933,Polygon
2023-04-30,19293,Solana
2023-04-29,12919,Ethereum
