Date,Values,Blockchain
2023-05-17,11844,Ethereum
2023-05-17,388,Optimism
2023-05-17,758,Polygon
2023-05-16,10142,Ethereum
2023-05-16,447,Optimism
2023-05-16,625,Polygon
2023-05-15,9977,Ethereum
2023-05-15,216,Optimism
2023-05-15,775,Polygon
2023-05-14,9229,Ethereum
2023-05-14,305,Optimism
2023-05-14,941,Polygon
2023-05-13,10121,Ethereum
2023-05-13,260,Optimism
2023-05-13,1227,Polygon
2023-05-12,10110,Ethereum
2023-05-12,271,Optimism
2023-05-12,1056,Polygon
2023-05-11,6563,Ethereum
2023-05-11,244,Optimism
2023-05-11,1522,Polygon
2023-05-10,9699,Ethereum
2023-05-10,210,Optimism
2023-05-10,1810,Polygon
2023-05-09,7264,Ethereum
2023-05-09,339,Optimism
2023-05-09,1784,Polygon
2023-05-08,7101,Ethereum
2023-05-08,110,Optimism
2023-05-08,1668,Polygon
2023-05-07,7850,Ethereum
2023-05-07,163,Optimism
2023-05-07,1788,Polygon
2023-05-06,5606,Ethereum
2023-05-06,105,Optimism
2023-05-06,2114,Polygon
2023-05-05,5897,Ethereum
2023-05-05,206,Optimism
2023-05-05,2035,Polygon
2023-05-04,7720,Ethereum
2023-05-04,385,Optimism
2023-05-04,2513,Polygon
2023-05-03,9462,Ethereum
2023-05-03,290,Optimism
2023-05-03,11068,Polygon
2023-05-02,7841,Ethereum
2023-05-02,540,Optimism
2023-05-02,35091,Polygon
2023-05-01,9769,Ethereum
2023-05-01,358,Optimism
2023-05-01,21226,Polygon
2023-04-30,12043,Ethereum
2023-04-30,446,Optimism
2023-04-30,25933,Polygon
2023-04-29,12919,Ethereum
2023-04-29,443,Optimism
2023-04-29,14419,Polygon
2023-04-28,14452,Ethereum
2023-04-28,593,Optimism
2023-04-28,8277,Polygon
2023-04-27,16569,Ethereum
2023-04-27,697,Optimism
2023-04-27,7434,Polygon
2023-04-26,16169,Ethereum
2023-04-26,692,Optimism
2023-04-26,6696,Polygon
2023-04-25,15470,Ethereum
2023-04-25,711,Optimism
2023-04-25,6749,Polygon
2023-04-24,12553,Ethereum
2023-04-24,437,Optimism
2023-04-24,10701,Polygon
2023-04-23,15205,Ethereum
2023-04-23,478,Optimism
2023-04-23,31542,Polygon
2023-04-22,16088,Ethereum
2023-04-22,543,Optimism
2023-04-22,28196,Polygon
2023-04-21,16822,Ethereum
2023-04-21,495,Optimism
2023-04-21,26257,Polygon
2023-04-20,12252,Ethereum
2023-04-20,516,Optimism
2023-04-20,9201,Polygon
2023-04-19,10091,Ethereum
2023-04-19,399,Optimism
2023-04-19,10293,Polygon
2023-04-18,12525,Ethereum
2023-04-18,529,Optimism
2023-04-18,12555,Polygon
2023-04-17,16162,Ethereum
2023-04-17,461,Optimism
2023-04-17,8209,Polygon
2023-04-16,20848,Ethereum
2023-04-16,585,Optimism
2023-04-16,7097,Polygon
2023-04-15,22468,Ethereum
2023-04-15,831,Optimism
2023-04-15,7940,Polygon
2023-04-14,25660,Ethereum
2023-04-14,842,Optimism
2023-04-14,8839,Polygon
2023-04-13,27260,Ethereum
2023-04-13,893,Optimism
2023-04-13,10841,Polygon
2023-04-12,30599,Ethereum
2023-04-12,1267,Optimism
2023-04-12,10142,Polygon
2023-04-11,32549,Ethereum
2023-04-11,1436,Optimism
2023-04-11,9337,Polygon
2023-04-10,31461,Ethereum
2023-04-10,1632,Optimism
2023-04-10,7681,Polygon
2023-04-09,37740,Ethereum
2023-04-09,1378,Optimism
2023-04-09,7424,Polygon
2023-04-08,36838,Ethereum
2023-04-08,1243,Optimism
2023-04-08,8082,Polygon
2023-04-07,37511,Ethereum
2023-04-07,1135,Optimism
2023-04-07,10549,Polygon
2023-04-06,33693,Ethereum
2023-04-06,1206,Optimism
2023-04-06,11312,Polygon
2023-04-05,43348,Ethereum
2023-04-05,945,Optimism
2023-04-05,11308,Polygon
2023-04-04,34458,Ethereum
2023-04-04,1086,Optimism
2023-04-04,9866,Polygon
2023-04-03,35586,Ethereum
2023-04-03,655,Optimism
2023-04-03,9086,Polygon
2023-04-02,31862,Ethereum
2023-04-02,578,Optimism
2023-04-02,8194,Polygon
2023-04-01,31608,Ethereum
2023-04-01,584,Optimism
2023-04-01,8777,Polygon
2023-03-31,27980,Ethereum
2023-03-31,832,Optimism
2023-03-31,11047,Polygon
2023-03-30,30537,Ethereum
2023-03-30,684,Optimism
2023-03-30,9339,Polygon
2023-03-29,32986,Ethereum
2023-03-29,496,Optimism
2023-03-29,9184,Polygon
2023-03-28,26322,Ethereum
2023-03-28,798,Optimism
2023-03-28,9744,Polygon
2023-03-27,26046,Ethereum
2023-03-27,623,Optimism
2023-03-27,9747,Polygon
2023-03-26,28741,Ethereum
2023-03-26,859,Optimism
2023-03-26,8318,Polygon
2023-03-25,34152,Ethereum
2023-03-25,749,Optimism
2023-03-25,8315,Polygon
2023-03-24,27377,Ethereum
2023-03-24,708,Optimism
2023-03-24,9953,Polygon
2023-03-23,23074,Ethereum
2023-03-23,522,Optimism
2023-03-23,10894,Polygon
2023-03-22,24368,Ethereum
2023-03-22,497,Optimism
2023-03-22,9418,Polygon
2023-03-21,26036,Ethereum
2023-03-21,656,Optimism
2023-03-21,9293,Polygon
2023-03-20,25884,Ethereum
2023-03-20,607,Optimism
2023-03-20,9075,Polygon
2023-03-19,38479,Ethereum
2023-03-19,528,Optimism
2023-03-19,9354,Polygon
2023-03-18,32614,Ethereum
2023-03-18,467,Optimism
2023-03-18,9874,Polygon
2023-03-17,32048,Ethereum
2023-03-17,629,Optimism
2023-03-17,11682,Polygon
2023-03-16,31250,Ethereum
2023-03-16,841,Optimism
2023-03-16,9243,Polygon
2023-03-15,30864,Ethereum
2023-03-15,905,Optimism
2023-03-15,8603,Polygon
2023-03-14,30139,Ethereum
2023-03-14,945,Optimism
2023-03-14,9245,Polygon
2023-03-13,25855,Ethereum
2023-03-13,1280,Optimism
2023-03-13,9884,Polygon
2023-03-12,33560,Ethereum
2023-03-12,919,Optimism
2023-03-12,6702,Polygon
2023-03-11,17089,Ethereum
2023-03-11,387,Optimism
2023-03-11,5750,Polygon
2023-03-10,35492,Ethereum
2023-03-10,718,Optimism
2023-03-10,6981,Polygon
2023-03-09,42519,Ethereum
2023-03-09,1488,Optimism
2023-03-09,6844,Polygon
2023-03-08,48719,Ethereum
2023-03-08,1035,Optimism
2023-03-08,7165,Polygon
2023-03-07,44831,Ethereum
2023-03-07,523,Optimism
2023-03-07,7751,Polygon
2023-03-06,55699,Ethereum
2023-03-06,466,Optimism
2023-03-06,8228,Polygon
2023-03-05,58528,Ethereum
2023-03-05,316,Optimism
2023-03-05,8450,Polygon
2023-03-04,58735,Ethereum
2023-03-04,446,Optimism
2023-03-04,6893,Polygon
2023-03-03,41204,Ethereum
2023-03-03,494,Optimism
2023-03-03,6882,Polygon
2023-03-02,39629,Ethereum
2023-03-02,504,Optimism
2023-03-02,8233,Polygon
2023-03-01,38954,Ethereum
2023-03-01,525,Optimism
2023-03-01,8224,Polygon
2023-02-28,42840,Ethereum
2023-02-28,944,Optimism
2023-02-28,9897,Polygon
2023-02-27,43821,Ethereum
2023-02-27,661,Optimism
2023-02-27,8482,Polygon
2023-02-26,42533,Ethereum
2023-02-26,956,Optimism
2023-02-26,7972,Polygon
2023-02-25,41540,Ethereum
2023-02-25,847,Optimism
2023-02-25,8586,Polygon
2023-02-24,43413,Ethereum
2023-02-24,1378,Optimism
2023-02-24,10777,Polygon
2023-02-23,42974,Ethereum
2023-02-23,1568,Optimism
2023-02-23,9605,Polygon
2023-02-22,48537,Ethereum
2023-02-22,467,Optimism
2023-02-22,9218,Polygon
2023-02-21,55159,Ethereum
2023-02-21,525,Optimism
2023-02-21,10911,Polygon
2023-02-20,60797,Ethereum
2023-02-20,430,Optimism
2023-02-20,11464,Polygon
2023-02-19,53552,Ethereum
2023-02-19,616,Optimism
2023-02-19,9337,Polygon
2023-02-18,47258,Ethereum
2023-02-18,475,Optimism
2023-02-18,12456,Polygon
2023-02-17,45864,Ethereum
2023-02-17,513,Optimism
2023-02-17,9887,Polygon
2023-02-16,39566,Ethereum
2023-02-16,466,Optimism
2023-02-16,10971,Polygon
2023-02-15,41406,Ethereum
2023-02-15,302,Optimism
2023-02-15,13617,Polygon
2023-02-14,34967,Ethereum
2023-02-14,461,Optimism
2023-02-14,5861,Polygon
2023-02-13,47473,Ethereum
2023-02-13,506,Optimism
2023-02-13,7994,Polygon
2023-02-12,44796,Ethereum
2023-02-12,590,Optimism
