Date,Values,Blockchain
2023-05-08,33522421.07,Ethereum
2023-05-08,114021.655,Flow
2023-05-08,64897.46,Optimism
2023-05-08,29736.99851,Polygon
2023-05-08,1481316.111,Solana
2023-05-07,29018137.51,Ethereum
2023-05-07,117832.8492,Flow
2023-05-07,2992.07,Optimism
2023-05-07,44422.0445,Polygon
2023-05-07,1416892.822,Solana
2023-05-06,24179900.14,Ethereum
2023-05-06,123700.3214,Flow
2023-05-06,2191.26,Optimism
2023-05-06,68436.29104,Polygon
2023-05-06,1550158.854,Solana
2023-05-05,30221404.81,Ethereum
2023-05-05,141159.3739,Flow
2023-05-05,3346.12,Optimism
2023-05-05,115368.6029,Polygon
2023-05-05,2027504.552,Solana
2023-05-04,30307800.57,Ethereum
2023-05-04,150435.5008,Flow
2023-05-04,6479.71,Optimism
2023-05-04,115024.5183,Polygon
2023-05-04,1884845.951,Solana
2023-05-03,34976813.36,Ethereum
2023-05-03,186622.9497,Flow
2023-05-03,3790.05,Optimism
2023-05-03,111526.5591,Polygon
2023-05-03,1610754.454,Solana
2023-05-02,42645388.34,Ethereum
2023-05-02,175148.1044,Flow
2023-05-02,9523.34,Optimism
2023-05-02,412970.8571,Polygon
2023-05-02,1823632.374,Solana
2023-05-01,37690384.65,Ethereum
2023-05-01,162602.0628,Flow
2023-05-01,4230.87,Optimism
2023-05-01,539082.577,Polygon
2023-05-01,2366101.313,Solana
2023-04-30,31581209.41,Ethereum
2023-04-30,174717.5643,Flow
2023-04-30,5013.58,Optimism
2023-04-30,564803.6138,Polygon
2023-04-30,2697760.712,Solana
2023-04-29,29152945.4,Ethereum
2023-04-29,233605.3867,Flow
2023-04-29,3443.38,Optimism
2023-04-29,540599.688,Polygon
2023-04-29,2688938.566,Solana
2023-04-28,32577356.51,Ethereum
2023-04-28,186808.8181,Flow
2023-04-28,16196.42,Optimism
2023-04-28,684139.4313,Polygon
2023-04-28,2509157.59,Solana
2023-04-27,29786329.57,Ethereum
2023-04-27,173770.4891,Flow
2023-04-27,79885.13,Optimism
2023-04-27,553099.5374,Polygon
2023-04-27,3464284.1,Solana
2023-04-26,33748350.17,Ethereum
2023-04-26,177832.3328,Flow
2023-04-26,12983,Optimism
2023-04-26,534776.7756,Polygon
2023-04-26,4258773.049,Solana
2023-04-25,36416837.02,Ethereum
2023-04-25,152263.7572,Flow
2023-04-25,17458.16,Optimism
2023-04-25,489483.1544,Polygon
2023-04-25,4844333.321,Solana
2023-04-24,30945678.01,Ethereum
2023-04-24,224182.3991,Flow
2023-04-24,6665.98,Optimism
2023-04-24,479630.8242,Polygon
2023-04-24,5504430.659,Solana
2023-04-23,37232566.33,Ethereum
2023-04-23,100862.9737,Flow
2023-04-23,4944.52,Optimism
2023-04-23,534723.721,Polygon
2023-04-23,4662248.666,Solana
2023-04-22,43427960.7,Ethereum
2023-04-22,125279.092,Flow
2023-04-22,5586.14,Optimism
2023-04-22,472875.6484,Polygon
2023-04-22,11015823.57,Solana
2023-04-21,56812254.4,Ethereum
2023-04-21,113152.8801,Flow
2023-04-21,19834.04,Optimism
2023-04-21,708824.2317,Polygon
2023-04-21,1640341.822,Solana
2023-04-20,50929446.35,Ethereum
2023-04-20,135926.1543,Flow
2023-04-20,30910.9,Optimism
2023-04-20,849834.1504,Polygon
2023-04-20,1777547.933,Solana
2023-04-19,46619541.41,Ethereum
2023-04-19,131659.1553,Flow
2023-04-19,8368.51,Optimism
2023-04-19,1451691.805,Polygon
2023-04-19,2111223.049,Solana
2023-04-18,57116527.92,Ethereum
2023-04-18,186344.9872,Flow
2023-04-18,25592.44,Optimism
2023-04-18,1942756.246,Polygon
2023-04-18,2579657.428,Solana
2023-04-17,47528663.11,Ethereum
2023-04-17,172475.1607,Flow
2023-04-17,19188.1,Optimism
2023-04-17,539159.8855,Polygon
2023-04-17,2956947.954,Solana
2023-04-16,49546080.11,Ethereum
2023-04-16,145423.0253,Flow
2023-04-16,12531.96,Optimism
2023-04-16,537903.0328,Polygon
2023-04-16,1486813.867,Solana
2023-04-15,57776380.43,Ethereum
