Date,Marketplace,Values,Blockchain
2023-05-21,Blur,9588489.80708696,Ethereum
2023-05-21,Larva Labs,105547.24,Ethereum
2023-05-21,LooksRare,530.552807111,Ethereum
2023-05-21,NFTX,2486.65275944,Ethereum
2023-05-21,OpenSea,1519554.80239415,Ethereum
2023-05-21,Sudoswap,13188.69,Ethereum
2023-05-21,X2Y2,889776.704212482,Ethereum
2023-05-21,Quix,1900.05,Optimism
2023-05-21,OpenSea,298200.94878897,Polygon
2023-05-21,Coral Cube,8424.56811759,Solana
2023-05-21,Exchange Art,3074.603887889,Solana
2023-05-21,Hadeswap,87553.798939136,Solana
2023-05-21,Hyperspace,886.853242117,Solana
2023-05-21,Magic Eden,406001.962050642,Solana
2023-05-21,Solanart,3522.286904674,Solana
2023-05-21,Tensor,382974.761948839,Solana
2023-05-21,Yawww,4.425758333,Solana
2023-05-20,Blur,5234562.95211959,Ethereum
2023-05-20,LooksRare,3547767.54218342,Ethereum
2023-05-20,NFTX,31307.18507191,Ethereum
2023-05-20,OpenSea,2046549.54409206,Ethereum
2023-05-20,Rarible,18.30221,Ethereum
2023-05-20,Sudoswap,2205.81,Ethereum
2023-05-20,X2Y2,709382.722717716,Ethereum
2023-05-20,Quix,2969.19,Optimism
2023-05-20,OpenSea,248215.766889366,Polygon
2023-05-20,Coral Cube,6219.036339689,Solana
2023-05-20,Exchange Art,3080.591602176,Solana
2023-05-20,Hadeswap,110642.369480763,Solana
2023-05-20,Hyperspace,1706.771826788,Solana
2023-05-20,Magic Eden,437040.453074726,Solana
2023-05-20,Solanart,5550.040828796,Solana
2023-05-20,Tensor,351967.935629491,Solana
2023-05-19,Blur,8253532.94915877,Ethereum
2023-05-19,LooksRare,2720324.43090719,Ethereum
2023-05-19,NFTX,23179.765153277,Ethereum
2023-05-19,OpenSea,3273495.90319087,Ethereum
2023-05-19,Rarible,245.100033645,Ethereum
2023-05-19,Sudoswap,2290.4,Ethereum
2023-05-19,X2Y2,1991100.99148921,Ethereum
2023-05-19,Quix,1978.38,Optimism
2023-05-19,OpenSea,368860.827884056,Polygon
2023-05-19,Coral Cube,4761.566907818,Solana
2023-05-19,Exchange Art,12736.137034875,Solana
2023-05-19,Hadeswap,102605.452943431,Solana
2023-05-19,Hyperspace,466.657824223,Solana
2023-05-19,Magic Eden,579500.874116658,Solana
2023-05-19,Solanart,24260.38404,Solana
2023-05-19,Tensor,555567.65458514,Solana
2023-05-18,Blur,9698819.78059865,Ethereum
2023-05-18,Larva Labs,279243.14,Ethereum
2023-05-18,LooksRare,4589208.94969041,Ethereum
2023-05-18,NFTX,90145.157591944,Ethereum
2023-05-18,OpenSea,5498503.19397788,Ethereum
2023-05-18,Rarible,22032.2874388,Ethereum
2023-05-18,Sudoswap,42057.77,Ethereum
2023-05-18,X2Y2,2792305.76737359,Ethereum
2023-05-18,Quix,13928.84,Optimism
2023-05-18,OpenSea,488806.172632007,Polygon
2023-05-18,Coral Cube,9662.109554333,Solana
2023-05-18,Exchange Art,10012.574896416,Solana
2023-05-18,Hadeswap,159098.27069806,Solana
2023-05-18,Hyperspace,1191.394811683,Solana
2023-05-18,Magic Eden,669764.734289294,Solana
2023-05-18,Solanart,157.421116281,Solana
2023-05-18,Tensor,666779.473725879,Solana
2023-05-17,Blur,8262693.37866466,Ethereum
2023-05-17,LooksRare,4120727.18429889,Ethereum
2023-05-17,NFTX,48240.006925843,Ethereum
2023-05-17,OpenSea,3717086.14791801,Ethereum
2023-05-17,Sudoswap,82.84,Ethereum
2023-05-17,X2Y2,1522206.94974418,Ethereum
2023-05-17,Quix,2554.28,Optimism
2023-05-17,OpenSea,17310.512315071,Polygon
2023-05-17,Coral Cube,6783.255043249,Solana
2023-05-17,Exchange Art,12573.755572714,Solana
2023-05-17,Hadeswap,122307.456617501,Solana
2023-05-17,Hyperspace,2753.085493302,Solana
2023-05-17,Magic Eden,701780.221527379,Solana
2023-05-17,Solanart,354.592099979,Solana
2023-05-17,Tensor,524823.190151382,Solana
2023-05-16,Blur,9781347.4260146,Ethereum
2023-05-16,LooksRare,3298688.3502662,Ethereum
2023-05-16,NFTX,118401.418883579,Ethereum
2023-05-16,OpenSea,3524163.92539782,Ethereum
2023-05-16,Rarible,1140.172436,Ethereum
2023-05-16,X2Y2,1260323.05629614,Ethereum
2023-05-16,Quix,3780.16,Optimism
2023-05-16,OpenSea,19770.02702261,Polygon
2023-05-16,Coral Cube,5418.206821696,Solana
2023-05-16,Exchange Art,7343.716304188,Solana
2023-05-16,Hadeswap,89958.819738332,Solana
2023-05-16,Hyperspace,6.7308024060000005,Solana
2023-05-16,Magic Eden,611806.826436332,Solana
2023-05-16,Solanart,502.8935625,Solana
2023-05-16,Tensor,529918.208159242,Solana
2023-05-15,Blur,8922317.96151242,Ethereum
2023-05-15,LooksRare,1792849.29994932,Ethereum
2023-05-15,NFTX,33096.803324161,Ethereum
2023-05-15,OpenSea,2572800.59394869,Ethereum
2023-05-15,Rarible,543.95469,Ethereum
2023-05-15,Sudoswap,387.77,Ethereum
2023-05-15,X2Y2,3474956.22833988,Ethereum
2023-05-15,Quix,18061.21,Optimism
2023-05-15,OpenSea,13986.654695151,Polygon
2023-05-15,Coral Cube,5624.226673186,Solana
2023-05-15,Exchange Art,11713.640043711,Solana
2023-05-15,Hadeswap,93954.340050619,Solana
