Date,Values,Blockchain
2023-06-06,1954,Ethereum
2023-06-06,34,Flow
2023-06-06,44,Optimism
2023-06-06,727,Polygon
2023-06-05,1870,Ethereum
2023-06-05,40,Flow
2023-06-05,51,Optimism
2023-06-05,669,Polygon
2023-06-04,1993,Ethereum
2023-06-04,32,Flow
2023-06-04,58,Optimism
2023-06-04,695,Polygon
2023-06-03,2033,Ethereum
2023-06-03,30,Flow
2023-06-03,53,Optimism
2023-06-03,727,Polygon
2023-06-02,1953,Ethereum
2023-06-02,43,Flow
2023-06-02,66,Optimism
2023-06-02,702,Polygon
2023-06-01,1787,Ethereum
2023-06-01,37,Flow
2023-06-01,61,Optimism
2023-06-01,680,Polygon
2023-05-31,1874,Ethereum
2023-05-31,34,Flow
2023-05-31,52,Optimism
2023-05-31,674,Polygon
2023-05-30,1563,Ethereum
2023-05-30,37,Flow
2023-05-30,40,Optimism
2023-05-30,702,Polygon
2023-05-29,1755,Ethereum
2023-05-29,31,Flow
2023-05-29,57,Optimism
2023-05-29,665,Polygon
2023-05-28,1786,Ethereum
2023-05-28,31,Flow
2023-05-28,61,Optimism
2023-05-28,685,Polygon
2023-05-27,1994,Ethereum
2023-05-27,29,Flow
2023-05-27,52,Optimism
2023-05-27,694,Polygon
2023-05-26,1918,Ethereum
2023-05-26,41,Flow
2023-05-26,60,Optimism
2023-05-26,719,Polygon
2023-05-25,1929,Ethereum
2023-05-25,32,Flow
2023-05-25,59,Optimism
2023-05-25,681,Polygon
2023-05-24,1882,Ethereum
2023-05-24,28,Flow
2023-05-24,49,Optimism
2023-05-24,699,Polygon
2023-05-23,1652,Ethereum
2023-05-23,26,Flow
2023-05-23,51,Optimism
2023-05-23,694,Polygon
2023-05-22,1728,Ethereum
2023-05-22,29,Flow
2023-05-22,53,Optimism
2023-05-22,659,Polygon
2023-05-21,1925,Ethereum
2023-05-21,31,Flow
2023-05-21,39,Optimism
2023-05-21,643,Polygon
2023-05-20,2092,Ethereum
2023-05-20,29,Flow
2023-05-20,48,Optimism
2023-05-20,668,Polygon
2023-05-19,1906,Ethereum
2023-05-19,23,Flow
2023-05-19,51,Optimism
2023-05-19,681,Polygon
2023-05-18,1774,Ethereum
2023-05-18,24,Flow
2023-05-18,50,Optimism
2023-05-18,660,Polygon
2023-05-17,1619,Ethereum
2023-05-17,34,Flow
2023-05-17,50,Optimism
2023-05-17,639,Polygon
2023-05-16,1508,Ethereum
2023-05-16,29,Flow
2023-05-16,48,Optimism
2023-05-16,651,Polygon
2023-05-15,1452,Ethereum
2023-05-15,39,Flow
2023-05-15,49,Optimism
2023-05-15,604,Polygon
2023-05-14,1729,Ethereum
2023-05-14,26,Flow
2023-05-14,43,Optimism
2023-05-14,612,Polygon
2023-05-13,1861,Ethereum
2023-05-13,43,Flow
2023-05-13,40,Optimism
2023-05-13,598,Polygon
2023-05-12,1657,Ethereum
2023-05-12,32,Flow
2023-05-12,44,Optimism
2023-05-12,626,Polygon
2023-05-11,1190,Ethereum
2023-05-11,26,Flow
2023-05-11,47,Optimism
2023-05-11,639,Polygon
2023-05-10,1343,Ethereum
2023-05-10,27,Flow
2023-05-10,37,Optimism
2023-05-10,660,Polygon
2023-05-09,1351,Ethereum
2023-05-09,29,Flow
2023-05-09,52,Optimism
2023-05-09,630,Polygon
2023-05-08,1170,Ethereum
2023-05-08,36,Flow
2023-05-08,37,Optimism
2023-05-08,596,Polygon
2023-05-07,1070,Ethereum
2023-05-07,34,Flow
2023-05-07,44,Optimism
2023-05-07,545,Polygon
2023-05-06,860,Ethereum
2023-05-06,35,Flow
2023-05-06,28,Optimism
2023-05-06,599,Polygon
2023-05-05,1017,Ethereum
2023-05-05,34,Flow
2023-05-05,51,Optimism
2023-05-05,656,Polygon
2023-05-04,1453,Ethereum
2023-05-04,39,Flow
2023-05-04,54,Optimism
2023-05-04,674,Polygon
2023-05-03,1499,Ethereum
2023-05-03,39,Flow
2023-05-03,49,Optimism
2023-05-03,692,Polygon
2023-05-02,1284,Ethereum
2023-05-02,36,Flow
2023-05-02,45,Optimism
2023-05-02,752,Polygon
2023-05-01,1447,Ethereum
2023-05-01,40,Flow
2023-05-01,51,Optimism
2023-05-01,702,Polygon
2023-04-30,1845,Ethereum
2023-04-30,31,Flow
2023-04-30,62,Optimism
2023-04-30,692,Polygon
2023-04-29,1974,Ethereum
2023-04-29,37,Flow
2023-04-29,53,Optimism
2023-04-29,669,Polygon
2023-04-28,2071,Ethereum
2023-04-28,34,Flow
2023-04-28,38,Optimism
2023-04-28,676,Polygon
2023-04-27,2088,Ethereum
2023-04-27,39,Flow
2023-04-27,52,Optimism
2023-04-27,647,Polygon
2023-04-26,2113,Ethereum
2023-04-26,35,Flow
2023-04-26,58,Optimism
2023-04-26,616,Polygon
2023-04-25,2158,Ethereum
2023-04-25,34,Flow
2023-04-25,64,Optimism
2023-04-25,607,Polygon
2023-04-24,1884,Ethereum
2023-04-24,37,Flow
2023-04-24,58,Optimism
2023-04-24,675,Polygon
2023-04-23,1951,Ethereum
2023-04-23,31,Flow
2023-04-23,49,Optimism
2023-04-23,721,Polygon
2023-04-22,2106,Ethereum
2023-04-22,25,Flow
2023-04-22,46,Optimism
2023-04-22,749,Polygon
2023-04-21,2281,Ethereum
2023-04-21,32,Flow
2023-04-21,47,Optimism
2023-04-21,726,Polygon
2023-04-20,1778,Ethereum
2023-04-20,35,Flow
2023-04-20,58,Optimism
2023-04-20,649,Polygon
2023-04-19,1509,Ethereum
2023-04-19,34,Flow
2023-04-19,48,Optimism
2023-04-19,680,Polygon
2023-04-18,1822,Ethereum
2023-04-18,36,Flow
2023-04-18,55,Optimism
2023-04-18,683,Polygon
2023-04-17,2196,Ethereum
2023-04-17,35,Flow
2023-04-17,65,Optimism
2023-04-17,673,Polygon
2023-04-16,2352,Ethereum
2023-04-16,29,Flow
2023-04-16,51,Optimism
2023-04-16,679,Polygon
2023-04-15,2510,Ethereum
2023-04-15,35,Flow
2023-04-15,60,Optimism
2023-04-15,682,Polygon
2023-04-14,2536,Ethereum
2023-04-14,32,Flow
2023-04-14,57,Optimism
2023-04-14,714,Polygon
2023-04-13,2415,Ethereum
2023-04-13,33,Flow
2023-04-13,65,Optimism
2023-04-13,678,Polygon
2023-04-12,2799,Ethereum
2023-04-12,32,Flow
2023-04-12,66,Optimism
2023-04-12,723,Polygon
2023-04-11,2628,Ethereum
2023-04-11,29,Flow
2023-04-11,83,Optimism
2023-04-11,703,Polygon
2023-04-10,2689,Ethereum
2023-04-10,32,Flow
2023-04-10,81,Optimism
2023-04-10,637,Polygon
2023-04-09,2684,Ethereum
2023-04-09,28,Flow
2023-04-09,89,Optimism
2023-04-09,601,Polygon
2023-04-08,2871,Ethereum
2023-04-08,30,Flow
2023-04-08,62,Optimism
2023-04-08,575,Polygon
2023-04-07,2963,Ethereum
2023-04-07,30,Flow
2023-04-07,65,Optimism
2023-04-07,617,Polygon
2023-04-06,2738,Ethereum
2023-04-06,35,Flow
2023-04-06,72,Optimism
2023-04-06,594,Polygon
2023-04-05,2576,Ethereum
2023-04-05,36,Flow
2023-04-05,66,Optimism
2023-04-05,636,Polygon
2023-04-04,2808,Ethereum
2023-04-04,32,Flow
2023-04-04,66,Optimism
2023-04-04,639,Polygon
2023-04-03,2831,Ethereum
2023-04-03,33,Flow
2023-04-03,59,Optimism
2023-04-03,584,Polygon
2023-04-02,2855,Ethereum
2023-04-02,28,Flow
2023-04-02,72,Optimism
2023-04-02,592,Polygon
2023-04-01,3004,Ethereum
2023-04-01,36,Flow
2023-04-01,73,Optimism
2023-04-01,599,Polygon
2023-03-31,2935,Ethereum
2023-03-31,38,Flow
2023-03-31,70,Optimism
2023-03-31,626,Polygon
2023-03-30,2576,Ethereum
2023-03-30,37,Flow
2023-03-30,79,Optimism
2023-03-30,614,Polygon
2023-03-29,2677,Ethereum
2023-03-29,40,Flow
2023-03-29,62,Optimism
2023-03-29,592,Polygon
2023-03-28,2793,Ethereum
2023-03-28,32,Flow
2023-03-28,77,Optimism
2023-03-28,666,Polygon
2023-03-27,2747,Ethereum
2023-03-27,29,Flow
2023-03-27,75,Optimism
2023-03-27,585,Polygon
2023-03-26,2999,Ethereum
2023-03-26,34,Flow
2023-03-26,87,Optimism
2023-03-26,569,Polygon
2023-03-25,3122,Ethereum
2023-03-25,35,Flow
2023-03-25,86,Optimism
2023-03-25,582,Polygon
2023-03-24,2915,Ethereum
2023-03-24,40,Flow
2023-03-24,95,Optimism
2023-03-24,568,Polygon
2023-03-23,2865,Ethereum
2023-03-23,48,Flow
2023-03-23,66,Optimism
2023-03-23,573,Polygon
2023-03-22,2952,Ethereum
2023-03-22,39,Flow
2023-03-22,61,Optimism
2023-03-22,575,Polygon
2023-03-21,3178,Ethereum
2023-03-21,35,Flow
2023-03-21,68,Optimism
2023-03-21,518,Polygon
2023-03-20,3149,Ethereum
2023-03-20,34,Flow
2023-03-20,70,Optimism
2023-03-20,585,Polygon
2023-03-19,3202,Ethereum
2023-03-19,33,Flow
2023-03-19,62,Optimism
2023-03-19,546,Polygon
2023-03-18,3288,Ethereum
2023-03-18,31,Flow
2023-03-18,62,Optimism
2023-03-18,590,Polygon
2023-03-17,3167,Ethereum
2023-03-17,39,Flow
2023-03-17,69,Optimism
2023-03-17,547,Polygon
2023-03-16,3131,Ethereum
2023-03-16,33,Flow
2023-03-16,62,Optimism
2023-03-16,549,Polygon
2023-03-15,3032,Ethereum
2023-03-15,39,Flow
2023-03-15,64,Optimism
2023-03-15,552,Polygon
2023-03-14,3141,Ethereum
2023-03-14,39,Flow
2023-03-14,80,Optimism
2023-03-14,571,Polygon
2023-03-13,3030,Ethereum
2023-03-13,33,Flow
2023-03-13,77,Optimism
2023-03-13,572,Polygon
2023-03-12,3409,Ethereum
2023-03-12,36,Flow
2023-03-12,74,Optimism
2023-03-12,571,Polygon
2023-03-11,2261,Ethereum
2023-03-11,35,Flow
2023-03-11,61,Optimism
2023-03-11,517,Polygon
2023-03-10,3257,Ethereum
2023-03-10,41,Flow
2023-03-10,112,Optimism
2023-03-10,553,Polygon
2023-03-09,3172,Ethereum
2023-03-09,35,Flow
2023-03-09,105,Optimism
2023-03-09,570,Polygon
2023-03-08,3296,Ethereum
2023-03-08,36,Flow
2023-03-08,108,Optimism
2023-03-08,564,Polygon
2023-03-07,3241,Ethereum
2023-03-07,40,Flow
2023-03-07,87,Optimism
2023-03-07,556,Polygon
2023-03-06,3185,Ethereum
2023-03-06,44,Flow
2023-03-06,82,Optimism
2023-03-06,606,Polygon
2023-03-05,3382,Ethereum
2023-03-05,36,Flow
2023-03-05,75,Optimism
2023-03-05,590,Polygon
2023-03-04,3572,Ethereum
2023-03-04,35,Flow
2023-03-04,83,Optimism
2023-03-04,498,Polygon
2023-03-03,3428,Ethereum
2023-03-03,34,Flow
2023-03-03,99,Optimism
2023-03-03,549,Polygon
2023-03-02,3464,Ethereum
2023-03-02,40,Flow
2023-03-02,90,Optimism
2023-03-02,558,Polygon
2023-03-01,3240,Ethereum
2023-03-01,37,Flow
2023-03-01,80,Optimism
2023-03-01,570,Polygon
2023-02-28,3487,Ethereum
2023-02-28,42,Flow
2023-02-28,97,Optimism
2023-02-28,561,Polygon
2023-02-27,3619,Ethereum
2023-02-27,45,Flow
2023-02-27,102,Optimism
2023-02-27,539,Polygon
2023-02-26,3496,Ethereum
2023-02-26,30,Flow
2023-02-26,105,Optimism
2023-02-26,593,Polygon
2023-02-25,3645,Ethereum
2023-02-25,33,Flow
2023-02-25,93,Optimism
2023-02-25,572,Polygon
2023-02-24,3416,Ethereum
2023-02-24,42,Flow
2023-02-24,98,Optimism
2023-02-24,549,Polygon
2023-02-23,3272,Ethereum
2023-02-23,40,Flow
2023-02-23,77,Optimism
2023-02-23,541,Polygon
2023-02-22,3471,Ethereum
2023-02-22,43,Flow
2023-02-22,82,Optimism
2023-02-22,547,Polygon
2023-02-21,3437,Ethereum
2023-02-21,36,Flow
2023-02-21,85,Optimism
2023-02-21,578,Polygon
2023-02-20,3576,Ethereum
2023-02-20,38,Flow
2023-02-20,73,Optimism
2023-02-20,552,Polygon
2023-02-19,3689,Ethereum
2023-02-19,39,Flow
2023-02-19,75,Optimism
2023-02-19,544,Polygon
2023-02-18,3801,Ethereum
2023-02-18,43,Flow
2023-02-18,73,Optimism
2023-02-18,498,Polygon
2023-02-17,3520,Ethereum
2023-02-17,44,Flow
2023-02-17,79,Optimism
2023-02-17,531,Polygon
2023-02-16,3405,Ethereum
2023-02-16,50,Flow
2023-02-16,78,Optimism
2023-02-16,508,Polygon
2023-02-15,3686,Ethereum
2023-02-15,38,Flow
2023-02-15,77,Optimism
2023-02-15,495,Polygon
2023-02-14,3400,Ethereum
2023-02-14,43,Flow
2023-02-14,66,Optimism
2023-02-14,457,Polygon
2023-02-13,3185,Ethereum
2023-02-13,43,Flow
2023-02-13,71,Optimism
2023-02-13,489,Polygon
2023-02-12,3542,Ethereum
2023-02-12,44,Flow
2023-02-12,79,Optimism
2023-02-12,468,Polygon
2023-02-11,3485,Ethereum
2023-02-11,42,Flow
2023-02-11,74,Optimism
2023-02-11,548,Polygon
2023-02-10,3473,Ethereum
2023-02-10,45,Flow
2023-02-10,70,Optimism
2023-02-10,733,Polygon
2023-02-09,3136,Ethereum
2023-02-09,43,Flow
2023-02-09,62,Optimism
2023-02-09,668,Polygon
2023-02-08,3094,Ethereum
2023-02-08,41,Flow
2023-02-08,63,Optimism
2023-02-08,532,Polygon
2023-02-07,3008,Ethereum
2023-02-07,38,Flow
2023-02-07,72,Optimism
2023-02-07,661,Polygon
2023-02-06,3296,Ethereum
