Date,Values,Blockchain
2023-08-04,8756,Ethereum
2023-08-04,11710,Flow
2023-08-04,879,Optimism
2023-08-04,10082,Polygon
2023-08-04,10927,Solana
2023-08-03,8439,Ethereum
2023-08-03,9644,Flow
2023-08-03,2078,Optimism
2023-08-03,11519,Polygon
2023-08-03,12620,Solana
2023-08-02,8549,Ethereum
2023-08-02,8672,Flow
2023-08-02,1098,Optimism
2023-08-02,10449,Polygon
2023-08-02,10443,Solana
2023-08-01,7950,Ethereum
2023-08-01,9151,Flow
2023-08-01,1036,Optimism
2023-08-01,10205,Polygon
2023-08-01,10865,Solana
2023-07-31,7941,Ethereum
2023-07-31,8058,Flow
2023-07-31,658,Optimism
2023-07-31,11559,Polygon
2023-07-31,10333,Solana
2023-07-30,7974,Ethereum
2023-07-30,7494,Flow
2023-07-30,631,Optimism
2023-07-30,10854,Polygon
2023-07-30,10322,Solana
2023-07-29,8327,Ethereum
2023-07-29,7167,Flow
2023-07-29,710,Optimism
2023-07-29,9671,Polygon
2023-07-29,9224,Solana
2023-07-28,7393,Ethereum
2023-07-28,10869,Flow
2023-07-28,980,Optimism
2023-07-28,11038,Polygon
2023-07-28,11220,Solana
2023-07-27,6970,Ethereum
2023-07-27,14882,Flow
2023-07-27,785,Optimism
2023-07-27,13203,Polygon
2023-07-27,11433,Solana
2023-07-26,7874,Ethereum
2023-07-26,14821,Flow
2023-07-26,1279,Optimism
2023-07-26,11865,Polygon
2023-07-26,15132,Solana
2023-07-25,7956,Ethereum
2023-07-25,12955,Flow
2023-07-25,866,Optimism
2023-07-25,11720,Polygon
2023-07-25,12328,Solana
2023-07-24,8429,Ethereum
2023-07-24,9574,Flow
2023-07-24,913,Optimism
2023-07-24,12883,Polygon
2023-07-24,10801,Solana
2023-07-23,8088,Ethereum
2023-07-23,8034,Flow
2023-07-23,904,Optimism
2023-07-23,18380,Polygon
2023-07-23,8638,Solana
2023-07-22,9183,Ethereum
2023-07-22,8439,Flow
2023-07-22,566,Optimism
2023-07-22,16765,Polygon
2023-07-22,8772,Solana
2023-07-21,9366,Ethereum
2023-07-21,15490,Flow
2023-07-21,1335,Optimism
2023-07-21,15883,Polygon
2023-07-21,10695,Solana
2023-07-20,8147,Ethereum
2023-07-20,10195,Flow
2023-07-20,1531,Optimism
2023-07-20,12934,Polygon
2023-07-20,9418,Solana
2023-07-19,9352,Ethereum
2023-07-19,8769,Flow
2023-07-19,1938,Optimism
2023-07-19,10865,Polygon
2023-07-19,9240,Solana
2023-07-18,10560,Ethereum
2023-07-18,8794,Flow
2023-07-18,1621,Optimism
2023-07-18,12247,Polygon
2023-07-18,10541,Solana
2023-07-17,9382,Ethereum
2023-07-17,7726,Flow
2023-07-17,1675,Optimism
2023-07-17,11435,Polygon
2023-07-17,10209,Solana
2023-07-16,8035,Ethereum
2023-07-16,6941,Flow
2023-07-16,1044,Optimism
2023-07-16,10985,Polygon
2023-07-16,9461,Solana
2023-07-15,9458,Ethereum
2023-07-15,7660,Flow
2023-07-15,1428,Optimism
2023-07-15,10511,Polygon
2023-07-15,10844,Solana
2023-07-14,9919,Ethereum
2023-07-14,7832,Flow
2023-07-14,1594,Optimism
2023-07-14,11678,Polygon
2023-07-14,15929,Solana
2023-07-13,9672,Ethereum
2023-07-13,7031,Flow
2023-07-13,2770,Optimism
2023-07-13,9302,Polygon
2023-07-13,14149,Solana
2023-07-12,10348,Ethereum
2023-07-12,4688,Flow
2023-07-12,1468,Optimism
2023-07-12,10078,Polygon
2023-07-12,13427,Solana
2023-07-11,9629,Ethereum
2023-07-11,6871,Flow
2023-07-11,881,Optimism
2023-07-11,9989,Polygon
2023-07-11,14637,Solana
2023-07-10,9610,Ethereum
2023-07-10,7247,Flow
2023-07-10,231,Optimism
2023-07-10,13892,Polygon
2023-07-10,17904,Solana
2023-07-09,11010,Ethereum
2023-07-09,4640,Flow
2023-07-09,180,Optimism
2023-07-09,10530,Polygon
2023-07-09,12110,Solana
2023-07-08,10203,Ethereum
2023-07-08,4203,Flow
2023-07-08,273,Optimism
2023-07-08,10013,Polygon
2023-07-08,13026,Solana
2023-07-07,8042,Ethereum
2023-07-07,6078,Flow
2023-07-07,859,Optimism
2023-07-07,8933,Polygon
2023-07-07,18290,Solana
2023-07-06,7225,Ethereum
2023-07-06,6260,Flow
2023-07-06,412,Optimism
2023-07-06,10463,Polygon
2023-07-06,21045,Solana
2023-07-05,5891,Ethereum
2023-07-05,5247,Flow
2023-07-05,136,Optimism
2023-07-05,10573,Polygon
2023-07-05,13194,Solana
2023-07-04,9776,Ethereum
2023-07-04,5159,Flow
2023-07-04,355,Optimism
2023-07-04,9194,Polygon
2023-07-04,15865,Solana
2023-07-03,10602,Ethereum
2023-07-03,5485,Flow
2023-07-03,216,Optimism
2023-07-03,8946,Polygon
2023-07-03,16765,Solana
2023-07-02,11555,Ethereum
2023-07-02,4916,Flow
