Segment,Metric,Aggregation,Blockchain,Query
Addresses,Active Users,Blockchain,Arbitrum,782b10f0-07a8-4684-9b91-19d76e5bd375
Addresses,Active Users,Blockchain,Avalanche,df3cd9e3-bab6-4827-a43b-d0d250fadfc6
Addresses,Active Users,Blockchain,Axelar,a1448fa8-4ddc-4b9b-a051-75e4eb84a6c5
Addresses,Active Users,Blockchain,BSC,895bf8a9-e286-45de-9d80-41120431badc
Addresses,Active Users,Blockchain,Cosmos,65bd335e-46f4-45b8-9b2c-827a69dd6051
Addresses,Active Users,Blockchain,Ethereum,0df969ce-d07b-40d1-a6ca-d792fcd09f01
Addresses,Active Users,Blockchain,Gnosis,edb926eb-a179-4a8c-a8fd-ddfd218249c6
Addresses,Active Users,Blockchain,NEAR,b5219626-d84d-43bc-8262-8fc1f95fdda0
Addresses,Active Users,Blockchain,Optimism,081e325e-5291-476e-8e90-3b7a004f2e64
Addresses,Active Users,Blockchain,Osmosis,00d3390b-6f8e-41b7-ba4d-9b8f54b22f15
Addresses,Active Users,Blockchain,Polygon,15ae108d-bf3c-4ee0-b07f-4dacde1d2a6b
Addresses,Active Users,Blockchain,Solana,ac97258e-6a5f-49a1-8e00-11378d9c5745
Blocks,Block Count,Blockchain,Arbitrum,fd1d0bbd-931d-4a05-b875-a289e8e88363
Blocks,Block Count,Blockchain,Avalanche,cba7ab03-9172-482c-a281-6c659501e745
Blocks,Block Count,Blockchain,Axelar,d3183666-a318-4727-9456-7b7b43e91227
Blocks,Block Count,Blockchain,BSC,cf7593dd-0075-4037-a3c9-b9ff9795ff41
Blocks,Block Count,Blockchain,Cosmos,4ef44fa5-af03-4c38-a1ef-2533ef1a256e
Blocks,Block Count,Blockchain,Ethereum,03868e7f-5721-48f7-96cf-ee584845761c
Blocks,Block Count,Blockchain,Flow,8608dc81-76cc-4047-a187-c4a2cee9031c
Blocks,Block Count,Blockchain,Gnosis,1763e2c6-975f-4854-ae15-5bc95580142c
Blocks,Block Count,Blockchain,NEAR,f2b542f7-dae6-414f-95ca-9a5e1eca69da
Blocks,Block Count,Blockchain,Optimism,799ca198-d8d4-46d7-af26-6ab248ad0be7
Blocks,Block Count,Blockchain,Osmosis,42b9dea5-8bd3-4dd4-a01a-5a5f386af931
Blocks,Block Count,Blockchain,Polygon,b83d200f-da7a-4707-96bd-a6d2a35f6039
Blocks,Block Count,Blockchain,Solana,d21b4771-c893-4852-8a2d-21c5ccc4f163
CEXs,Inflows,Exchange,Arbitrum,b9b0fcfb-535b-4b25-8664-b698e3c0d1ed
CEXs,Inflows,Exchange,Avalanche,36b6f105-6698-4e36-8743-71fd74e2d731
CEXs,Inflows,Exchange,Ethereum,777419b3-9b8b-4bfe-805a-101a7d918ed2
CEXs,Inflows,Exchange,Optimism,c4da5482-02ba-4d03-a5f0-4e96643b88d3
CEXs,Inflows,Exchange,Polygon,9975f38b-1fd9-47ad-a0c7-bba49dc6c0dd
CEXs,Net Flow,Exchange,Arbitrum,01b91e16-8dbf-4f11-becc-a130f396d185
CEXs,Net Flow,Exchange,Avalanche,5840bcf4-a66e-4bdc-b7b7-f354014ac11d
