Date,Blockchain,DEX,Values
2023-05-03,Ethereum,Balancer,419
2023-05-03,Ethereum,Curve,1054
2023-05-03,Ethereum,Sushi,2877
2023-05-03,Ethereum,Synthetix,4
2023-05-03,Ethereum,Uniswap,278120
2023-05-02,Ethereum,Balancer,370
2023-05-02,Ethereum,Curve,783
2023-05-02,Ethereum,Sushi,2994
2023-05-02,Ethereum,Synthetix,2
2023-05-02,Ethereum,Uniswap,298346
2023-05-01,Ethereum,Balancer,447
2023-05-01,Ethereum,Curve,876
2023-05-01,Ethereum,Sushi,3184
2023-05-01,Ethereum,Synthetix,1
2023-05-01,Ethereum,Uniswap,300264
2023-04-30,Ethereum,Balancer,403
2023-04-30,Ethereum,Curve,887
2023-04-30,Ethereum,Sushi,2684
2023-04-30,Ethereum,Uniswap,244080
2023-04-29,Ethereum,Balancer,480
2023-04-29,Ethereum,Curve,936
2023-04-29,Ethereum,Sushi,3150
2023-04-29,Ethereum,Uniswap,178521
2023-04-28,Ethereum,Balancer,536
2023-04-28,Ethereum,Curve,1185
2023-04-28,Ethereum,Sushi,5574
2023-04-28,Ethereum,Synthetix,1
2023-04-28,Ethereum,Uniswap,184309
2023-04-27,Ethereum,Balancer,693
2023-04-27,Ethereum,Curve,1538
2023-04-27,Ethereum,Sushi,4196
2023-04-27,Ethereum,Synthetix,7
2023-04-27,Ethereum,Uniswap,159284
2023-04-26,Ethereum,Balancer,1586
2023-04-26,Ethereum,Curve,1468
2023-04-26,Ethereum,Sushi,3802
2023-04-26,Ethereum,Synthetix,2
2023-04-26,Ethereum,Uniswap,177316
2023-04-25,Ethereum,Balancer,1313
2023-04-25,Ethereum,Curve,1234
2023-04-25,Ethereum,Sushi,2989
2023-04-25,Ethereum,Synthetix,2
2023-04-25,Ethereum,Uniswap,180733
2023-04-24,Ethereum,Balancer,1141
2023-04-24,Ethereum,Curve,1122
2023-04-24,Ethereum,Sushi,2627
2023-04-24,Ethereum,Synthetix,2
2023-04-24,Ethereum,Uniswap,200862
2023-04-23,Ethereum,Balancer,1158
2023-04-23,Ethereum,Curve,939
2023-04-23,Ethereum,Sushi,2870
2023-04-23,Ethereum,Synthetix,3
2023-04-23,Ethereum,Uniswap,204890
2023-04-22,Ethereum,Balancer,557
2023-04-22,Ethereum,Curve,789
2023-04-22,Ethereum,Sushi,3936
2023-04-22,Ethereum,Uniswap,175059
2023-04-21,Ethereum,Balancer,909
2023-04-21,Ethereum,Curve,1659
2023-04-21,Ethereum,Sushi,4926
2023-04-21,Ethereum,Synthetix,5
2023-04-21,Ethereum,Uniswap,182892
2023-04-20,Ethereum,Balancer,739
2023-04-20,Ethereum,Curve,1082
2023-04-20,Ethereum,Sushi,3533
2023-04-20,Ethereum,Synthetix,1
2023-04-20,Ethereum,Uniswap,247163
2023-04-19,Ethereum,Balancer,696
2023-04-19,Ethereum,Curve,1063
2023-04-19,Ethereum,Sushi,4295
2023-04-19,Ethereum,Synthetix,5
2023-04-19,Ethereum,Uniswap,267280
2023-04-18,Ethereum,Balancer,710
2023-04-18,Ethereum,Curve,1215
2023-04-18,Ethereum,Sushi,3938
2023-04-18,Ethereum,Synthetix,1
2023-04-18,Ethereum,Uniswap,228755
2023-04-17,Ethereum,Balancer,737
2023-04-17,Ethereum,Curve,1337
2023-04-17,Ethereum,Sushi,4331
2023-04-17,Ethereum,Synthetix,2
2023-04-17,Ethereum,Uniswap,185645
2023-04-16,Ethereum,Balancer,861
2023-04-16,Ethereum,Curve,1278
2023-04-16,Ethereum,Sushi,4077
2023-04-16,Ethereum,Uniswap,112777
2023-04-15,Ethereum,Balancer,787
