Date,DEX,Values,Blockchain
2023-05-23,Curve,512,Avalanche
2023-05-23,Fraxswap,60,Avalanche
2023-05-23,GMX,366,Avalanche
2023-05-23,Hashflow,286,Avalanche
2023-05-23,KyberSwap,732,Avalanche
2023-05-23,Pangolin,4753,Avalanche
2023-05-23,Platypus,1047,Avalanche
2023-05-23,Sushiswap,1743,Avalanche
2023-05-23,Trader Joe,39344,Avalanche
2023-05-23,WOOFi,15398,Avalanche
2023-05-23,Balancer,407,Ethereum
2023-05-23,Curve,966,Ethereum
2023-05-23,DODO,82,Ethereum
2023-05-23,Fraxswap,92,Ethereum
2023-05-23,Hashflow,233,Ethereum
2023-05-23,KyberSwap,21,Ethereum
2023-05-23,Maverick,2,Ethereum
2023-05-23,PancakeSwap,365,Ethereum
2023-05-23,Shibaswap,819,Ethereum
2023-05-23,Sushiswap,2722,Ethereum
2023-05-23,Synthetix,1,Ethereum
2023-05-23,Uniswap,269646,Ethereum
2023-05-23,Beethoven X,1430,Optimism
2023-05-23,Curve,946,Optimism
2023-05-23,Fraxswap,26,Optimism
2023-05-23,KyberSwap,213,Optimism
2023-05-23,Sushiswap,1961,Optimism
2023-05-23,Synthetix,44,Optimism
2023-05-23,Uniswap,24954,Optimism
2023-05-23,Velodrome,8655,Optimism
2023-05-23,WOOFi,1940,Optimism
2023-05-23,Balancer,3163,Polygon
2023-05-23,Curve,399,Polygon
2023-05-23,DODO,3080,Polygon
2023-05-23,Fraxswap,342,Polygon
2023-05-23,KyberSwap,2109,Polygon
2023-05-23,QuickSwap,46144,Polygon
2023-05-23,Sushiswap,10911,Polygon
2023-05-23,Uniswap,55047,Polygon
2023-05-23,WOOFi,9526,Polygon
2023-05-22,Curve,529,Avalanche
2023-05-22,Fraxswap,80,Avalanche
2023-05-22,GMX,276,Avalanche
2023-05-22,Hashflow,284,Avalanche
2023-05-22,KyberSwap,678,Avalanche
2023-05-22,Pangolin,4716,Avalanche
2023-05-22,Platypus,970,Avalanche
2023-05-22,Sushiswap,1680,Avalanche
2023-05-22,Trader Joe,35246,Avalanche
2023-05-22,WOOFi,12471,Avalanche
2023-05-22,Balancer,476,Ethereum
2023-05-22,Curve,847,Ethereum
2023-05-22,DODO,76,Ethereum
2023-05-22,Fraxswap,99,Ethereum
2023-05-22,Hashflow,246,Ethereum
2023-05-22,KyberSwap,14,Ethereum
2023-05-22,PancakeSwap,354,Ethereum
2023-05-22,Shibaswap,616,Ethereum
2023-05-22,Sushiswap,2935,Ethereum
2023-05-22,Synthetix,6,Ethereum
2023-05-22,Uniswap,256416,Ethereum
2023-05-22,Beethoven X,1349,Optimism
2023-05-22,Curve,864,Optimism
2023-05-22,Fraxswap,28,Optimism
2023-05-22,KyberSwap,107,Optimism
2023-05-22,Sushiswap,1506,Optimism
2023-05-22,Synthetix,12,Optimism
2023-05-22,Uniswap,25400,Optimism
2023-05-22,Velodrome,9106,Optimism
2023-05-22,WOOFi,1827,Optimism
2023-05-22,Balancer,2498,Polygon
2023-05-22,Curve,280,Polygon
2023-05-22,DODO,2269,Polygon
2023-05-22,Fraxswap,361,Polygon
2023-05-22,KyberSwap,1895,Polygon
2023-05-22,QuickSwap,42544,Polygon
2023-05-22,Sushiswap,9818,Polygon
2023-05-22,Uniswap,50750,Polygon
2023-05-22,WOOFi,6933,Polygon
2023-05-21,Curve,295,Avalanche
2023-05-21,Fraxswap,51,Avalanche
2023-05-21,GMX,201,Avalanche
2023-05-21,Hashflow,194,Avalanche
2023-05-21,KyberSwap,628,Avalanche
2023-05-21,Pangolin,3582,Avalanche
2023-05-21,Platypus,698,Avalanche
2023-05-21,Sushiswap,1496,Avalanche
2023-05-21,Trader Joe,30688,Avalanche
2023-05-21,WOOFi,10502,Avalanche
2023-05-21,Balancer,525,Ethereum
2023-05-21,Curve,800,Ethereum
2023-05-21,DODO,49,Ethereum
2023-05-21,Fraxswap,62,Ethereum
2023-05-21,Hashflow,199,Ethereum
2023-05-21,KyberSwap,15,Ethereum
2023-05-21,PancakeSwap,395,Ethereum
2023-05-21,Shibaswap,555,Ethereum
2023-05-21,Sushiswap,3025,Ethereum
2023-05-21,Synthetix,1,Ethereum
2023-05-21,Uniswap,214819,Ethereum
2023-05-21,Beethoven X,1335,Optimism
2023-05-21,Curve,728,Optimism
2023-05-21,Fraxswap,15,Optimism
2023-05-21,KyberSwap,98,Optimism
2023-05-21,Sushiswap,1966,Optimism
2023-05-21,Synthetix,28,Optimism
2023-05-21,Uniswap,23412,Optimism
2023-05-21,Velodrome,7963,Optimism
2023-05-21,WOOFi,1793,Optimism
2023-05-21,Balancer,2655,Polygon
2023-05-21,Curve,225,Polygon
2023-05-21,DODO,2129,Polygon
2023-05-21,Fraxswap,390,Polygon
2023-05-21,KyberSwap,1666,Polygon
2023-05-21,QuickSwap,37237,Polygon
2023-05-21,Sushiswap,9009,Polygon
2023-05-21,Uniswap,41821,Polygon
2023-05-21,WOOFi,8717,Polygon
2023-05-20,Curve,262,Avalanche
2023-05-20,Fraxswap,16,Avalanche
