Date,Values,Blockchain
2023-05-22,23289,Avalanche
2023-05-22,67223,Ethereum
2023-05-22,11706,Optimism
2023-05-22,32555,Polygon
2023-05-22,22023,Solana
2023-05-21,19782,Avalanche
2023-05-21,63390,Ethereum
2023-05-21,11750,Optimism
2023-05-21,30228,Polygon
2023-05-21,14946,Solana
2023-05-20,22532,Avalanche
2023-05-20,59686,Ethereum
2023-05-20,11181,Optimism
2023-05-20,30784,Polygon
2023-05-20,13606,Solana
2023-05-19,21098,Avalanche
2023-05-19,67277,Ethereum
2023-05-19,11653,Optimism
2023-05-19,31381,Polygon
2023-05-19,13706,Solana
2023-05-18,19714,Avalanche
2023-05-18,66765,Ethereum
2023-05-18,13158,Optimism
2023-05-18,35864,Polygon
2023-05-18,14525,Solana
2023-05-17,19210,Avalanche
2023-05-17,65926,Ethereum
2023-05-17,13074,Optimism
2023-05-17,34814,Polygon
2023-05-17,15054,Solana
2023-05-16,18173,Avalanche
2023-05-16,68871,Ethereum
2023-05-16,13395,Optimism
2023-05-16,32423,Polygon
2023-05-16,15345,Solana
2023-05-15,17532,Avalanche
2023-05-15,67701,Ethereum
2023-05-15,9835,Optimism
2023-05-15,31333,Polygon
2023-05-15,16048,Solana
2023-05-14,20005,Avalanche
2023-05-14,66120,Ethereum
2023-05-14,9427,Optimism
2023-05-14,28658,Polygon
2023-05-14,14076,Solana
2023-05-13,18823,Avalanche
2023-05-13,70964,Ethereum
2023-05-13,10268,Optimism
2023-05-13,26947,Polygon
2023-05-13,15279,Solana
2023-05-12,17949,Avalanche
2023-05-12,78588,Ethereum
2023-05-12,9583,Optimism
2023-05-12,30031,Polygon
2023-05-12,18185,Solana
2023-05-11,13482,Avalanche
2023-05-11,85493,Ethereum
2023-05-11,8503,Optimism
2023-05-11,29812,Polygon
2023-05-11,21252,Solana
2023-05-10,14248,Avalanche
2023-05-10,83404,Ethereum
2023-05-10,7506,Optimism
2023-05-10,29993,Polygon
2023-05-10,22005,Solana
2023-05-09,12999,Avalanche
2023-05-09,88459,Ethereum
2023-05-09,6685,Optimism
2023-05-09,31064,Polygon
2023-05-09,21881,Solana
2023-05-08,13465,Avalanche
2023-05-08,96041,Ethereum
2023-05-08,6149,Optimism
2023-05-08,31307,Polygon
2023-05-08,28381,Solana
2023-05-07,11899,Avalanche
2023-05-07,98480,Ethereum
2023-05-07,6502,Optimism
2023-05-07,26982,Polygon
2023-05-07,25004,Solana
2023-05-06,10270,Avalanche
2023-05-06,103946,Ethereum
2023-05-06,6468,Optimism
2023-05-06,27059,Polygon
2023-05-06,32364,Solana
2023-05-05,11570,Avalanche
2023-05-05,105777,Ethereum
2023-05-05,7922,Optimism
2023-05-05,28950,Polygon
2023-05-05,27305,Solana
2023-05-04,14101,Avalanche
2023-05-04,87091,Ethereum
2023-05-04,10557,Optimism
2023-05-04,29478,Polygon
2023-05-04,23825,Solana
2023-05-03,13833,Avalanche
2023-05-03,81288,Ethereum
2023-05-03,17792,Optimism
2023-05-03,28664,Polygon
2023-05-03,14112,Solana
2023-05-02,11716,Avalanche
2023-05-02,85342,Ethereum
2023-05-02,8171,Optimism
2023-05-02,28501,Polygon
2023-05-02,14264,Solana
2023-05-01,12059,Avalanche
2023-05-01,86568,Ethereum
2023-05-01,7290,Optimism
2023-05-01,28246,Polygon
2023-05-01,15147,Solana
2023-04-30,13750,Avalanche
2023-04-30,69587,Ethereum
2023-04-30,11360,Optimism
2023-04-30,27528,Polygon
2023-04-30,16696,Solana
2023-04-29,13039,Avalanche
2023-04-29,52139,Ethereum
2023-04-29,10679,Optimism
