Date,DEX,Values,Blockchain
2023-05-13,Curve,219,Avalanche
2023-05-13,Fraxswap,34,Avalanche
2023-05-13,GMX,99,Avalanche
2023-05-13,Hashflow,268,Avalanche
2023-05-13,KyberSwap,335,Avalanche
2023-05-13,Pangolin,3705,Avalanche
2023-05-13,Platypus,400,Avalanche
2023-05-13,Sushiswap,989,Avalanche
2023-05-13,Trader Joe,13427,Avalanche
2023-05-13,WOOFi,3646,Avalanche
2023-05-13,Balancer,232,Ethereum
2023-05-13,Curve,454,Ethereum
2023-05-13,DODO,30,Ethereum
2023-05-13,Fraxswap,35,Ethereum
2023-05-13,Hashflow,82,Ethereum
2023-05-13,KyberSwap,22,Ethereum
2023-05-13,PancakeSwap,419,Ethereum
2023-05-13,Shibaswap,433,Ethereum
2023-05-13,Sushiswap,1587,Ethereum
2023-05-13,Uniswap,69584,Ethereum
2023-05-13,Beethoven X,712,Optimism
2023-05-13,Curve,465,Optimism
2023-05-13,Fraxswap,6,Optimism
2023-05-13,KyberSwap,117,Optimism
2023-05-13,Sushiswap,637,Optimism
2023-05-13,Synthetix,15,Optimism
2023-05-13,Uniswap,7350,Optimism
2023-05-13,Velodrome,3310,Optimism
2023-05-13,WOOFi,947,Optimism
2023-05-13,Balancer,1136,Polygon
2023-05-13,Curve,289,Polygon
2023-05-13,DODO,1232,Polygon
2023-05-13,Fraxswap,665,Polygon
2023-05-13,KyberSwap,925,Polygon
2023-05-13,QuickSwap,10700,Polygon
2023-05-13,Sushiswap,4444,Polygon
2023-05-13,Uniswap,13307,Polygon
2023-05-13,WOOFi,2008,Polygon
2023-05-12,Curve,231,Avalanche
2023-05-12,Fraxswap,32,Avalanche
2023-05-12,GMX,234,Avalanche
2023-05-12,Hashflow,343,Avalanche
2023-05-12,KyberSwap,348,Avalanche
2023-05-12,Pangolin,3434,Avalanche
2023-05-12,Platypus,443,Avalanche
2023-05-12,Sushiswap,856,Avalanche
2023-05-12,Trader Joe,12903,Avalanche
2023-05-12,WOOFi,3598,Avalanche
2023-05-12,Balancer,288,Ethereum
2023-05-12,Curve,564,Ethereum
2023-05-12,DODO,41,Ethereum
2023-05-12,Fraxswap,49,Ethereum
2023-05-12,Hashflow,97,Ethereum
2023-05-12,KyberSwap,23,Ethereum
