Date,Values,Blockchain
2023-07-07,363753,Ethereum
2023-07-07,439166,Polygon
2023-07-06,328501,Ethereum
2023-07-06,421492,Polygon
2023-07-05,306678,Ethereum
2023-07-05,398331,Polygon
2023-07-04,377639,Ethereum
2023-07-04,445939,Polygon
2023-07-03,390332,Ethereum
2023-07-03,470114,Polygon
2023-07-02,352737,Ethereum
2023-07-02,425939,Polygon
2023-07-01,383382,Ethereum
2023-07-01,442299,Polygon
2023-06-30,391599,Ethereum
2023-06-30,643112,Polygon
2023-06-29,389998,Ethereum
2023-06-29,472132,Polygon
2023-06-28,398860,Ethereum
2023-06-28,429680,Polygon
2023-06-27,397872,Ethereum
2023-06-27,437694,Polygon
2023-06-26,403712,Ethereum
2023-06-26,449678,Polygon
2023-06-25,340614,Ethereum
2023-06-25,379634,Polygon
2023-06-24,349096,Ethereum
2023-06-24,379249,Polygon
2023-06-23,374864,Ethereum
2023-06-23,377405,Polygon
2023-06-22,381712,Ethereum
2023-06-22,381576,Polygon
2023-06-21,383996,Ethereum
2023-06-21,414229,Polygon
2023-06-20,362882,Ethereum
2023-06-20,528133,Polygon
2023-06-19,363577,Ethereum
2023-06-19,539983,Polygon
2023-06-18,282532,Ethereum
2023-06-18,331686,Polygon
2023-06-17,311951,Ethereum
2023-06-17,345439,Polygon
2023-06-16,414731,Ethereum
2023-06-16,416584,Polygon
2023-06-15,400302,Ethereum
2023-06-15,481293,Polygon
2023-06-14,407954,Ethereum
2023-06-14,460253,Polygon
2023-06-13,397867,Ethereum
2023-06-13,411843,Polygon
2023-06-12,389745,Ethereum
2023-06-12,460016,Polygon
2023-06-11,441004,Ethereum
2023-06-11,345918,Polygon
2023-06-10,474167,Ethereum
2023-06-10,386160,Polygon
2023-06-09,434861,Ethereum
2023-06-09,419527,Polygon
2023-06-08,386051,Ethereum
2023-06-08,837061,Polygon
2023-06-07,408054,Ethereum
2023-06-07,409940,Polygon
2023-06-06,421552,Ethereum
2023-06-06,499045,Polygon
2023-06-05,410990,Ethereum
2023-06-05,1225524,Polygon
2023-06-04,328267,Ethereum
2023-06-04,333888,Polygon
2023-06-03,355959,Ethereum
2023-06-03,399116,Polygon
2023-06-02,412692,Ethereum
2023-06-02,577163,Polygon
2023-06-01,407020,Ethereum
2023-06-01,527392,Polygon
2023-05-31,420775,Ethereum
2023-05-31,504407,Polygon
2023-05-30,411558,Ethereum
2023-05-30,449573,Polygon
2023-05-29,370317,Ethereum
2023-05-29,583132,Polygon
2023-05-28,329386,Ethereum
2023-05-28,396573,Polygon
2023-05-27,370441,Ethereum
2023-05-27,409848,Polygon
2023-05-26,385368,Ethereum
2023-05-26,435048,Polygon
2023-05-25,394143,Ethereum
2023-05-25,428317,Polygon
2023-05-24,399778,Ethereum
2023-05-24,587899,Polygon
2023-05-23,367651,Ethereum
2023-05-23,434409,Polygon
2023-05-22,367756,Ethereum
2023-05-22,435142,Polygon
2023-05-21,361399,Ethereum
2023-05-21,2125987,Polygon
2023-05-20,383808,Ethereum
2023-05-20,427930,Polygon
2023-05-19,386421,Ethereum
2023-05-19,1159570,Polygon
2023-05-18,404194,Ethereum
2023-05-18,617966,Polygon
2023-05-17,369803,Ethereum
2023-05-17,357236,Polygon
2023-05-16,379327,Ethereum
2023-05-16,469926,Polygon
2023-05-15,379867,Ethereum
2023-05-15,448808,Polygon
2023-05-14,339227,Ethereum
2023-05-14,2260714,Polygon
2023-05-13,349699,Ethereum
2023-05-13,1543283,Polygon
2023-05-12,390706,Ethereum
2023-05-12,1145682,Polygon
2023-05-11,366937,Ethereum
2023-05-11,1135754,Polygon
2023-05-10,380342,Ethereum
2023-05-10,416645,Polygon
2023-05-09,401443,Ethereum
2023-05-09,423288,Polygon
2023-05-08,407485,Ethereum
2023-05-08,445965,Polygon
2023-05-07,352851,Ethereum
2023-05-07,284208,Polygon
2023-05-06,368886,Ethereum
2023-05-06,613262,Polygon
2023-05-05,446873,Ethereum
2023-05-05,361115,Polygon
2023-05-04,393818,Ethereum
2023-05-04,354971,Polygon
2023-05-03,399120,Ethereum
2023-05-03,362844,Polygon
2023-05-02,387946,Ethereum
2023-05-02,373229,Polygon
2023-05-01,368689,Ethereum
2023-05-01,362113,Polygon
2023-04-30,312747,Ethereum
2023-04-30,304087,Polygon
2023-04-29,306165,Ethereum
2023-04-29,283445,Polygon
2023-04-28,363460,Ethereum
2023-04-28,332008,Polygon
2023-04-27,355723,Ethereum
2023-04-27,389632,Polygon
2023-04-26,365786,Ethereum
2023-04-26,315717,Polygon
2023-04-25,362569,Ethereum
2023-04-25,560767,Polygon
2023-04-24,345675,Ethereum
2023-04-24,351811,Polygon
2023-04-23,312407,Ethereum
2023-04-23,301906,Polygon
2023-04-22,322610,Ethereum
2023-04-22,547956,Polygon
2023-04-21,378758,Ethereum
2023-04-21,358765,Polygon
2023-04-20,372147,Ethereum
2023-04-20,430393,Polygon
2023-04-19,369949,Ethereum
2023-04-19,348208,Polygon
2023-04-18,374441,Ethereum
2023-04-18,358792,Polygon
2023-04-17,366848,Ethereum
2023-04-17,390086,Polygon
2023-04-16,320276,Ethereum
2023-04-16,349198,Polygon
2023-04-15,354866,Ethereum
2023-04-15,342348,Polygon
2023-04-14,420634,Ethereum
2023-04-14,356051,Polygon
2023-04-13,393015,Ethereum
2023-04-13,351600,Polygon
2023-04-12,393302,Ethereum
2023-04-12,338099,Polygon
2023-04-11,421171,Ethereum
2023-04-11,363943,Polygon
2023-04-10,378158,Ethereum
2023-04-10,378095,Polygon
2023-04-09,325012,Ethereum
2023-04-09,333079,Polygon
2023-04-08,340179,Ethereum
2023-04-08,352486,Polygon
2023-04-07,397187,Ethereum
2023-04-07,411506,Polygon
2023-04-06,401798,Ethereum
2023-04-06,416727,Polygon
2023-04-05,425608,Ethereum
2023-04-05,583761,Polygon
2023-04-04,420141,Ethereum
2023-04-04,393957,Polygon
2023-04-03,411370,Ethereum
2023-04-03,392949,Polygon
2023-04-02,359961,Ethereum
2023-04-02,518261,Polygon
2023-04-01,373433,Ethereum
2023-04-01,647069,Polygon
2023-03-31,444645,Ethereum
2023-03-31,595527,Polygon
2023-03-30,442934,Ethereum
2023-03-30,554022,Polygon
2023-03-29,418401,Ethereum
2023-03-29,402842,Polygon
2023-03-28,439662,Ethereum
2023-03-28,398317,Polygon
2023-03-27,443872,Ethereum
2023-03-27,434613,Polygon
2023-03-26,382037,Ethereum
2023-03-26,350269,Polygon
2023-03-25,399105,Ethereum
2023-03-25,364235,Polygon
2023-03-24,447627,Ethereum
2023-03-24,487924,Polygon
2023-03-23,467572,Ethereum
2023-03-23,433841,Polygon
2023-03-22,440407,Ethereum
2023-03-22,359041,Polygon
2023-03-21,414514,Ethereum
2023-03-21,484894,Polygon
2023-03-20,404798,Ethereum
2023-03-20,518873,Polygon
2023-03-19,342679,Ethereum
2023-03-19,353347,Polygon
2023-03-18,362290,Ethereum
2023-03-18,399882,Polygon
2023-03-17,390274,Ethereum
2023-03-17,381122,Polygon
2023-03-16,381659,Ethereum
2023-03-16,380580,Polygon
2023-03-15,393122,Ethereum
2023-03-15,403612,Polygon
2023-03-14,395182,Ethereum
2023-03-14,452080,Polygon
2023-03-13,405111,Ethereum
2023-03-13,436519,Polygon
2023-03-12,335312,Ethereum
2023-03-12,498416,Polygon
2023-03-11,370028,Ethereum
2023-03-11,360957,Polygon
2023-03-10,400876,Ethereum
2023-03-10,422842,Polygon
2023-03-09,376337,Ethereum
2023-03-09,350362,Polygon
2023-03-08,356819,Ethereum
2023-03-08,401861,Polygon
2023-03-07,350370,Ethereum
2023-03-07,328122,Polygon
2023-03-06,365283,Ethereum
2023-03-06,414253,Polygon
2023-03-05,324631,Ethereum
2023-03-05,438372,Polygon
2023-03-04,313642,Ethereum
2023-03-04,304071,Polygon
2023-03-03,375544,Ethereum
2023-03-03,315792,Polygon
2023-03-02,377968,Ethereum
2023-03-02,367980,Polygon
2023-03-01,389948,Ethereum
2023-03-01,321811,Polygon
2023-02-28,374296,Ethereum
2023-02-28,267231,Polygon
2023-02-27,377551,Ethereum
2023-02-27,332667,Polygon
2023-02-26,386050,Ethereum
2023-02-26,384278,Polygon
2023-02-25,366879,Ethereum
2023-02-25,433523,Polygon
2023-02-24,389223,Ethereum
2023-02-24,304985,Polygon
2023-02-23,401377,Ethereum
2023-02-23,257622,Polygon
2023-02-22,389432,Ethereum
2023-02-22,277110,Polygon
2023-02-21,371739,Ethereum
2023-02-21,294102,Polygon
2023-02-20,366151,Ethereum
2023-02-20,530434,Polygon
2023-02-19,328402,Ethereum
2023-02-19,272106,Polygon
2023-02-18,345515,Ethereum
2023-02-18,307810,Polygon
2023-02-17,396898,Ethereum
2023-02-17,316974,Polygon
2023-02-16,426278,Ethereum
2023-02-16,325259,Polygon
2023-02-15,443864,Ethereum
2023-02-15,334964,Polygon
2023-02-14,456688,Ethereum
2023-02-14,233003,Polygon
2023-02-13,412505,Ethereum
2023-02-13,285821,Polygon
2023-02-12,374221,Ethereum
2023-02-12,267575,Polygon
2023-02-11,387309,Ethereum
2023-02-11,234805,Polygon
2023-02-10,464039,Ethereum
2023-02-10,311925,Polygon
2023-02-09,434071,Ethereum
2023-02-09,262352,Polygon
2023-02-08,467753,Ethereum
2023-02-08,281984,Polygon
2023-02-07,470370,Ethereum
2023-02-07,412363,Polygon
2023-02-06,440476,Ethereum
2023-02-06,297822,Polygon
2023-02-05,402612,Ethereum
2023-02-05,256472,Polygon
2023-02-04,406167,Ethereum
2023-02-04,395306,Polygon
2023-02-03,398168,Ethereum
2023-02-03,533016,Polygon
2023-02-02,430275,Ethereum
2023-02-02,292718,Polygon
2023-02-01,421400,Ethereum
2023-02-01,351192,Polygon
2023-01-31,396526,Ethereum
2023-01-31,473655,Polygon
2023-01-30,391620,Ethereum
2023-01-30,866254,Polygon
2023-01-29,324706,Ethereum
2023-01-29,876437,Polygon
2023-01-28,335405,Ethereum
2023-01-28,446220,Polygon
2023-01-27,394483,Ethereum
2023-01-27,464842,Polygon
2023-01-26,371894,Ethereum
2023-01-26,721449,Polygon
2023-01-25,477248,Ethereum
2023-01-25,784624,Polygon
2023-01-24,345154,Ethereum
2023-01-24,308452,Polygon
2023-01-23,344411,Ethereum
2023-01-23,547768,Polygon
2023-01-22,342890,Ethereum
2023-01-22,522547,Polygon
2023-01-21,378439,Ethereum
2023-01-21,552602,Polygon
2023-01-20,406201,Ethereum
2023-01-20,374143,Polygon
2023-01-19,401539,Ethereum
2023-01-19,613451,Polygon
2023-01-18,411075,Ethereum
2023-01-18,350947,Polygon
2023-01-17,400250,Ethereum
2023-01-17,616240,Polygon
2023-01-16,412818,Ethereum
2023-01-16,469397,Polygon
2023-01-15,365554,Ethereum
2023-01-15,319757,Polygon
2023-01-14,381566,Ethereum
2023-01-14,320247,Polygon
