Date,Values,Blockchain
2023-07-24,142147,Arbitrum
2023-07-24,67657,Avalanche
2023-07-24,305127,Ethereum
2023-07-24,85415,Optimism
2023-07-24,325287,Polygon
2023-07-23,141312,Arbitrum
2023-07-23,65038,Avalanche
2023-07-23,295105,Ethereum
2023-07-23,83507,Optimism
2023-07-23,295243,Polygon
2023-07-22,145008,Arbitrum
2023-07-22,69619,Avalanche
2023-07-22,292841,Ethereum
2023-07-22,91054,Optimism
2023-07-22,319806,Polygon
2023-07-21,153549,Arbitrum
2023-07-21,68374,Avalanche
2023-07-21,329537,Ethereum
2023-07-21,81407,Optimism
2023-07-21,314713,Polygon
2023-07-20,150065,Arbitrum
2023-07-20,70152,Avalanche
2023-07-20,305902,Ethereum
2023-07-20,92101,Optimism
2023-07-20,295090,Polygon
2023-07-19,150175,Arbitrum
2023-07-19,69925,Avalanche
2023-07-19,340267,Ethereum
2023-07-19,84555,Optimism
2023-07-19,296548,Polygon
2023-07-18,144156,Arbitrum
2023-07-18,66885,Avalanche
2023-07-18,367731,Ethereum
2023-07-18,88212,Optimism
2023-07-18,284800,Polygon
2023-07-17,156862,Arbitrum
2023-07-17,72724,Avalanche
2023-07-17,289810,Ethereum
2023-07-17,83699,Optimism
2023-07-17,318181,Polygon
2023-07-16,144294,Arbitrum
2023-07-16,72113,Avalanche
2023-07-16,276303,Ethereum
2023-07-16,83554,Optimism
2023-07-16,278717,Polygon
2023-07-15,159448,Arbitrum
2023-07-15,69582,Avalanche
2023-07-15,304139,Ethereum
2023-07-15,97022,Optimism
2023-07-15,277718,Polygon
2023-07-14,161434,Arbitrum
2023-07-14,75078,Avalanche
2023-07-14,371186,Ethereum
2023-07-14,95250,Optimism
2023-07-14,321813,Polygon
2023-07-13,150546,Arbitrum
2023-07-13,70481,Avalanche
2023-07-13,334885,Ethereum
2023-07-13,89525,Optimism
2023-07-13,313333,Polygon
2023-07-12,147075,Arbitrum
2023-07-12,69250,Avalanche
2023-07-12,315962,Ethereum
2023-07-12,80529,Optimism
2023-07-12,290857,Polygon
2023-07-11,152276,Arbitrum
2023-07-11,72121,Avalanche
2023-07-11,359094,Ethereum
2023-07-11,84931,Optimism
2023-07-11,285914,Polygon
2023-07-10,148955,Arbitrum
2023-07-10,68203,Avalanche
2023-07-10,348695,Ethereum
2023-07-10,73905,Optimism
2023-07-10,278830,Polygon
2023-07-09,142176,Arbitrum
2023-07-09,67285,Avalanche
2023-07-09,282019,Ethereum
2023-07-09,71614,Optimism
2023-07-09,253901,Polygon
2023-07-08,147401,Arbitrum
2023-07-08,70448,Avalanche
2023-07-08,288497,Ethereum
2023-07-08,79534,Optimism
2023-07-08,250655,Polygon
2023-07-07,136057,Arbitrum
2023-07-07,66402,Avalanche
2023-07-07,286167,Ethereum
2023-07-07,62974,Optimism
2023-07-07,251027,Polygon
2023-07-06,137992,Arbitrum
2023-07-06,62232,Avalanche
2023-07-06,261495,Ethereum
2023-07-06,70630,Optimism
2023-07-06,262391,Polygon
2023-07-05,131125,Arbitrum
2023-07-05,58387,Avalanche
2023-07-05,229934,Ethereum
2023-07-05,57959,Optimism
2023-07-05,245298,Polygon
2023-07-04,160868,Arbitrum
2023-07-04,66889,Avalanche
2023-07-04,285858,Ethereum
2023-07-04,79052,Optimism
2023-07-04,273962,Polygon
2023-07-03,163811,Arbitrum
2023-07-03,72846,Avalanche
2023-07-03,332032,Ethereum
2023-07-03,80214,Optimism
2023-07-03,272541,Polygon
2023-07-02,149680,Arbitrum
2023-07-02,68079,Avalanche
2023-07-02,292916,Ethereum
2023-07-02,71684,Optimism
2023-07-02,271193,Polygon
2023-07-01,148671,Arbitrum
2023-07-01,68427,Avalanche
2023-07-01,316125,Ethereum
2023-07-01,67019,Optimism
2023-07-01,284755,Polygon
2023-06-30,182631,Arbitrum
2023-06-30,71326,Avalanche
2023-06-30,377830,Ethereum
2023-06-30,82877,Optimism
2023-06-30,312826,Polygon
2023-06-29,182440,Arbitrum
2023-06-29,72015,Avalanche
2023-06-29,304199,Ethereum
2023-06-29,85075,Optimism
2023-06-29,285913,Polygon
2023-06-28,159137,Arbitrum
2023-06-28,79084,Avalanche
2023-06-28,348654,Ethereum
2023-06-28,81234,Optimism
2023-06-28,272176,Polygon
2023-06-27,176974,Arbitrum
2023-06-27,71720,Avalanche
2023-06-27,330605,Ethereum
2023-06-27,76491,Optimism
2023-06-27,267469,Polygon
2023-06-26,163098,Arbitrum
2023-06-26,69233,Avalanche
2023-06-26,320016,Ethereum
2023-06-26,75249,Optimism
2023-06-26,268272,Polygon
2023-06-25,150332,Arbitrum
2023-06-25,67331,Avalanche
2023-06-25,287984,Ethereum
2023-06-25,71519,Optimism
2023-06-25,257118,Polygon
2023-06-24,137724,Arbitrum
2023-06-24,66906,Avalanche
2023-06-24,299250,Ethereum
2023-06-24,64736,Optimism
2023-06-24,246464,Polygon
2023-06-23,141376,Arbitrum
2023-06-23,69545,Avalanche
2023-06-23,362998,Ethereum
2023-06-23,82195,Optimism
2023-06-23,265427,Polygon
2023-06-22,151991,Arbitrum
2023-06-22,70131,Avalanche
2023-06-22,329978,Ethereum
2023-06-22,78593,Optimism
2023-06-22,279315,Polygon
2023-06-21,163396,Arbitrum
2023-06-21,76128,Avalanche
2023-06-21,368876,Ethereum
2023-06-21,70974,Optimism
2023-06-21,282156,Polygon
2023-06-20,161985,Arbitrum
2023-06-20,72125,Avalanche
2023-06-20,314800,Ethereum
2023-06-20,69173,Optimism
2023-06-20,286643,Polygon
2023-06-19,158443,Arbitrum
2023-06-19,71839,Avalanche
2023-06-19,352906,Ethereum
2023-06-19,65585,Optimism
2023-06-19,257007,Polygon
2023-06-18,138094,Arbitrum
2023-06-18,63471,Avalanche
2023-06-18,349776,Ethereum
2023-06-18,59266,Optimism
2023-06-18,226704,Polygon
2023-06-17,157391,Arbitrum
2023-06-17,64310,Avalanche
2023-06-17,353226,Ethereum
2023-06-17,65500,Optimism
2023-06-17,244068,Polygon
2023-06-16,159429,Arbitrum
2023-06-16,66033,Avalanche
2023-06-16,400664,Ethereum
2023-06-16,75817,Optimism
2023-06-16,266867,Polygon
2023-06-15,170335,Arbitrum
2023-06-15,79004,Avalanche
2023-06-15,393188,Ethereum
2023-06-15,79981,Optimism
2023-06-15,289585,Polygon
2023-06-14,162434,Arbitrum
2023-06-14,80811,Avalanche
2023-06-14,356094,Ethereum
2023-06-14,86860,Optimism
2023-06-14,298217,Polygon
2023-06-13,157800,Arbitrum
2023-06-13,68439,Avalanche
2023-06-13,325624,Ethereum
2023-06-13,63344,Optimism
2023-06-13,282769,Polygon
2023-06-12,173760,Arbitrum
2023-06-12,73683,Avalanche
2023-06-12,332648,Ethereum
2023-06-12,62026,Optimism
2023-06-12,288589,Polygon
2023-06-11,148320,Arbitrum
2023-06-11,65889,Avalanche
2023-06-11,472616,Ethereum
2023-06-11,60507,Optimism
2023-06-11,226464,Polygon
2023-06-10,151746,Arbitrum
2023-06-10,66533,Avalanche
2023-06-10,427592,Ethereum
2023-06-10,59001,Optimism
2023-06-10,262031,Polygon
2023-06-09,146482,Arbitrum
2023-06-09,68343,Avalanche
2023-06-09,332508,Ethereum
2023-06-09,75078,Optimism
2023-06-09,273230,Polygon
2023-06-08,140150,Arbitrum
2023-06-08,64699,Avalanche
2023-06-08,319024,Ethereum
2023-06-08,64094,Optimism
2023-06-08,252206,Polygon
2023-06-07,136608,Arbitrum
2023-06-07,64147,Avalanche
2023-06-07,368828,Ethereum
2023-06-07,61937,Optimism
2023-06-07,260844,Polygon
2023-06-06,189536,Arbitrum
2023-06-06,70011,Avalanche
2023-06-06,354995,Ethereum
2023-06-06,48749,Optimism
2023-06-06,274569,Polygon
2023-06-05,171971,Arbitrum
2023-06-05,74388,Avalanche
2023-06-05,384145,Ethereum
2023-06-05,84083,Optimism
2023-06-05,255152,Polygon
2023-06-04,192084,Arbitrum
2023-06-04,67316,Avalanche
2023-06-04,312428,Ethereum
2023-06-04,63220,Optimism
2023-06-04,239402,Polygon
2023-06-03,177361,Arbitrum
2023-06-03,67072,Avalanche
2023-06-03,318914,Ethereum
2023-06-03,63224,Optimism
2023-06-03,251710,Polygon
2023-06-02,194035,Arbitrum
2023-06-02,65362,Avalanche
2023-06-02,339595,Ethereum
2023-06-02,58596,Optimism
2023-06-02,261383,Polygon
2023-06-01,155286,Arbitrum
2023-06-01,70440,Avalanche
2023-06-01,314846,Ethereum
2023-06-01,50504,Optimism
2023-06-01,282955,Polygon
2023-05-31,188181,Arbitrum
2023-05-31,86020,Avalanche
2023-05-31,361331,Ethereum
2023-05-31,61684,Optimism
2023-05-31,263573,Polygon
2023-05-30,256835,Arbitrum
2023-05-30,77132,Avalanche
2023-05-30,367106,Ethereum
2023-05-30,54379,Optimism
2023-05-30,277850,Polygon
2023-05-29,172776,Arbitrum
2023-05-29,74052,Avalanche
2023-05-29,325597,Ethereum
2023-05-29,55280,Optimism
2023-05-29,282929,Polygon
2023-05-28,163660,Arbitrum
2023-05-28,67736,Avalanche
2023-05-28,287714,Ethereum
2023-05-28,55782,Optimism
2023-05-28,241509,Polygon
2023-05-27,174234,Arbitrum
2023-05-27,68928,Avalanche
2023-05-27,320378,Ethereum
2023-05-27,62057,Optimism
2023-05-27,264633,Polygon
2023-05-26,200830,Arbitrum
2023-05-26,72213,Avalanche
2023-05-26,332408,Ethereum
2023-05-26,65126,Optimism
2023-05-26,267685,Polygon
2023-05-25,215085,Arbitrum
2023-05-25,74744,Avalanche
2023-05-25,327542,Ethereum
2023-05-25,81221,Optimism
2023-05-25,267785,Polygon
2023-05-24,177778,Arbitrum
2023-05-24,72910,Avalanche
2023-05-24,321417,Ethereum
2023-05-24,60267,Optimism
2023-05-24,264524,Polygon
2023-05-23,173598,Arbitrum
2023-05-23,66766,Avalanche
2023-05-23,325899,Ethereum
2023-05-23,54311,Optimism
2023-05-23,244616,Polygon
2023-05-22,159352,Arbitrum
2023-05-22,58869,Avalanche
2023-05-22,312246,Ethereum
2023-05-22,45361,Optimism
2023-05-22,219130,Polygon
2023-05-21,154561,Arbitrum
2023-05-21,53573,Avalanche
2023-05-21,307130,Ethereum
2023-05-21,53930,Optimism
2023-05-21,211074,Polygon
2023-05-20,154435,Arbitrum
2023-05-20,63735,Avalanche
2023-05-20,302183,Ethereum
2023-05-20,44295,Optimism
2023-05-20,217657,Polygon
2023-05-19,164071,Arbitrum
2023-05-19,56673,Avalanche
2023-05-19,324814,Ethereum
2023-05-19,46030,Optimism
2023-05-19,228593,Polygon
2023-05-18,156785,Arbitrum
2023-05-18,53254,Avalanche
2023-05-18,316875,Ethereum
2023-05-18,60582,Optimism
2023-05-18,232913,Polygon
2023-05-17,180923,Arbitrum
2023-05-17,54646,Avalanche
2023-05-17,320311,Ethereum
2023-05-17,53531,Optimism
2023-05-17,244461,Polygon
2023-05-16,206792,Arbitrum
2023-05-16,52431,Avalanche
2023-05-16,321037,Ethereum
2023-05-16,54710,Optimism
2023-05-16,233355,Polygon
2023-05-15,311495,Arbitrum
2023-05-15,51793,Avalanche
2023-05-15,314203,Ethereum
2023-05-15,45197,Optimism
2023-05-15,200815,Polygon
2023-05-14,178252,Arbitrum
2023-05-14,52804,Avalanche
2023-05-14,303031,Ethereum
2023-05-14,44438,Optimism
2023-05-14,175079,Polygon
2023-05-13,203786,Arbitrum
2023-05-13,46644,Avalanche
2023-05-13,323527,Ethereum
2023-05-13,48343,Optimism
2023-05-13,208189,Polygon
2023-05-12,190106,Arbitrum
2023-05-12,48414,Avalanche
2023-05-12,332335,Ethereum
2023-05-12,50654,Optimism
2023-05-12,217801,Polygon
2023-05-11,238315,Arbitrum
2023-05-11,44120,Avalanche
2023-05-11,299425,Ethereum
2023-05-11,38463,Optimism
2023-05-11,242317,Polygon
2023-05-10,201724,Arbitrum
