Date,Values,Blockchain
2023-08-24,371903,Arbitrum
2023-08-24,133086,Avalanche
2023-08-24,794383,Ethereum
2023-08-24,405551,NEAR
2023-08-24,255145,Optimism
2023-08-24,828716,Polygon
2023-08-23,427722,Arbitrum
2023-08-23,131866,Avalanche
2023-08-23,809051,Ethereum
2023-08-23,279533,NEAR
2023-08-23,290348,Optimism
2023-08-23,842001,Polygon
2023-08-22,396824,Arbitrum
2023-08-22,127750,Avalanche
2023-08-22,830829,Ethereum
2023-08-22,273451,NEAR
2023-08-22,269365,Optimism
2023-08-22,845390,Polygon
2023-08-21,378199,Arbitrum
2023-08-21,124623,Avalanche
2023-08-21,803988,Ethereum
2023-08-21,216725,NEAR
2023-08-21,269865,Optimism
2023-08-21,850216,Polygon
2023-08-20,372841,Arbitrum
2023-08-20,112377,Avalanche
2023-08-20,739238,Ethereum
2023-08-20,195138,NEAR
2023-08-20,238758,Optimism
2023-08-20,769821,Polygon
2023-08-19,437275,Arbitrum
2023-08-19,126847,Avalanche
2023-08-19,808941,Ethereum
2023-08-19,271388,NEAR
2023-08-19,262352,Optimism
2023-08-19,832118,Polygon
2023-08-18,463789,Arbitrum
2023-08-18,155670,Avalanche
2023-08-18,887899,Ethereum
2023-08-18,323107,NEAR
2023-08-18,286754,Optimism
2023-08-18,945899,Polygon
2023-08-17,671991,Arbitrum
2023-08-17,157660,Avalanche
2023-08-17,863935,Ethereum
2023-08-17,238797,NEAR
2023-08-17,355162,Optimism
2023-08-17,977063,Polygon
2023-08-16,407670,Arbitrum
2023-08-16,150764,Avalanche
2023-08-16,858767,Ethereum
2023-08-16,226083,NEAR
2023-08-16,441608,Optimism
2023-08-16,924467,Polygon
2023-08-15,392664,Arbitrum
2023-08-15,134296,Avalanche
2023-08-15,859023,Ethereum
2023-08-15,236566,NEAR
2023-08-15,682861,Optimism
2023-08-15,951075,Polygon
2023-08-14,387591,Arbitrum
2023-08-14,139860,Avalanche
2023-08-14,809967,Ethereum
2023-08-14,211920,NEAR
2023-08-14,450143,Optimism
2023-08-14,930325,Polygon
2023-08-13,367427,Arbitrum
2023-08-13,138205,Avalanche
2023-08-13,726444,Ethereum
2023-08-13,217248,NEAR
2023-08-13,248044,Optimism
2023-08-13,885412,Polygon
2023-08-12,333478,Arbitrum
2023-08-12,137730,Avalanche
2023-08-12,757024,Ethereum
2023-08-12,200944,NEAR
2023-08-12,253972,Optimism
2023-08-12,867098,Polygon
2023-08-11,386847,Arbitrum
2023-08-11,149943,Avalanche
2023-08-11,818026,Ethereum
2023-08-11,292195,NEAR
2023-08-11,324703,Optimism
2023-08-11,956394,Polygon
2023-08-10,408525,Arbitrum
2023-08-10,161663,Avalanche
2023-08-10,832202,Ethereum
2023-08-10,206679,NEAR
2023-08-10,379457,Optimism
2023-08-10,960938,Polygon
2023-08-09,417836,Arbitrum
2023-08-09,159140,Avalanche
2023-08-09,878968,Ethereum
2023-08-09,222327,NEAR
2023-08-09,403380,Optimism
2023-08-09,984060,Polygon
2023-08-08,414507,Arbitrum
2023-08-08,167804,Avalanche
2023-08-08,834432,Ethereum
2023-08-08,237414,NEAR
2023-08-08,647528,Optimism
2023-08-08,1012176,Polygon
2023-08-07,397512,Arbitrum
