Date,Blockchain,Values
2023-05-03,Arbitrum,1382979
2023-05-02,Arbitrum,1411403
2023-05-03,Avalanche,314031
2023-05-02,Avalanche,290393
2023-05-03,Ethereum,1117146
2023-05-02,Ethereum,1127069
2023-05-03,Optimism,282669
2023-05-02,Optimism,162914
2023-05-03,Polygon,2190777
2023-05-02,Polygon,2223702
2023-05-01,Avalanche,317649
2023-04-30,Avalanche,325173
2023-04-29,Avalanche,300859
2023-04-28,Avalanche,347414
2023-04-27,Avalanche,344021
2023-04-26,Avalanche,373612
2023-04-25,Avalanche,353946
2023-04-24,Avalanche,319128
2023-04-23,Avalanche,307503
2023-04-22,Avalanche,299880
2023-04-21,Avalanche,317830
2023-04-20,Avalanche,328364
2023-04-19,Avalanche,348108
2023-04-18,Avalanche,406778
2023-04-17,Avalanche,369152
2023-04-16,Avalanche,345641
2023-04-15,Avalanche,387874
2023-04-14,Avalanche,424669
2023-04-13,Avalanche,414745
2023-04-12,Avalanche,432354
2023-04-11,Avalanche,368280
2023-04-10,Avalanche,360326
2023-04-09,Avalanche,338164
2023-04-08,Avalanche,286882
2023-04-07,Avalanche,282394
2023-04-06,Avalanche,303880
2023-04-05,Avalanche,248041
2023-04-04,Avalanche,199183
2023-04-03,Avalanche,228427
2023-04-02,Avalanche,189237
2023-04-01,Avalanche,199393
2023-03-31,Avalanche,236821
2023-03-30,Avalanche,248351
2023-03-29,Avalanche,177447
2023-03-28,Avalanche,190182
2023-03-27,Avalanche,182507
2023-03-26,Avalanche,143033
2023-03-25,Avalanche,133159
2023-03-24,Avalanche,151558
2023-03-23,Avalanche,132723
2023-03-22,Avalanche,156353
2023-03-21,Avalanche,166337
2023-03-20,Avalanche,158292
2023-03-19,Avalanche,167488
2023-03-18,Avalanche,186046
2023-03-17,Avalanche,147168
2023-03-16,Avalanche,129430
2023-03-15,Avalanche,145009
2023-03-14,Avalanche,163924
2023-03-13,Avalanche,160630
2023-03-12,Avalanche,144980
2023-03-11,Avalanche,288899
2023-03-10,Avalanche,164972
2023-03-09,Avalanche,131630
2023-03-08,Avalanche,120253
2023-03-07,Avalanche,113932
2023-03-06,Avalanche,106714
2023-03-05,Avalanche,97165
2023-03-04,Avalanche,90235
2023-03-03,Avalanche,136841
2023-03-02,Avalanche,97817
2023-03-01,Avalanche,104923
2023-02-28,Avalanche,107154
2023-02-27,Avalanche,133346
2023-02-26,Avalanche,114291
2023-02-25,Avalanche,132691
2023-02-24,Avalanche,147946
2023-02-23,Avalanche,169640
2023-02-22,Avalanche,204221
2023-02-21,Avalanche,163079
