Date,Values,Blockchain
2024-01-03,95.5522,Aptos
2024-01-03,92.2487,Arbitrum
2024-01-03,95.3305,Avalanche
2024-01-03,99.5337,Axelar
2024-01-03,92.94,BSC
2024-01-03,97.5727,Base
2024-01-03,98.2479,Ethereum
2024-01-03,96.2642,Flow
2024-01-03,97.4344,Gnosis
2024-01-03,98.3967,NEAR
2024-01-03,94.2057,Optimism
2024-01-03,91.2517,Osmosis
2024-01-03,93.1138,Polygon
2024-01-03,97.9185,Sei
2024-01-03,43.7422,Solana
2024-01-02,96.0588,Aptos
2024-01-02,95.7217,Arbitrum
2024-01-02,96.4784,Avalanche
2024-01-02,99.2767,Axelar
2024-01-02,94.3207,BSC
2024-01-02,97.9846,Base
2024-01-02,98.259,Ethereum
2024-01-02,95.5371,Flow
2024-01-02,98.6382,Gnosis
2024-01-02,98.6206,NEAR
2024-01-02,95.9735,Optimism
2024-01-02,92.5485,Osmosis
2024-01-02,93.3945,Polygon
2024-01-02,97.9563,Sei
2024-01-02,41.8021,Solana
2024-01-01,96.4141,Aptos
2024-01-01,97.2973,Arbitrum
2024-01-01,98.807,Avalanche
2024-01-01,99.4575,Axelar
2024-01-01,91.8271,BSC
2024-01-01,98.7186,Base
2024-01-01,98.1367,Ethereum
2024-01-01,94.4577,Flow
2024-01-01,98.8963,Gnosis
2024-01-01,99.1795,NEAR
2024-01-01,96.4983,Optimism
2024-01-01,92.2452,Osmosis
2024-01-01,93.3466,Polygon
2024-01-01,98.122,Sei
2024-01-01,42.1515,Solana
2023-12-31,96.4271,Aptos
2023-12-31,96.4542,Arbitrum
2023-12-31,96.7711,Avalanche
2023-12-31,99.4378,Axelar
2023-12-31,94.6963,BSC
2023-12-31,98.4229,Base
2023-12-31,98.4366,Ethereum
2023-12-31,95.6554,Flow
2023-12-31,99.393,Gnosis
2023-12-31,98.7988,NEAR
2023-12-31,96.4168,Optimism
2023-12-31,93.4012,Osmosis
2023-12-31,94.1771,Polygon
2023-12-31,98.3131,Sei
2023-12-31,41.3585,Solana
2023-12-30,96.7057,Aptos
2023-12-30,97.6238,Arbitrum
2023-12-30,98.2045,Avalanche
2023-12-30,99.4585,Axelar
2023-12-30,96.2509,BSC
2023-12-30,98.1554,Base
2023-12-30,98.3465,Ethereum
2023-12-30,92.5077,Flow
2023-12-30,99.2217,Gnosis
2023-12-30,98.9289,NEAR
2023-12-30,96.5293,Optimism
2023-12-30,91.8173,Osmosis
2023-12-30,96.0025,Polygon
2023-12-30,98.2989,Sei
2023-12-30,40.8088,Solana
2023-12-29,93.7071,Aptos
2023-12-29,96.0603,Arbitrum
2023-12-29,97.8125,Avalanche
2023-12-29,99.6167,Axelar
2023-12-29,96.3937,BSC
2023-12-29,97.7161,Base
2023-12-29,98.0796,Ethereum
2023-12-29,94.2303,Flow
2023-12-29,98.6464,Gnosis
2023-12-29,99.6122,NEAR
2023-12-29,95.7174,Optimism
2023-12-29,89.3235,Osmosis
