Date,Values,Blockchain
2023-05-05,1315822,Arbitrum
2023-05-05,293573,Avalanche
2023-05-05,4330868,BSC
2023-05-05,1208548,Ethereum
2023-05-05,54250,Gnosis
2023-05-05,312945,NEAR
2023-05-05,148306,Optimism
2023-05-05,2065108,Polygon
2023-05-04,1274389,Arbitrum
2023-05-04,311540,Avalanche
2023-05-04,4023071,BSC
2023-05-04,1110210,Ethereum
2023-05-04,40628,Gnosis
2023-05-04,304392,NEAR
2023-05-04,209313,Optimism
2023-05-04,2013939,Polygon
2023-05-03,1382979,Arbitrum
2023-05-03,314031,Avalanche
2023-05-03,4013928,BSC
2023-05-03,1117146,Ethereum
2023-05-03,49924,Gnosis
2023-05-03,341160,NEAR
2023-05-03,282669,Optimism
2023-05-03,2190777,Polygon
2023-05-02,1411403,Arbitrum
2023-05-02,290393,Avalanche
2023-05-02,4034134,BSC
2023-05-02,1127069,Ethereum
2023-05-02,57025,Gnosis
2023-05-02,332354,NEAR
2023-05-02,162914,Optimism
2023-05-02,2223702,Polygon
2023-05-01,1358817,Arbitrum
2023-05-01,317649,Avalanche
2023-05-01,4015345,BSC
2023-05-01,1102060,Ethereum
2023-05-01,62492,Gnosis
2023-05-01,287698,NEAR
2023-05-01,170717,Optimism
2023-05-01,2171887,Polygon
2023-04-30,1597104,Arbitrum
2023-04-30,325173,Avalanche
2023-04-30,3882455,BSC
2023-04-30,974972,Ethereum
2023-04-30,52237,Gnosis
2023-04-30,275414,NEAR
2023-04-30,239690,Optimism
2023-04-30,2009469,Polygon
2023-04-29,1248571,Arbitrum
2023-04-29,300859,Avalanche
2023-04-29,3809169,BSC
2023-04-29,887098,Ethereum
2023-04-29,30261,Gnosis
2023-04-29,278373,NEAR
2023-04-29,244483,Optimism
2023-04-29,1929700,Polygon
2023-04-28,1240232,Arbitrum
2023-04-28,347414,Avalanche
2023-04-28,4236378,BSC
2023-04-28,987649,Ethereum
2023-04-28,56416,Gnosis
2023-04-28,306745,NEAR
2023-04-28,250759,Optimism
2023-04-28,2091656,Polygon
2023-04-27,1602340,Arbitrum
2023-04-27,344021,Avalanche
2023-04-27,4353063,BSC
2023-04-27,939262,Ethereum
2023-04-27,44375,Gnosis
2023-04-27,527690,NEAR
2023-04-27,286836,Optimism
2023-04-27,2179442,Polygon
2023-04-26,1562914,Arbitrum
2023-04-26,373612,Avalanche
2023-04-26,4083801,BSC
2023-04-26,978121,Ethereum
2023-04-26,53239,Gnosis
2023-04-26,331008,NEAR
2023-04-26,322778,Optimism
2023-04-26,2281807,Polygon
2023-04-25,1610221,Arbitrum
2023-04-25,353946,Avalanche
2023-04-25,4013359,BSC
2023-04-25,976311,Ethereum
2023-04-25,39082,Gnosis
2023-04-25,369439,NEAR
2023-04-25,299161,Optimism
2023-04-25,2374986,Polygon
2023-04-24,1660078,Arbitrum
2023-04-24,319128,Avalanche
2023-04-24,3816673,BSC
2023-04-24,940804,Ethereum
2023-04-24,48436,Gnosis
2023-04-24,345961,NEAR
2023-04-24,291431,Optimism
2023-04-24,2270588,Polygon
2023-04-23,1608523,Arbitrum
2023-04-23,307503,Avalanche
2023-04-23,3392609,BSC
2023-04-23,867666,Ethereum
2023-04-23,49066,Gnosis
2023-04-23,296306,NEAR
2023-04-23,318794,Optimism
2023-04-23,2037579,Polygon
2023-04-22,1731614,Arbitrum
2023-04-22,299880,Avalanche
2023-04-22,3405626,BSC
2023-04-22,862010,Ethereum
2023-04-22,117191,Gnosis
2023-04-22,325348,NEAR
2023-04-22,319998,Optimism
2023-04-22,2127053,Polygon
2023-04-21,1447565,Arbitrum
2023-04-21,317830,Avalanche
2023-04-21,3878488,BSC
2023-04-21,1009840,Ethereum
2023-04-21,56321,Gnosis
2023-04-21,418872,NEAR
2023-04-21,337775,Optimism
2023-04-21,2393755,Polygon
2023-04-20,1806067,Arbitrum
2023-04-20,328364,Avalanche
2023-04-20,3908852,BSC
2023-04-20,1073576,Ethereum
2023-04-20,52356,Gnosis
2023-04-20,343942,NEAR
2023-04-20,297362,Optimism
2023-04-20,2325557,Polygon
2023-04-19,1920827,Arbitrum
2023-04-19,348108,Avalanche
2023-04-19,3938732,BSC
2023-04-19,1085066,Ethereum
2023-04-19,51525,Gnosis
2023-04-19,386966,NEAR
2023-04-19,351500,Optimism
2023-04-19,2317793,Polygon
2023-04-18,1720218,Arbitrum
2023-04-18,406778,Avalanche
2023-04-18,3959179,BSC
2023-04-18,1070108,Ethereum
2023-04-18,44248,Gnosis
2023-04-18,526227,NEAR
2023-04-18,343260,Optimism
2023-04-18,2480374,Polygon
2023-04-17,2287339,Arbitrum
2023-04-17,369152,Avalanche
2023-04-17,3832532,BSC
2023-04-17,1011979,Ethereum
2023-04-17,48360,Gnosis
2023-04-17,352715,NEAR
2023-04-17,387682,Optimism
2023-04-17,2430004,Polygon
2023-04-16,1455264,Arbitrum
2023-04-16,345641,Avalanche
2023-04-16,3469548,BSC
2023-04-16,854249,Ethereum
2023-04-16,43448,Gnosis
2023-04-16,321116,NEAR
2023-04-16,402284,Optimism
2023-04-16,2328386,Polygon
2023-04-15,1676630,Arbitrum
2023-04-15,387874,Avalanche
2023-04-15,3422823,BSC
2023-04-15,1056292,Ethereum
2023-04-15,44007,Gnosis
2023-04-15,349790,NEAR
2023-04-15,418906,Optimism
2023-04-15,2380927,Polygon
2023-04-14,1673122,Arbitrum
2023-04-14,424669,Avalanche
2023-04-14,3766108,BSC
2023-04-14,1166392,Ethereum
2023-04-14,70666,Gnosis
2023-04-14,389421,NEAR
2023-04-14,437939,Optimism
2023-04-14,2660322,Polygon
2023-04-13,1378816,Arbitrum
2023-04-13,414745,Avalanche
2023-04-13,3671020,BSC
2023-04-13,1094764,Ethereum
2023-04-13,57599,Gnosis
2023-04-13,379383,NEAR
2023-04-13,393835,Optimism
2023-04-13,2614983,Polygon
2023-04-12,1412174,Arbitrum
2023-04-12,432354,Avalanche
2023-04-12,3572538,BSC
2023-04-12,1021632,Ethereum
2023-04-12,58213,Gnosis
2023-04-12,437346,NEAR
2023-04-12,455899,Optimism
2023-04-12,2747650,Polygon
2023-04-11,1396352,Arbitrum
2023-04-11,368280,Avalanche
2023-04-11,3731882,BSC
2023-04-11,1084502,Ethereum
2023-04-11,49149,Gnosis
2023-04-11,512479,NEAR
2023-04-11,427368,Optimism
2023-04-11,2808157,Polygon
2023-04-10,1412938,Arbitrum
2023-04-10,360326,Avalanche
2023-04-10,3679265,BSC
2023-04-10,1016480,Ethereum
2023-04-10,58228,Gnosis
2023-04-10,372468,NEAR
2023-04-10,440560,Optimism
2023-04-10,2819758,Polygon
2023-04-09,1501549,Arbitrum
2023-04-09,338164,Avalanche
2023-04-09,3317665,BSC
2023-04-09,956899,Ethereum
2023-04-09,50008,Gnosis
2023-04-09,344744,NEAR
2023-04-09,475476,Optimism
2023-04-09,2821717,Polygon
2023-04-08,1329329,Arbitrum
2023-04-08,286882,Avalanche
2023-04-08,3284574,BSC
2023-04-08,924776,Ethereum
2023-04-08,38950,Gnosis
2023-04-08,343193,NEAR
2023-04-08,416424,Optimism
2023-04-08,2805816,Polygon
2023-04-07,1299360,Arbitrum
2023-04-07,282394,Avalanche
2023-04-07,3538894,BSC
2023-04-07,1043552,Ethereum
2023-04-07,48320,Gnosis
2023-04-07,383022,NEAR
2023-04-07,373135,Optimism
2023-04-07,2880899,Polygon
2023-04-06,1488821,Arbitrum
2023-04-06,303880,Avalanche
2023-04-06,3708887,BSC
2023-04-06,1036898,Ethereum
2023-04-06,39774,Gnosis
2023-04-06,499309,NEAR
2023-04-06,457129,Optimism
2023-04-06,3001630,Polygon
2023-04-05,1431841,Arbitrum
2023-04-05,248041,Avalanche
2023-04-05,3623669,BSC
2023-04-05,1123693,Ethereum
2023-04-05,43156,Gnosis
2023-04-05,469281,NEAR
2023-04-05,342582,Optimism
2023-04-05,2952508,Polygon
2023-04-04,1348899,Arbitrum
2023-04-04,199183,Avalanche
2023-04-04,3549566,BSC
2023-04-04,1068725,Ethereum
2023-04-04,38511,Gnosis
2023-04-04,650326,NEAR
2023-04-04,296560,Optimism
2023-04-04,2942514,Polygon
2023-04-03,1626408,Arbitrum
2023-04-03,228427,Avalanche
2023-04-03,3758363,BSC
2023-04-03,1052294,Ethereum
2023-04-03,38008,Gnosis
2023-04-03,395056,NEAR
2023-04-03,261169,Optimism
2023-04-03,2909028,Polygon
2023-04-02,1315024,Arbitrum
2023-04-02,189237,Avalanche
2023-04-02,3246556,BSC
2023-04-02,981226,Ethereum
2023-04-02,31532,Gnosis
2023-04-02,321561,NEAR
2023-04-02,232678,Optimism
2023-04-02,2677577,Polygon
2023-04-01,1205832,Arbitrum
2023-04-01,199393,Avalanche
2023-04-01,3385802,BSC
2023-04-01,1020143,Ethereum
2023-04-01,35449,Gnosis
2023-04-01,314210,NEAR
2023-04-01,215826,Optimism
2023-04-01,2843188,Polygon
2023-03-31,1348850,Arbitrum
2023-03-31,236821,Avalanche
2023-03-31,3652973,BSC
2023-03-31,1150727,Ethereum
2023-03-31,57172,Gnosis
2023-03-31,325208,NEAR
2023-03-31,280496,Optimism
2023-03-31,3125348,Polygon
2023-03-30,1831549,Arbitrum
2023-03-30,248351,Avalanche
2023-03-30,3603091,BSC
2023-03-30,1187924,Ethereum
2023-03-30,44175,Gnosis
2023-03-30,332359,NEAR
2023-03-30,287973,Optimism
2023-03-30,2943481,Polygon
2023-03-29,1359162,Arbitrum
2023-03-29,177447,Avalanche
2023-03-29,3898284,BSC
2023-03-29,1165012,Ethereum
2023-03-29,38695,Gnosis
2023-03-29,336941,NEAR
2023-03-29,251284,Optimism
2023-03-29,2888668,Polygon
2023-03-28,1406401,Arbitrum
2023-03-28,190182,Avalanche
2023-03-28,3890700,BSC
2023-03-28,1149677,Ethereum
2023-03-28,41994,Gnosis
2023-03-28,403704,NEAR
2023-03-28,277360,Optimism
2023-03-28,3026207,Polygon
2023-03-27,1519307,Arbitrum
2023-03-27,182507,Avalanche
2023-03-27,3616771,BSC
2023-03-27,1100122,Ethereum
2023-03-27,40416,Gnosis
2023-03-27,328732,NEAR
2023-03-27,238489,Optimism
2023-03-27,2894055,Polygon
2023-03-26,1392937,Arbitrum
2023-03-26,143033,Avalanche
2023-03-26,3366014,BSC
2023-03-26,1011463,Ethereum
2023-03-26,37752,Gnosis
2023-03-26,288273,NEAR
2023-03-26,218830,Optimism
2023-03-26,2732499,Polygon
2023-03-25,1459334,Arbitrum
2023-03-25,133159,Avalanche
2023-03-25,3260593,BSC
2023-03-25,1052415,Ethereum
2023-03-25,37129,Gnosis
2023-03-25,305528,NEAR
2023-03-25,208785,Optimism
2023-03-25,2890190,Polygon
2023-03-24,2172367,Arbitrum
2023-03-24,151558,Avalanche
2023-03-24,3617025,BSC
2023-03-24,1084231,Ethereum
2023-03-24,46364,Gnosis
2023-03-24,339197,NEAR
2023-03-24,234153,Optimism
2023-03-24,2967317,Polygon
2023-03-23,3093127,Arbitrum
2023-03-23,132723,Avalanche
2023-03-23,3751941,BSC
2023-03-23,1077305,Ethereum
2023-03-23,51934,Gnosis
2023-03-23,484806,NEAR
2023-03-23,228684,Optimism
2023-03-23,2896643,Polygon
2023-03-22,1568250,Arbitrum
2023-03-22,156353,Avalanche
2023-03-22,4713138,BSC
2023-03-22,1073049,Ethereum
2023-03-22,56645,Gnosis
2023-03-22,345674,NEAR
2023-03-22,265773,Optimism
2023-03-22,2901463,Polygon
2023-03-21,1660413,Arbitrum
2023-03-21,166337,Avalanche
2023-03-21,3683806,BSC
2023-03-21,1081542,Ethereum
2023-03-21,64733,Gnosis
2023-03-21,351246,NEAR
2023-03-21,261385,Optimism
2023-03-21,2862932,Polygon
2023-03-20,1391840,Arbitrum
2023-03-20,158292,Avalanche
2023-03-20,3584970,BSC
2023-03-20,1123422,Ethereum
2023-03-20,61246,Gnosis
2023-03-20,359832,NEAR
2023-03-20,259759,Optimism
2023-03-20,3184176,Polygon
2023-03-19,1277077,Arbitrum
2023-03-19,167488,Avalanche
2023-03-19,3354080,BSC
2023-03-19,992358,Ethereum
2023-03-19,57070,Gnosis
2023-03-19,319645,NEAR
2023-03-19,235239,Optimism
2023-03-19,2912461,Polygon
2023-03-18,1300686,Arbitrum
2023-03-18,186046,Avalanche
2023-03-18,3407515,BSC
2023-03-18,1023641,Ethereum
2023-03-18,57878,Gnosis
2023-03-18,358843,NEAR
2023-03-18,249821,Optimism
2023-03-18,3005469,Polygon
2023-03-17,1341961,Arbitrum
2023-03-17,147168,Avalanche
2023-03-17,3754404,BSC
2023-03-17,1068367,Ethereum
2023-03-17,56311,Gnosis
2023-03-17,359379,NEAR
2023-03-17,253318,Optimism
2023-03-17,2998301,Polygon
2023-03-16,1419870,Arbitrum
2023-03-16,129430,Avalanche
2023-03-16,3818701,BSC
2023-03-16,1042763,Ethereum
2023-03-16,53912,Gnosis
2023-03-16,398354,NEAR
2023-03-16,267288,Optimism
2023-03-16,2816809,Polygon
2023-03-15,1115073,Arbitrum
2023-03-15,145009,Avalanche
2023-03-15,3718999,BSC
2023-03-15,1076742,Ethereum
2023-03-15,53446,Gnosis
2023-03-15,400079,NEAR
2023-03-15,307814,Optimism
2023-03-15,2799293,Polygon
2023-03-14,1111384,Arbitrum
2023-03-14,163924,Avalanche
2023-03-14,3667149,BSC
2023-03-14,1105574,Ethereum
2023-03-14,58710,Gnosis
2023-03-14,422479,NEAR
2023-03-14,271272,Optimism
2023-03-14,3003552,Polygon
2023-03-13,907923,Arbitrum
2023-03-13,160630,Avalanche
2023-03-13,3795376,BSC
2023-03-13,1173725,Ethereum
2023-03-13,70015,Gnosis
2023-03-13,400646,NEAR
2023-03-13,263892,Optimism
2023-03-13,2955020,Polygon
2023-03-12,813816,Arbitrum
2023-03-12,144980,Avalanche
2023-03-12,3393975,BSC
2023-03-12,974883,Ethereum
2023-03-12,61144,Gnosis
2023-03-12,357428,NEAR
2023-03-12,227099,Optimism
2023-03-12,2809389,Polygon
2023-03-11,917546,Arbitrum
2023-03-11,288899,Avalanche
2023-03-11,3725495,BSC
2023-03-11,1031282,Ethereum
2023-03-11,109110,Gnosis
2023-03-11,466208,NEAR
2023-03-11,235660,Optimism
2023-03-11,3244244,Polygon
2023-03-10,1072002,Arbitrum
2023-03-10,164972,Avalanche
2023-03-10,3871056,BSC
2023-03-10,1065950,Ethereum
2023-03-10,80366,Gnosis
2023-03-10,368528,NEAR
2023-03-10,278979,Optimism
2023-03-10,3042294,Polygon
2023-03-09,1071108,Arbitrum
