Date,Values,Blockchain
2023-10-13,8.276829,Arbitrum
2023-10-13,1.431539,Avalanche
2023-10-13,3.452269,Axelar
2023-10-13,33.857627,BSC
2023-10-13,4.154792,Base
2023-10-13,3.235162,Bitcoin
2023-10-13,11.658460999999999,Ethereum
2023-10-13,3.658495,Flow
2023-10-13,1.372326,Gnosis
2023-10-13,15.063414,NEAR
2023-10-13,3.093623,Optimism
2023-10-13,2.843252,Osmosis
2023-10-13,28.674155,Polygon
2023-10-13,45.771262,Sei
2023-10-13,280.525787,Solana
2023-10-12,9.150104,Arbitrum
2023-10-12,1.648819,Avalanche
2023-10-12,3.9334949999999997,Axelar
2023-10-12,34.984016,BSC
2023-10-12,4.704051,Base
2023-10-12,3.091319,Bitcoin
2023-10-12,11.621169,Ethereum
2023-10-12,4.826377,Flow
2023-10-12,1.370822,Gnosis
2023-10-12,15.11375,NEAR
2023-10-12,3.6181710000000002,Optimism
2023-10-12,2.66463,Osmosis
2023-10-12,30.010694,Polygon
2023-10-12,46.079606,Sei
2023-10-12,292.885718,Solana
2023-10-11,9.627917,Arbitrum
2023-10-11,1.590058,Avalanche
2023-10-11,4.719676,Axelar
2023-10-11,34.48603,BSC
2023-10-11,5.38103,Base
2023-10-11,3.0625,Bitcoin
2023-10-11,11.641528,Ethereum
2023-10-11,4.997986,Flow
2023-10-11,1.230729,Gnosis
2023-10-11,15.285926,NEAR
2023-10-11,3.463009,Optimism
2023-10-11,2.6030670000000002,Osmosis
2023-10-11,29.454803,Polygon
2023-10-11,46.925741,Sei
2023-10-11,335.69213,Solana
2023-10-10,12.378634,Arbitrum
2023-10-10,1.56831,Avalanche
2023-10-10,5.244491,Axelar
2023-10-10,34.90059,BSC
2023-10-10,6.751042,Base
2023-10-10,3.299306,Bitcoin
2023-10-10,11.64294,Ethereum
2023-10-10,5.081898,Flow
2023-10-10,1.26559,Gnosis
2023-10-10,15.163356,NEAR
2023-10-10,3.271505,Optimism
2023-10-10,3.666632,Osmosis
2023-10-10,24.51272,Polygon
2023-10-10,45.811701,Sei
2023-10-10,320.820463,Solana
2023-10-09,9.948148,Arbitrum
2023-10-09,1.5810879999999998,Avalanche
2023-10-09,3.507002,Axelar
2023-10-09,33.947824,BSC
2023-10-09,7.112512,Base
2023-10-09,3.282963,Bitcoin
2023-10-09,11.499757,Ethereum
2023-10-09,5.099942,Flow
2023-10-09,1.463762,Gnosis
2023-10-09,16.143356,NEAR
2023-10-09,3.371481,Optimism
2023-10-09,2.940856,Osmosis
2023-10-09,24.97941,Polygon
2023-10-09,45.310463,Sei
2023-10-09,321.554502,Solana
2023-10-08,8.981678,Arbitrum
2023-10-08,1.499537,Avalanche
2023-10-08,2.588889,Axelar
2023-10-08,31.394537,BSC
2023-10-08,6.367859,Base
2023-10-08,2.806019,Bitcoin
2023-10-08,10.699109,Ethereum
2023-10-08,5.36669,Flow
2023-10-08,1.514109,Gnosis
2023-10-08,15.278519,NEAR
2023-10-08,2.943762,Optimism
2023-10-08,2.813414,Osmosis
2023-10-08,23.580208,Polygon
2023-10-08,45.745417,Sei
2023-10-08,277.92066,Solana
2023-10-07,10.548449,Arbitrum
2023-10-07,2.91353,Avalanche
2023-10-07,2.571597,Axelar
2023-10-07,31.75625,BSC
2023-10-07,6.816528,Base
2023-10-07,2.830637,Bitcoin
2023-10-07,11.537118,Ethereum
2023-10-07,5.516736,Flow
2023-10-07,1.231273,Gnosis
2023-10-07,15.456644,NEAR
2023-10-07,3.037049,Optimism
2023-10-07,2.510231,Osmosis
2023-10-07,24.844074,Polygon
2023-10-07,47.761065,Sei
2023-10-07,269.950718,Solana
2023-10-06,11.973009,Arbitrum
2023-10-06,5.856921,Avalanche
2023-10-06,3.001586,Axelar
2023-10-06,33.151343,BSC
2023-10-06,7.146597,Base
2023-10-06,3.456597,Bitcoin
2023-10-06,11.499352,Ethereum
2023-10-06,5.9339,Flow
2023-10-06,1.307836,Gnosis
2023-10-06,16.474155,NEAR
2023-10-06,3.312176,Optimism
2023-10-06,2.641192,Osmosis
2023-10-06,25.995428,Polygon
2023-10-06,48.996898,Sei
2023-10-06,286.035706,Solana
2023-10-05,11.07081,Arbitrum
2023-10-05,4.57,Avalanche
2023-10-05,2.930613,Axelar
2023-10-05,32.626829,BSC
2023-10-05,10.022905,Base
2023-10-05,3.695718,Bitcoin
2023-10-05,11.062454,Ethereum
2023-10-05,4.829734,Flow
2023-10-05,1.316227,Gnosis
2023-10-05,14.700729,NEAR
2023-10-05,3.352558,Optimism
2023-10-05,2.716609,Osmosis
2023-10-05,27.227743,Polygon
2023-10-05,49.597616,Sei
2023-10-05,276.937488,Solana
2023-10-04,11.169525,Arbitrum
2023-10-04,6.673287,Avalanche
2023-10-04,3.001713,Axelar
2023-10-04,32.864144,BSC
2023-10-04,8.681678,Base
2023-10-04,3.326736,Bitcoin
2023-10-04,11.384236,Ethereum
2023-10-04,5.945567,Flow
2023-10-04,1.240417,Gnosis
2023-10-04,16.442199,NEAR
2023-10-04,3.26294,Optimism
2023-10-04,2.913218,Osmosis
2023-10-04,27.310046,Polygon
2023-10-04,48.367072,Sei
2023-10-04,293.703056,Solana
2023-10-03,11.380405,Arbitrum
2023-10-03,6.476111,Avalanche
2023-10-03,2.935486,Axelar
2023-10-03,33.221632,BSC
2023-10-03,8.941875,Base
2023-10-03,3.595648,Bitcoin
2023-10-03,11.602488,Ethereum
2023-10-03,7.296493,Flow
2023-10-03,1.301076,Gnosis
2023-10-03,15.178229,NEAR
2023-10-03,3.831655,Optimism
2023-10-03,2.112789,Osmosis
2023-10-03,28.333611,Polygon
2023-10-03,46.576933,Sei
2023-10-03,291.593171,Solana
2023-10-02,10.84375,Arbitrum
2023-10-02,2.887396,Avalanche
2023-10-02,2.942697,Axelar
2023-10-02,33.703391,BSC
2023-10-02,17.132407,Base
2023-10-02,3.984525,Bitcoin
2023-10-02,11.769039,Ethereum
2023-10-02,4.712454,Flow
2023-10-02,1.449606,Gnosis
2023-10-02,17.164144,NEAR
2023-10-02,3.311863,Optimism
2023-10-02,1.796609,Osmosis
2023-10-02,27.787118,Polygon
2023-10-02,46.96912,Sei
2023-10-02,302.02169,Solana
2023-10-01,12.002465,Arbitrum
2023-10-01,2.264167,Avalanche
2023-10-01,2.897373,Axelar
2023-10-01,31.774583,BSC
2023-10-01,13.349375,Base
2023-10-01,3.709676,Bitcoin
2023-10-01,10.679329,Ethereum
2023-10-01,4.086667,Flow
2023-10-01,1.238299,Gnosis
2023-10-01,16.386007,NEAR
2023-10-01,3.373576,Optimism
2023-10-01,1.729039,Osmosis
2023-10-01,24.063264,Polygon
2023-10-01,47.276701,Sei
2023-10-01,284.485509,Solana
2023-09-30,12.026806,Arbitrum
2023-09-30,2.177558,Avalanche
2023-09-30,3.146354,Axelar
2023-09-30,32.021667,BSC
2023-09-30,10.671296,Base
2023-09-30,3.188356,Bitcoin
2023-09-30,11.316794,Ethereum
2023-09-30,4.153171,Flow
2023-09-30,1.177176,Gnosis
2023-09-30,14.65331,NEAR
2023-09-30,4.923414,Optimism
2023-09-30,1.367836,Osmosis
2023-09-30,24.593322,Polygon
2023-09-30,47.155301,Sei
2023-09-30,270.149838,Solana
2023-09-29,12.307662,Arbitrum
2023-09-29,2.322292,Avalanche
2023-09-29,3.415116,Axelar
2023-09-29,33.150093,BSC
2023-09-29,9.035197,Base
2023-09-29,3.822558,Bitcoin
2023-09-29,11.859699,Ethereum
2023-09-29,5.000938,Flow
2023-09-29,1.435544,Gnosis
2023-09-29,15.992141,NEAR
2023-09-29,3.805127,Optimism
2023-09-29,1.30912,Osmosis
2023-09-29,25.321528,Polygon
2023-09-29,48.257106,Sei
2023-09-29,283.22919,Solana
2023-09-28,12.582049,Arbitrum
2023-09-28,2.329398,Avalanche
2023-09-28,3.460602,Axelar
2023-09-28,35.919271,BSC
2023-09-28,11.944016,Base
2023-09-28,4.386285,Bitcoin
2023-09-28,11.927523,Ethereum
2023-09-28,4.760243,Flow
2023-09-28,1.586539,Gnosis
2023-09-28,15.98338,NEAR
2023-09-28,4.483657,Optimism
2023-09-28,1.404074,Osmosis
2023-09-28,26.415961,Polygon
2023-09-28,48.310961,Sei
2023-09-28,251.291285,Solana
2023-09-27,11.709745,Arbitrum
2023-09-27,2.015162,Avalanche
2023-09-27,3.015926,Axelar
2023-09-27,35.168773,BSC
2023-09-27,14.366667,Base
2023-09-27,3.90353,Bitcoin
2023-09-27,12.232199,Ethereum
2023-09-27,6.529769,Flow
2023-09-27,1.478877,Gnosis
2023-09-27,15.572292,NEAR
