Date,Values,Blockchain
2023-10-06,1034468,Arbitrum
2023-10-06,506038,Avalanche
2023-10-06,259337,Axelar
2023-10-06,2864276,BSC
2023-10-06,617466,Base
2023-10-06,298650,Bitcoin
2023-10-06,993544,Ethereum
2023-10-06,512689,Flow
2023-10-06,112997,Gnosis
2023-10-06,1423367,NEAR
2023-10-06,286172,Optimism
2023-10-06,228199,Osmosis
2023-10-06,2246005,Polygon
2023-10-06,4233332,Sei
2023-10-06,24713485,Solana
2023-10-05,956518,Arbitrum
2023-10-05,394848,Avalanche
2023-10-05,253205,Axelar
2023-10-05,2818958,BSC
2023-10-05,865979,Base
2023-10-05,319310,Bitcoin
2023-10-05,955796,Ethereum
2023-10-05,417289,Flow
2023-10-05,113722,Gnosis
2023-10-05,1270143,NEAR
2023-10-05,289661,Optimism
2023-10-05,234715,Osmosis
2023-10-05,2352477,Polygon
2023-10-05,4285234,Sei
2023-10-05,23927399,Solana
2023-10-04,965047,Arbitrum
2023-10-04,576572,Avalanche
2023-10-04,259348,Axelar
2023-10-04,2839462,BSC
2023-10-04,750097,Base
2023-10-04,287430,Bitcoin
2023-10-04,983598,Ethereum
2023-10-04,513697,Flow
2023-10-04,107172,Gnosis
2023-10-04,1420606,NEAR
2023-10-04,281918,Optimism
2023-10-04,251702,Osmosis
2023-10-04,2359588,Polygon
2023-10-04,4178915,Sei
2023-10-04,25375944,Solana
2023-10-03,983267,Arbitrum
2023-10-03,559536,Avalanche
2023-10-03,253626,Axelar
2023-10-03,2870349,BSC
2023-10-03,772578,Base
2023-10-03,310664,Bitcoin
2023-10-03,1002455,Ethereum
2023-10-03,630417,Flow
2023-10-03,112413,Gnosis
2023-10-03,1311399,NEAR
2023-10-03,331055,Optimism
2023-10-03,182545,Osmosis
2023-10-03,2448024,Polygon
2023-10-03,4024247,Sei
2023-10-03,25193650,Solana
2023-10-02,936900,Arbitrum
2023-10-02,249471,Avalanche
2023-10-02,254249,Axelar
2023-10-02,2911973,BSC
2023-10-02,1480240,Base
2023-10-02,344263,Bitcoin
2023-10-02,1016845,Ethereum
2023-10-02,407156,Flow
2023-10-02,125246,Gnosis
2023-10-02,1482982,NEAR
2023-10-02,286145,Optimism
2023-10-02,155227,Osmosis
2023-10-02,2400807,Polygon
2023-10-02,4058132,Sei
2023-10-02,26094674,Solana
2023-10-01,1037013,Arbitrum
2023-10-01,195624,Avalanche
2023-10-01,250333,Axelar
2023-10-01,2745324,BSC
2023-10-01,1153386,Base
2023-10-01,320516,Bitcoin
2023-10-01,922694,Ethereum
2023-10-01,353088,Flow
2023-10-01,106989,Gnosis
2023-10-01,1415751,NEAR
2023-10-01,291477,Optimism
2023-10-01,149389,Osmosis
2023-10-01,2079066,Polygon
2023-10-01,4084707,Sei
2023-10-01,24579548,Solana
2023-09-30,1039116,Arbitrum
2023-09-30,188141,Avalanche
2023-09-30,271845,Axelar
2023-09-30,2766672,BSC
2023-09-30,922000,Base
2023-09-30,275474,Bitcoin
2023-09-30,977771,Ethereum
2023-09-30,358834,Flow
2023-09-30,101708,Gnosis
2023-09-30,1266046,NEAR
2023-09-30,425383,Optimism
2023-09-30,118181,Osmosis
2023-09-30,2124863,Polygon
2023-09-30,4074218,Sei
2023-09-30,23340946,Solana
2023-09-29,1063382,Arbitrum
2023-09-29,200646,Avalanche
2023-09-29,295066,Axelar
2023-09-29,2864168,BSC
2023-09-29,780641,Base
2023-09-29,330269,Bitcoin
2023-09-29,1024678,Ethereum
2023-09-29,432081,Flow
2023-09-29,124031,Gnosis
2023-09-29,1381721,NEAR
2023-09-29,328763,Optimism
2023-09-29,113108,Osmosis
2023-09-29,2187780,Polygon
2023-09-29,4169414,Sei
2023-09-29,24471002,Solana
2023-09-28,1087089,Arbitrum
2023-09-28,201260,Avalanche
2023-09-28,298996,Axelar
2023-09-28,3103425,BSC
2023-09-28,1031963,Base
2023-09-28,378975,Bitcoin
2023-09-28,1030538,Ethereum
2023-09-28,411285,Flow
2023-09-28,137077,Gnosis
2023-09-28,1380964,NEAR
2023-09-28,387388,Optimism
2023-09-28,121312,Osmosis
2023-09-28,2282339,Polygon
2023-09-28,4174067,Sei
2023-09-28,21711567,Solana
2023-09-27,1011722,Arbitrum
2023-09-27,174110,Avalanche
2023-09-27,260576,Axelar
2023-09-27,3038582,BSC
2023-09-27,1241280,Base
2023-09-27,337265,Bitcoin
2023-09-27,1056862,Ethereum
2023-09-27,564172,Flow
2023-09-27,127775,Gnosis
2023-09-27,1345446,NEAR
2023-09-27,364426,Optimism
2023-09-27,149109,Osmosis
2023-09-27,2241353,Polygon
2023-09-27,4138769,Sei
2023-09-27,22597419,Solana
2023-09-26,914120,Arbitrum
2023-09-26,187757,Avalanche
2023-09-26,255298,Axelar
2023-09-26,3069703,BSC
2023-09-26,1232624,Base
2023-09-26,309789,Bitcoin
2023-09-26,1041222,Ethereum
2023-09-26,386173,Flow
2023-09-26,131686,Gnosis
2023-09-26,1422882,NEAR
2023-09-26,359465,Optimism
2023-09-26,111567,Osmosis
2023-09-26,2374857,Polygon
2023-09-26,3932193,Sei
2023-09-26,23287928,Solana
2023-09-25,841782,Arbitrum
2023-09-25,226758,Avalanche
2023-09-25,349916,Axelar
2023-09-25,3093780,BSC
2023-09-25,773000,Base
2023-09-25,285750,Bitcoin
2023-09-25,990751,Ethereum
2023-09-25,391957,Flow
2023-09-25,136621,Gnosis
2023-09-25,1384928,NEAR
2023-09-25,324863,Optimism
2023-09-25,135876,Osmosis
2023-09-25,2422032,Polygon
2023-09-25,4054050,Sei
2023-09-25,23448772,Solana
2023-09-24,811901,Arbitrum
2023-09-24,151077,Avalanche
2023-09-24,241709,Axelar
2023-09-24,2823987,BSC
2023-09-24,701560,Base
2023-09-24,441181,Bitcoin
2023-09-24,883746,Ethereum
2023-09-24,361588,Flow
2023-09-24,130894,Gnosis
2023-09-24,1283375,NEAR
2023-09-24,296871,Optimism
2023-09-24,109122,Osmosis
2023-09-24,2146985,Polygon
2023-09-24,3855740,Sei
2023-09-24,21668100,Solana
2023-09-23,772099,Arbitrum
2023-09-23,143172,Avalanche
2023-09-23,237280,Axelar
2023-09-23,2798801,BSC
2023-09-23,680953,Base
2023-09-23,629617,Bitcoin
2023-09-23,863503,Ethereum
2023-09-23,397089,Flow
2023-09-23,121755,Gnosis
2023-09-23,1247741,NEAR
2023-09-23,319967,Optimism
2023-09-23,105865,Osmosis
2023-09-23,2122847,Polygon
2023-09-23,3693296,Sei
2023-09-23,20145634,Solana
2023-09-22,919605,Arbitrum
2023-09-22,155775,Avalanche
2023-09-22,249757,Axelar
2023-09-22,3064431,BSC
2023-09-22,908102,Base
2023-09-22,441679,Bitcoin
2023-09-22,974991,Ethereum
2023-09-22,444224,Flow
2023-09-22,134025,Gnosis
2023-09-22,1438453,NEAR
2023-09-22,344084,Optimism
2023-09-22,100694,Osmosis
2023-09-22,2216853,Polygon
2023-09-22,3858320,Sei
2023-09-22,21613165,Solana
2023-09-21,1262108,Arbitrum
2023-09-21,171925,Avalanche
2023-09-21,285052,Axelar
2023-09-21,3122597,BSC
2023-09-21,677089,Base
2023-09-21,431540,Bitcoin
2023-09-21,1131119,Ethereum
2023-09-21,439431,Flow
2023-09-21,126787,Gnosis
2023-09-21,1196733,NEAR
2023-09-21,362729,Optimism
2023-09-21,117084,Osmosis
2023-09-21,2319465,Polygon
2023-09-21,3916391,Sei
2023-09-21,23835894,Solana
2023-09-20,968668,Arbitrum
2023-09-20,169001,Avalanche
2023-09-20,251680,Axelar
2023-09-20,3060615,BSC
2023-09-20,963825,Base
2023-09-20,551783,Bitcoin
2023-09-20,1012663,Ethereum
2023-09-20,381551,Flow
2023-09-20,114962,Gnosis
2023-09-20,1350598,NEAR
2023-09-20,344947,Optimism
2023-09-20,111611,Osmosis
2023-09-20,2264990,Polygon
2023-09-20,3859322,Sei
2023-09-20,25151207,Solana
2023-09-19,878449,Arbitrum
2023-09-19,164154,Avalanche
2023-09-19,235644,Axelar
2023-09-19,3149889,BSC
2023-09-19,1162650,Base
2023-09-19,493887,Bitcoin
2023-09-19,1002911,Ethereum
2023-09-19,389155,Flow
2023-09-19,98667,Gnosis
2023-09-19,1295868,NEAR
2023-09-19,350853,Optimism
2023-09-19,121356,Osmosis
2023-09-19,2199771,Polygon
2023-09-19,3804997,Sei
2023-09-19,24377240,Solana
2023-09-18,845285,Arbitrum
2023-09-18,163579,Avalanche
2023-09-18,219042,Axelar
2023-09-18,3241849,BSC
2023-09-18,1352136,Base
2023-09-18,635845,Bitcoin
2023-09-18,979571,Ethereum
2023-09-18,379317,Flow
2023-09-18,95726,Gnosis
2023-09-18,1343277,NEAR
2023-09-18,320752,Optimism
2023-09-18,120363,Osmosis
2023-09-18,2134222,Polygon
2023-09-18,3845575,Sei
2023-09-18,24441934,Solana
2023-09-17,715763,Arbitrum
2023-09-17,136636,Avalanche
2023-09-17,193387,Axelar
2023-09-17,2891154,BSC
2023-09-17,1160300,Base
2023-09-17,611220,Bitcoin
2023-09-17,879624,Ethereum
2023-09-17,373433,Flow
2023-09-17,93480,Gnosis
2023-09-17,1357725,NEAR
2023-09-17,300843,Optimism
2023-09-17,94557,Osmosis
2023-09-17,1956637,Polygon
2023-09-17,3750229,Sei
2023-09-17,21789042,Solana
2023-09-16,738281,Arbitrum
2023-09-16,143379,Avalanche
2023-09-16,167774,Axelar
2023-09-16,3074308,BSC
2023-09-16,1734424,Base
2023-09-16,593144,Bitcoin
2023-09-16,922374,Ethereum
2023-09-16,365403,Flow
2023-09-16,101785,Gnosis
2023-09-16,1150215,NEAR
2023-09-16,321358,Optimism
2023-09-16,95418,Osmosis
2023-09-16,2041819,Polygon
2023-09-16,3856252,Sei
2023-09-16,20894542,Solana
2023-09-15,783562,Arbitrum
2023-09-15,158756,Avalanche
2023-09-15,262717,Axelar
2023-09-15,3244346,BSC
2023-09-15,1734861,Base
2023-09-15,703692,Bitcoin
2023-09-15,1002709,Ethereum
2023-09-15,402772,Flow
2023-09-15,105677,Gnosis
2023-09-15,1182634,NEAR
2023-09-15,396987,Optimism
2023-09-15,98139,Osmosis
2023-09-15,2125567,Polygon
2023-09-15,3839030,Sei
2023-09-15,23139213,Solana
2023-09-14,807863,Arbitrum
2023-09-14,171286,Avalanche
2023-09-14,244525,Axelar
2023-09-14,3147924,BSC
2023-09-14,1882770,Base
2023-09-14,576215,Bitcoin
2023-09-14,1071590,Ethereum
2023-09-14,665675,Flow
2023-09-14,100302,Gnosis
2023-09-14,1526807,NEAR
2023-09-14,378444,Optimism
2023-09-14,123748,Osmosis
2023-09-14,2185409,Polygon
2023-09-14,4069858,Sei
2023-09-14,24471652,Solana
2023-09-13,785414,Arbitrum
2023-09-13,157249,Avalanche
2023-09-13,157602,Axelar
2023-09-13,3020498,BSC
2023-09-13,1403332,Base
2023-09-13,512446,Bitcoin
2023-09-13,1627860,Ethereum
2023-09-13,1085295,Flow
2023-09-13,93776,Gnosis
2023-09-13,1400146,NEAR
2023-09-13,355062,Optimism
2023-09-13,108738,Osmosis
2023-09-13,2147890,Polygon
2023-09-13,3774372,Sei
2023-09-13,27570787,Solana
2023-09-12,836071,Arbitrum
2023-09-12,170241,Avalanche
2023-09-12,35120,Axelar
2023-09-12,3230064,BSC
2023-09-12,775948,Base
2023-09-12,462328,Bitcoin
2023-09-12,1092958,Ethereum
2023-09-12,1066992,Flow
2023-09-12,95714,Gnosis
2023-09-12,1362177,NEAR
2023-09-12,484898,Optimism
2023-09-12,105645,Osmosis
2023-09-12,2227037,Polygon
2023-09-12,3728288,Sei
2023-09-12,25785390,Solana
2023-09-11,861289,Arbitrum
2023-09-11,178185,Avalanche
2023-09-11,22982,Axelar
2023-09-11,2997072,BSC
2023-09-11,612535,Base
2023-09-11,459132,Bitcoin
2023-09-11,1021616,Ethereum
2023-09-11,1099549,Flow
2023-09-11,103259,Gnosis
2023-09-11,1512117,NEAR
2023-09-11,393899,Optimism
2023-09-11,123179,Osmosis
2023-09-11,2405947,Polygon
2023-09-11,3691441,Sei
2023-09-11,26850690,Solana
2023-09-10,773994,Arbitrum
2023-09-10,175561,Avalanche
2023-09-10,31990,Axelar
2023-09-10,2676907,BSC
2023-09-10,789142,Base
2023-09-10,558395,Bitcoin
2023-09-10,866548,Ethereum
2023-09-10,1030077,Flow
2023-09-10,115410,Gnosis
2023-09-10,1266527,NEAR
2023-09-10,337502,Optimism
2023-09-10,114517,Osmosis
2023-09-10,2073549,Polygon
2023-09-10,3694071,Sei
2023-09-10,24428598,Solana
2023-09-09,735196,Arbitrum
2023-09-09,180114,Avalanche
2023-09-09,23158,Axelar
2023-09-09,2736086,BSC
2023-09-09,560122,Base
2023-09-09,597409,Bitcoin
2023-09-09,929400,Ethereum
2023-09-09,946271,Flow
2023-09-09,98213,Gnosis
2023-09-09,1490939,NEAR
2023-09-09,363578,Optimism
2023-09-09,81365,Osmosis
2023-09-09,2091070,Polygon
2023-09-09,3699579,Sei
2023-09-09,21887876,Solana
2023-09-08,819428,Arbitrum
2023-09-08,181985,Avalanche
2023-09-08,24717,Axelar
2023-09-08,3031736,BSC
2023-09-08,400281,Base
2023-09-08,414799,Bitcoin
2023-09-08,1014297,Ethereum
2023-09-08,402887,Flow
2023-09-08,95691,Gnosis
2023-09-08,1895486,NEAR
2023-09-08,390796,Optimism
2023-09-08,100460,Osmosis
2023-09-08,2370971,Polygon
2023-09-08,3779463,Sei
